gene,cell_type,value
RERGL,SPCs,0.009999999999999998
LBH,SPCs,0.015428571428571429
PAGE2B,SPCs,0.9952857142857143
  PRM2,SPCs,1.9057142857142857
MAGEB2,SPCs,0.2887142857142857
MYH11,SPCs,0.03157142857142857
KRT17,SPCs,0.0037142857142857147
MYLK,SPCs,0.17442857142857143
SPANXN4,SPCs,0.05028571428571428
PPP1R2C,SPCs,0.48
AC239803.2,SPCs,0.1187142857142857
INSL3,SPCs,0.13228571428571428
GSTA1,SPCs,0.07371428571428572
CYP17A1,SPCs,0.013285714285714286
H2AFZ,SPCs,2.2399999999999998
 TEX101,SPCs,1.5202857142857142
HSPA5,SPCs,2.216142857142857
IGFBP7,SPCs,0.11342857142857143
 ACTA2,SPCs,0.046142857142857145
  PTGDS,SPCs,0.24157142857142855
FAM71A,SPCs,0.03214285714285715
  TNP1,SPCs,0.5451428571428572
C20orf144,SPCs,0.10171428571428572
TIMP1,SPCs,0.08514285714285716
BEX1,SPCs,0.1375714285714286
CRYAB,SPCs,0.03671428571428571
IGLC2,SPCs,0.0005714285714285715
IGLC3,SPCs,0.00014285714285714287
IGHG1,SPCs,0.007285714285714286
HLA-DRA,SPCs,0.049999999999999996
RNASE1,SPCs,0.2527142857142857
CD74,SPCs,0.057428571428571426
TDRD1,SPGs,0.667
ELAVL2,SPGs,0.881
SOX4,SPGs,0.84
HMGN5,SPGs,0.094
DEFB119,SPGs,0.137
CITED1,SPGs,0.079
DCN,SPGs,0.053
C7,SPGs,0.008
 PTGDS,SPGs,0.294
BX119904.2,SPGs,0.072
SPANXN3,SPGs,0.04
LINC00919,SPGs,0.176
HIST1H2AA,SPGs,2.451
HIST1H2BA,SPGs,0.853
AC084033.3,SPGs,0.433
RAD51AP2,SPGs,0.076
ZCWPW1,SPGs,1.108
SYCP3,SPGs,1.637
 HLA-DRA,SPGs,0.045
 CD74,SPGs,0.071
CCL4L2,SPGs,0.009
 CLU,SPGs,0.433
SERPINA5,SPGs,0.129
  DEFB119,SPGs,0.137
TKTL1,SPGs,2.254
GAGE2A,SPGs,2.212
HIST1H1A,SPGs,1.528
EQTN,SPGs,0.04
LINC01760,SPGs,0.091
LINC02032,SPGs,0.039
TAGLN,SPGs,0.038
ACTA2,SPGs,0.057
ADIRF,SPGs,0.027
HMGA1,SPGs,1.441
TUBA1B,SPGs,1.542
CCNI,SPGs,1.272
CCDC110,SPGs,0.106
GOLGA6L2,SPGs,0.016
LINC00643,SPGs,0.03
PTGDS,SPGs,0.294
PEMT,SPGs,0.238
LAMA2,SPGs,0.021
PRM1,SPGs,2.183
TNP1,SPGs,0.457
PRM2,SPGs,1.647
HSPB6,SPGs,0.013
CFD,SPGs,0.107
IGFBP6,SPGs,0.016
AL133499.1,SPGs,0.131
 CCDC110,SPGs,0.106
AC010980.1,SPGs,0.121
GNG11,SPGs,0.041
SPARCL1,SPGs,0.042
A2M,SPGs,0.053
LINC01921,SPGs,0.293
 PRM2,SPGs,1.647
 PRM1,SPGs,2.183
 LINC01921,SPGs,0.293
  PRM1,SPGs,2.183
 TNP1,SPGs,0.457
LRWD1,SPGs,0.301
SPACA1,SPGs,0.076
BOD1L2,SPGs,0.273
TP53TG5,SPGs,0.023
C1orf100,SPGs,0.067
CCDC168,SPGs,0.024
TEX101,SPGs,0.612
SYCP1,SPGs,0.158
LY6K,SPGs,0.453
CETN3,SPGs,0.716
C15orf48,SPGs,0.451
RNFT1,SPGs,0.362
APOA1,SPGs,0.122
CLU,SPGs,0.433
 DEFB119,SPGs,0.137
 AL133499.1,SPGs,0.131
 LRWD1,SPGs,0.301
ASRGL1,SPGs,0.518
RGS5,SPGs,0.031
RERGL,SPGs,0.012
LBH,SPGs,0.052
PAGE2B,SPGs,1.708
  PRM2,SPGs,1.647
MAGEB2,SPGs,0.533
MYH11,SPGs,0.031
KRT17,SPGs,0.003
MYLK,SPGs,0.075
SPANXN4,SPGs,0.027
PPP1R2C,SPGs,0.131
AC239803.2,SPGs,0.07
INSL3,SPGs,0.145
GSTA1,SPGs,0.087
CYP17A1,SPGs,0.011
H2AFZ,SPGs,1.441
 TEX101,SPGs,0.612
HSPA5,SPGs,2.106
IGFBP7,SPGs,0.105
 ACTA2,SPGs,0.057
  PTGDS,SPGs,0.294
FAM71A,SPGs,0.025
  TNP1,SPGs,0.457
C20orf144,SPGs,0.049
TIMP1,SPGs,0.094
BEX1,SPGs,0.103
CRYAB,SPGs,0.012
IGLC2,SPGs,0.0
IGLC3,SPGs,0.0
IGHG1,SPGs,0.003
HLA-DRA,SPGs,0.045
RNASE1,SPGs,0.272
CD74,SPGs,0.071
TDRD1,SSCs,1.384
ELAVL2,SSCs,1.646
SOX4,SSCs,1.625
HMGN5,SSCs,0.092
DEFB119,SSCs,0.137
CITED1,SSCs,0.14500000000000002
DCN,SSCs,0.062
C7,SSCs,0.017
 PTGDS,SSCs,0.20750000000000002
BX119904.2,SSCs,0.11399999999999999
SPANXN3,SSCs,0.0595
LINC00919,SSCs,0.191
HIST1H2AA,SSCs,1.5594999999999999
HIST1H2BA,SSCs,0.4515
AC084033.3,SSCs,0.3185
RAD51AP2,SSCs,0.037500000000000006
ZCWPW1,SSCs,1.1145
SYCP3,SSCs,0.507
 HLA-DRA,SSCs,0.0385
 CD74,SSCs,0.14500000000000002
CCL4L2,SSCs,0.015
 CLU,SSCs,0.47550000000000003
SERPINA5,SSCs,0.10450000000000001
  DEFB119,SSCs,0.137
TKTL1,SSCs,1.4495
GAGE2A,SSCs,1.5105
HIST1H1A,SSCs,0.5615
EQTN,SSCs,0.0345
LINC01760,SSCs,0.0785
LINC02032,SSCs,0.0285
TAGLN,SSCs,0.037500000000000006
ACTA2,SSCs,0.07400000000000001
ADIRF,SSCs,0.034
HMGA1,SSCs,1.6205
