gene,cell_type,value
LINC00643,Myeloid,0.010166666666666668
PTGDS,Myeloid,0.44766666666666666
PEMT,Myeloid,0.38316666666666666
LAMA2,Myeloid,0.3453333333333333
PRM1,Myeloid,0.1135
TNP1,Myeloid,0.0595
PRM2,Myeloid,0.10066666666666667
HSPB6,Myeloid,0.21266666666666664
CFD,Myeloid,0.10483333333333333
IGFBP6,Myeloid,0.24150000000000002
AL133499.1,Myeloid,0.016999999999999998
 CCDC110,Myeloid,0.018333333333333333
AC010980.1,Myeloid,0.011333333333333334
GNG11,Myeloid,0.13233333333333333
SPARCL1,Myeloid,0.507
A2M,Myeloid,0.4945
LINC01921,Myeloid,0.026833333333333334
 PRM2,Myeloid,0.10066666666666667
 PRM1,Myeloid,0.1135
 LINC01921,Myeloid,0.026833333333333334
  PRM1,Myeloid,0.1135
 TNP1,Myeloid,0.0595
LRWD1,Myeloid,0.025333333333333333
SPACA1,Myeloid,0.020833333333333332
BOD1L2,Myeloid,0.0545
TP53TG5,Myeloid,0.008
C1orf100,Myeloid,0.017166666666666667
CCDC168,Myeloid,0.011499999999999998
TEX101,Myeloid,0.015666666666666666
SYCP1,Myeloid,0.015333333333333332
LY6K,Myeloid,0.012833333333333334
CETN3,Myeloid,0.0605
C15orf48,Myeloid,0.022500000000000003
RNFT1,Myeloid,0.019
APOA1,Myeloid,0.13283333333333333
CLU,Myeloid,0.3396666666666666
 DEFB119,Myeloid,0.19433333333333333
 AL133499.1,Myeloid,0.016999999999999998
 LRWD1,Myeloid,0.025333333333333333
ASRGL1,Myeloid,0.0315
RGS5,Myeloid,0.33183333333333337
RERGL,Myeloid,0.3441666666666667
LBH,Myeloid,0.36433333333333334
PAGE2B,Myeloid,0.017333333333333333
  PRM2,Myeloid,0.10066666666666667
MAGEB2,Myeloid,0.013833333333333331
MYH11,Myeloid,0.612
KRT17,Myeloid,0.30683333333333335
MYLK,Myeloid,0.7423333333333333
SPANXN4,Myeloid,0.021
