Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_2_11_1_bar81,Normal,Control,P,Late SPC,6.385714285714286,0.17647205924970638,Normal_1,3.123115447766173,0.09810743990725444
Normal_1_2_11_2_bar82,Normal,Control,P,Late SPC,6.257142857142856,0.400309645830661,Normal_1,2.957989793997653,0.35054301264261717
Normal_1_2_11_3_bar83,Normal,Control,P,Late SPC,6.05,0.3258655606291759,Normal_1,3.010459559165844,0.19994464600684445
Normal_1_2_11_4_bar84,Normal,Control,S2,Elongated Sperm,9.472847682119204,0.47326469768156443,Normal_1,2.5872747655577593,0.6708074222277228
Normal_1_2_11_5_bar85,Normal,Control,P,Late SPC,6.271428571428571,0.42329155143330927,Normal_1,3.2212273853584747,0.13655250775112887
Normal_1_2_11_6_bar86,Normal,Control,P,Late SPC,6.2,0.3516761192089252,Normal_1,3.1655927126652745,0.28882815663479977
Normal_1_2_11_7_bar87,Normal,Control,P,Late SPC,6.157142857142857,0.3258655606291759,Normal_1,3.088876777837031,0.21685347859623422
Normal_1_2_11_8_bar88,Normal,Control,SPC7,Late SPC,7.295726495726496,0.1406962253139284,Normal_1,3.0154638379200893,0.3183225146251403
Normal_1_2_12_1_bar89,Normal,Control,P,Late SPC,6.253571428571428,0.400309645830661,Normal_1,3.0946880825619183,0.047859549378550886
Normal_1_2_12_3_bar91,Normal,Control,P,Late SPC,6.228571428571429,0.400309645830661,Normal_1,3.0471220353673965,0.25556930272989
Normal_1_2_12_4_bar92,Normal,Control,P,Late SPC,6.1,0.3258655606291759,Normal_1,2.983451114094363,0.12963504944071336
Normal_1_2_12_5_bar93,Normal,Control,P,Late SPC,6.375,0.17647205924970638,Normal_1,3.16137006162851,0.43728579130384077
Normal_1_2_12_6_bar94,Normal,Control,D,Late SPC,6.6102325581395345,0.29892393694265923,Normal_1,3.197239527553678,0.3571914845330124
Normal_1_2_12_7_bar95,Normal,Control,P,Late SPC,6.196428571428571,0.3516761192089252,Normal_1,2.9915993223773194,0.06921448343557522
Normal_1_2_12_8_bar96,Normal,Control,P,Late SPC,6.178571428571429,0.3258655606291759,Normal_1,3.031918210565596,0.4367485930625433
Normal_1_2_2_1_bar9,Normal,Control,S2,Elongated Sperm,9.451655629139072,0.46689278340051177,Normal_1,2.4713979800322576,0.30159433530967805
Normal_1_2_2_4_bar12,Normal,Control,Z,Early SPC,5.546666666666667,0.8618667612702412,Normal_1,3.3078827577296384,0.0
Normal_1_2_3_1_bar17,Normal,Control,P,Late SPC,6.353571428571429,0.17647205924970638,Normal_1,3.0752333146345623,0.5722570486898305
Normal_1_2_3_3_bar19,Normal,Control,P,Late SPC,6.117857142857143,0.3258655606291759,Normal_1,3.047197679067303,0.2638794258596709
Normal_1_2_3_4_bar20,Normal,Control,preP,Late SPC,5.752808988764045,0.8946205888882695,Normal_1,3.1524659315153847,0.04739257090185255
Normal_1_2_3_5_bar21,Normal,Control,S1,Round Sperm,8.216759776536314,0.400309645830661,Normal_1,2.8085999840295264,0.036792435801911334
Normal_1_2_3_6_bar22,Normal,Control,P,Late SPC,6.371428571428571,0.17647205924970638,Normal_1,3.1330552034428694,0.20120685279699513
Normal_1_2_3_8_bar24,Normal,Control,Undiff.SPG-1,SPG (Stem),1.872222222222222,0.999208938861951,Normal_1,3.7104023601778473,0.5935366605361067
Normal_1_2_4_1_bar25,Normal,Control,S1,Round Sperm,8.183240223463686,-1.4428232973175175e-12,Normal_1,2.8615112945321304,0.05934017804679089
Normal_1_2_4_3_bar27,Normal,Control,S1,Round Sperm,8.31731843575419,0.545883901502697,Normal_1,2.8032333027476444,0.258721376201699
Normal_1_2_5_2_bar34,Normal,Control,SPC7,Late SPC,7.32991452991453,0.27071808593082797,Normal_1,2.920546776403807,0.13906306895647222
Normal_1_2_5_3_bar35,Normal,Control,P,Late SPC,6.289285714285715,0.29892393694265923,Normal_1,3.1066169895792624,0.2894389109116122
Normal_1_2_5_4_bar36,Normal,Control,P,Late SPC,6.046428571428572,0.3258655606291759,Normal_1,3.0639146282800374,0.3665402113144618
Normal_1_2_5_5_bar37,Normal,Control,S3,Elongated Sperm,9.617391304347827,0.4079059801360909,Normal_1,2.5248095282728196,0.09513458505540379
Normal_1_2_5_6_bar38,Normal,Control,S1,Round Sperm,8.359776536312848,0.5641201360165431,Normal_1,3.1097639366645993,0.1630717472342499
Normal_1_2_5_7_bar39,Normal,Control,P,Late SPC,6.310714285714285,0.20976880507769463,Normal_1,2.774407573778867,0.17312212285276868
Normal_1_2_6_1_bar41,Normal,Control,P,Late SPC,6.092857142857143,0.3258655606291759,Normal_1,2.974050751452843,0.21882008499351221
Normal_1_2_6_2_bar42,Normal,Control,P,Late SPC,6.4,0.20976880507769463,Normal_1,2.6975739218473196,0.38257428944918587
Normal_1_2_6_3_bar43,Normal,Control,S1,Round Sperm,8.06927374301676,0.42329155143330927,Normal_1,2.8822708202799956,0.126546078574828
Normal_1_2_6_4_bar44,Normal,Control,P,Late SPC,6.25,0.400309645830661,Normal_1,3.12122050068895,0.25526817845281036
Normal_1_2_6_5_bar45,Normal,Control,preP,Late SPC,5.97752808988764,0.6156105340949665,Normal_1,3.440933602523592,0.2470469499927711
Normal_1_2_6_6_bar46,Normal,Control,P,Late SPC,6.110714285714285,0.3258655606291759,Normal_1,2.966677650526864,0.16430144471574668
Normal_1_2_6_7_bar47,Normal,Control,P,Late SPC,6.285714285714286,0.3258655606291759,Normal_1,3.210985226106296,0.22707543750687378
Normal_1_2_6_8_bar48,Normal,Control,preP,Late SPC,5.892134831460673,0.7451377602914301,Normal_1,3.4418382555789755,0.07504047919434956
Normal_1_2_7_2_bar50,Normal,Control,P,Late SPC,6.067857142857143,0.3258655606291759,Normal_1,3.0327617746245163,0.3609056580587835
