cell_id,group,Disease,Stage,plot_stage,pseudotime,mix_entropy,Batch,OXPHOS,Apoptosis
Normal_3_3_9_8_bar72,Normal,Control,Undiff.SPG-2,SPG (Stem),2.23859649122807,0.8788487292656739,Normal_3,3.0019622841686022,0.5239698522146656
Normal_3_4_1_3_bar3,Normal,Control,D,Late SPC,6.703255813953488,0.2410763084844952,Normal_3,2.9537374006114097,0.4039822530270436
Normal_3_4_10_7_bar79,Normal,Control,D,Late SPC,6.65674418604651,0.2989239369426592,Normal_3,2.796174995576243,0.4675595232055343
Normal_3_4_11_2_bar82,Normal,Control,L3,Early SPC,5.032558139534884,0.9226477100637912,Normal_3,3.0417202771369576,0.5078359610262845
Normal_3_4_11_4_bar84,Normal,Control,P,Late SPC,6.167857142857143,0.3258655606291759,Normal_3,2.986617863883751,0.3335299451170207
Normal_3_4_11_5_bar85,Normal,Control,D,Late SPC,6.684651162790698,0.2707180859308279,Normal_3,2.8894606832723664,0.5024811587894805
Normal_3_4_11_8_bar88,Normal,Control,preP,Late SPC,5.71685393258427,0.9226477100637912,Normal_3,3.0612909675944207,0.2585365515505324
Normal_3_4_2_4_bar12,Normal,Control,preL-2,Early SPC,3.703225806451613,0.8788487292656739,Normal_3,2.371717451937288,0.0
Normal_3_4_2_5_bar13,Normal,Control,S1,Round Sperm,8.037988826815642,0.4232915514333092,Normal_3,2.5331916775221712,0.0
Normal_3_4_2_7_bar15,Normal,Control,D,Late SPC,6.584186046511629,0.2989239369426592,Normal_3,2.950830168697761,0.4599507141558014
Normal_3_4_2_8_bar16,Normal,Control,Undiff.SPG-1,SPG (Stem),1.7555555555555558,0.9349520981623264,Normal_3,2.9524028461007337,0.1678284024068622
Normal_3_4_3_1_bar17,Normal,Control,preL-2,Early SPC,3.638709677419355,0.8788487292656739,Normal_3,2.592378021499999,0.2793048205104733
Normal_3_4_3_5_bar21,Normal,Control,Undiff.SPG-1,SPG (Stem),1.977777777777778,0.9961685709791324,Normal_3,2.9017329905340716,0.6426127702206789
Normal_3_4_3_8_bar24,Normal,Control,preL-2,Early SPC,3.612903225806452,0.8868840152588461,Normal_3,2.8268264349721735,0.0
Normal_3_4_4_1_bar25,Normal,Control,L3,Early SPC,4.92093023255814,0.9885488356840308,Normal_3,2.8538568192111877,0.4170422467596133
Normal_3_4_4_3_bar27,Normal,Control,preL-2,Early SPC,3.664516129032258,0.8788487292656739,Normal_3,2.696370167558762,0.0
Normal_3_4_4_4_bar28,Normal,Control,preL-2,Early SPC,3.741935483870968,0.8946205888882695,Normal_3,2.516853728404701,0.0
Normal_3_4_4_6_bar30,Normal,Control,preP,Late SPC,5.959550561797753,0.6774623217964573,Normal_3,3.129034706848673,0.2858766298245089
Normal_3_4_5_1_bar33,Normal,Control,SPC7,Late SPC,7.309401709401709,0.2097688050776946,Normal_3,2.8876438458132583,0.2636613442124255
Normal_3_4_5_2_bar34,Normal,Control,Diff.ing SPG,SPG (Stem),3.031578947368421,0.7057464344124471,Normal_3,3.505931472135814,0.6959274854537101
Normal_3_4_5_6_bar38,Normal,Control,preL-2,Early SPC,3.7161290322580647,0.8868840152588461,Normal_3,2.9483501107873193,0.4587267631823189
Normal_3_4_5_8_bar40,Normal,Control,L3,Early SPC,4.953488372093023,0.992869997555188,Normal_3,2.6535246830715247,0.5438309184120889
Normal_3_4_6_2_bar42,Normal,Control,Undiff.SPG-2,SPG (Stem),2.378947368421053,0.8705109726668042,Normal_3,2.655811046420396,0.0
Normal_3_4_6_4_bar44,Normal,Control,S2,Elongated Sperm,9.501986754966886,0.4525863981123368,Normal_3,2.5574982221016467,0.1599263292865679
Normal_3_4_6_5_bar45,Normal,Control,L3,Early SPC,5.004651162790697,0.956245250149424,Normal_3,2.8341991534881403,0.1049009776786616
Normal_3_4_6_7_bar47,Normal,Control,SPC7,Late SPC,7.43931623931624,0.4232915514333092,Normal_3,2.8150968722991596,0.0
Normal_3_4_7_1_bar49,Normal,Control,S1,Round Sperm,8.089385474860334,0.4232915514333092,Normal_3,2.437425165918196,0.0
Normal_3_4_7_2_bar50,Normal,Control,S2,Elongated Sperm,9.552317880794702,0.4743454375593542,Normal_3,2.2399612416429364,0.0
Normal_3_4_7_3_bar51,Normal,Control,L3,Early SPC,4.939534883720931,0.994646779743541,Normal_3,2.392762904481132,0.57604319728577
Normal_3_4_7_6_bar54,Normal,Control,Undiff.SPG-2,SPG (Stem),2.1473684210526316,0.9349520981623264,Normal_3,3.079131280702213,0.1303474926089622
Normal_3_4_7_8_bar56,Normal,Control,D,Late SPC,6.442790697674418,0.3258655606291759,Normal_3,2.735953314854977,0.8432115199944143
Normal_3_4_8_1_bar57,Normal,Control,Undiff.SPG-1,SPG (Stem),1.877777777777778,0.999208938861951,Normal_3,2.942133620857561,0.4375350187559356
Normal_3_4_8_2_bar58,Normal,Control,Diff.ing SPG,SPG (Stem),3.0526315789473686,0.7057464344124471,Normal_3,2.941110390221899,0.7926679984982745
Normal_3_4_8_3_bar59,Normal,Control,preL-2,Early SPC,3.5999999999999996,0.9020619953851936,Normal_3,2.98608452369222,0.4944210167316911
Normal_3_4_8_5_bar61,Normal,Control,SPC7,Late SPC,7.589743589743589,0.4232915514333092,Normal_3,2.9130548576080426,0.1227040733127488
Normal_3_4_8_7_bar63,Normal,Control,S2,Elongated Sperm,9.350993377483444,0.6317686119223737,Normal_3,2.611224946852035,0.4065727959472038
