direction,group,group_display,module,representative_GO_term,GO_ID,Count,GeneRatio,gene_ratio,p.adjust,minus_log10_p_adjust,geneID
Down,iNOA_B,iNOA_B,OXPHOS / electron transport,,,0,,,,,
Down,iNOA_S,iNOA_S,OXPHOS / electron transport,electron transport chain,GO:0022900,18,18/411,0.043795620437956206,5.83e-05,4.2343314452409855,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/NDUFAB1/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L/FDX1/CYB5A/HSD17B6
Down,KS,KS,OXPHOS / electron transport,oxidative phosphorylation,GO:0006119,25,25/864,0.028935185185185185,3.43e-06,5.464705879957229,NDUFS1/CCNB1/NDUFB2/CYCS/MSH2/ISCU/GHITM/COX7A2/COX5B/NDUFAB1/NDUFA4/NDUFA8/PARK7/NDUFA12/DNAJC15/ATP5PF/NDUFB5/ATP5F1C/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10
Down,AZFc,AZFc_Del,Respiration / ATP generation,,,0,,,,,
Down,iNOA_B,iNOA_B,Respiration / ATP generation,generation of precursor metabolites and energy,GO:0006091,61,61/887,0.06877113866967305,1.14e-08,7.943095148663527,FH/SLC25A4/DHRS3/CS/CIAPIN1/GHITM/UGP2/GPI/NIPSNAP2/MYC/ENO1/HMGCL/VCP/NDUFV1/ATP5F1A/FDXR/DLD/DERA/ALDH2/IDH3B/TALDO1/PGAM1/ETFA/PHB2/UQCRC1/UQCRFS1/GNPDA1/NDUFA10/QDPR/ACAT1/SDHA/UQCRC2/IDH3G/DEGS1/ATP5F1C/NDUFA9/AKR7A2/NDUFB5/NDUFS2/MT3/CYC1/IDH1/SDHD/STEAP4/PDHB/MDH1/ATP5PB/SDHC/TKT/PGK1/LDHA/RHOA/MDH2/STOML2/ATP5F1B/COX7A2L/CYB5A/FDX1/AKR1B1/HSD17B6/TPI1
Down,iNOA_S,iNOA_S,Respiration / ATP generation,generation of precursor metabolites and energy,GO:0006091,33,33/411,0.08029197080291971,4.78e-05,4.320572103387881,ENO1/NDUFS2/ACADM/NDUFB2/CIAPIN1/QDPR/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/AKR1B1/ASPH/COX7A2/UQCC2/SDHA/NDUFA8/COX17/PDHB/DLD/SUCLG1/TPI1/UQCR10/IDH1/ACAT1/ISCU/UGP2/COX7A2L/MT3/FDX1/CYB5A/HSD17B6
Down,KS,KS,Respiration / ATP generation,generation of precursor metabolites and energy,GO:0006091,60,60/864,0.06944444444444445,1.29e-08,7.889410289700751,NDUFS1/MDH1/TPI1/LDHA/CCNB1/STAT3/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/FDXR/SUCLA2/COX7A2/COX5B/AKR1B1/NDUFAB1/GFPT1/CIAPIN1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/COX17/DNAJC15/IFNAR1/ATP5PF/ETFA/NDUFB5/ENO1/PDHB/ATP5F1C/SUCLG1/ACAT1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1/FDX1/CYB5A/STEAP4/HSD17B6
Down,AZFc,AZFc_Del,Fatty-acid / lipid metabolism,fatty acid metabolic process,GO:0006631,25,25/406,0.06157635467980296,0.000838194,3.076655452278383,LONP2/ACSL1/FADS1/LYPLA1/HACD2/ASAH1/ACADM/ABHD6/ALDH3A2/PCCB/MSMO1/PHYH/HADHB/GPX4/GSTP1/ACAT1/HADHA/HACD3/TECR/ALKBH7/GPX1/C3/PDK4/EPHX1/GSTA1
Down,iNOA_B,iNOA_B,Fatty-acid / lipid metabolism,fatty acid metabolic process,GO:0006631,53,53/887,0.05975197294250282,1.14e-08,7.943095148663527,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1
Down,iNOA_S,iNOA_S,Fatty-acid / lipid metabolism,,,0,,,,,
Down,KS,KS,Fatty-acid / lipid metabolism,,,0,,,,,
Down,AZFc,AZFc_Del,Vesicle / lysosomal lumen,,,0,,,,,
Down,iNOA_B,iNOA_B,Vesicle / lysosomal lumen,vacuolar lumen,GO:0005775,40,40/921,0.04343105320304017,2.13e-14,13.671620396561265,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM
Down,iNOA_S,iNOA_S,Vesicle / lysosomal lumen,,,0,,,,,
Down,KS,KS,Vesicle / lysosomal lumen,,,0,,,,,
Down,AZFc,AZFc_Del,Proteostasis / chaperone,protein folding chaperone,GO:0044183,9,9/425,0.021176470588235293,0.000163872,3.785495245845698,HSP90AB1/DNAJB6/CCT7/CCT3/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1
Down,iNOA_B,iNOA_B,Proteostasis / chaperone,,,0,,,,,
Down,iNOA_S,iNOA_S,Proteostasis / chaperone,,,0,,,,,
Down,KS,KS,Proteostasis / chaperone,,,0,,,,,
Down,AZFc,AZFc_Del,Adhesion / junction,focal adhesion,GO:0005925,28,28/423,0.06619385342789598,3.3e-05,4.481486060122113,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1
Down,iNOA_B,iNOA_B,Adhesion / junction,,,0,,,,,
Down,iNOA_S,iNOA_S,Adhesion / junction,,,0,,,,,
Down,KS,KS,Adhesion / junction,cadherin binding,GO:0045296,45,45/888,0.05067567567567568,3.3e-07,6.481486060122113,ZC3H15/LDHA/FNBP1L/DDX6/TWF1/CTTN/CAPZB/FLNB/MYH9/HSPA5/CHMP2B/HSPA8/USO1/SH3GLB1/EPCAM/DHX29/GLOD4/PARK7/TMOD3/ITGB1/PSMB6/CCT8/RDX/ARHGAP18/CKAP5/ENO1/CLINT1/TJP1/EIF2A/EIF4G2/UBAP2/RAN/MAPRE1/SLK/BZW1/YWHAE/LIMA1/KTN1/CNN3/EIF5/EZR/CD46/KRT18/IDH1/CTNNAL1
Down,AZFc,AZFc_Del,Oxidoreductase / antioxidant,,,0,,,,,
Down,iNOA_B,iNOA_B,Oxidoreductase / antioxidant,"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614,28,28/906,0.03090507726269316,3.9e-08,7.4089353929735005,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/ALDH3A2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6
Down,iNOA_S,iNOA_S,Oxidoreductase / antioxidant,antioxidant activity,GO:0016209,12,12/425,0.02823529411764706,0.000219714,3.658142269301464,PRDX5/SOD2/PRDX2/TXNRD1/MGST1/GPX1/SOD1/GLRX/PRDX3/MT3/GPX3/GSTA1
Down,KS,KS,Oxidoreductase / antioxidant,,,0,,,,,
