direction,group,group_display,module,representative_GO_term,GO_ID,Count,GeneRatio,gene_ratio,p.adjust,minus_log10_p_adjust,geneID
Up,AZFc,AZFc_Del,Growth-factor / TGF-beta receptor axis,peptidase regulator activity,GO:0061134,20.0,20/373,0.05361930294906166,2.59e-05,4.586700235918748,GAPDH/TIMP2/APP/EPPIN/FN1/CST9L/PSME1/SERPINA5/SERPINE2/A2M/BST2/PRNP/NKX3-1/TFPI/ITIH5/GAS6/PINK1/ADRM1/CRIM1/TIMP3
Up,iNOA_B,iNOA_B,Growth-factor / TGF-beta receptor axis,,,0.0,,,,,
Up,iNOA_S,iNOA_S,Growth-factor / TGF-beta receptor axis,transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0007178,52.0,52/958,0.054279749478079335,7.33e-09,8.134896025358872,HSPA1A/INHBA/COL1A2/FGF10/FOS/LTBP4/SPTBN1/VIM/EGR1/CILP/SFRP4/JUN/TGFBR3/CITED1/LRP1/COL3A1/SFRP1/SMAD5/PDCD4/SPRY1/NOTCH2/SORL1/BMPR2/RBPMS/HES1/ZEB2/NBL1/ENG/ITGB8/NEO1/PEG10/RBPJ/XIAP/TGFB3/WWTR1/IL17RD/FBN1/GLG1/CREBBP/SPRED1/PPM1L/BMPR1A/FUT8/CTDSPL2/EMILIN1/TGFBR2/ZMIZ1/TWSG1/LTBP3/TMEM100/CAV1/ZNF423
Up,KS,KS,Growth-factor / TGF-beta receptor axis,transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0007178,62.0,62/1278,0.048513302034428794,1.17e-08,7.931814138253839,JUN/LTBP4/FOS/EGR1/HSPA1A/INHBA/NBL1/VIM/LTBP3/LRP1/STUB1/ILK/HES1/FGF10/TGFBR3/NUMA1/FSTL3/RBPMS/ID1/ENG/FKBP8/EMILIN1/HTRA1/SFRP4/CDKN1C/TGFB1I1/NOTCH2/HTRA3/TGFB3/MAPK3/SPTBN1/WFIKKN2/SPRY1/ZNF423/ZNF703/ZMIZ1/CITED2/FAM89B/FBXL15/SMAD5/CREBBP/XIAP/RGMA/BMPR2/ZBTB7A/BCL9L/PPM1L/GATA4/C20orf27/NEO1/TGFBR2/PDCD4/WWTR1/GLG1/BMPR1A/PXN/PML/SMAD3/DKK3/ABL1/VASN/SH2B1
Up,AZFc,AZFc_Del,Wnt / transcriptional co-regulation,,,0.0,,,,,
Up,iNOA_B,iNOA_B,Wnt / transcriptional co-regulation,,,0.0,,,,,
Up,iNOA_S,iNOA_S,Wnt / transcriptional co-regulation,,,0.0,,,,,
Up,KS,KS,Wnt / transcriptional co-regulation,DNA-binding transcription factor binding,GO:0140297,66.0,66/1312,0.05030487804878049,5.94e-08,7.2262135550188065,JUN/FOS/ID2/KLF4/MYC/TCF21/HES1/JUND/NFKBIA/NR4A1/CEBPB/RBFOX2/AR/ATF4/PURA/HSF1/PRRX1/DDIT3/TGFB1I1/NOTCH2/MTDH/NCOR2/FUS/BUD31/CHCHD2/TCF23/BHLHE41/SP3/CTBP2/MEF2D/TRIP6/NR1H2/YAP1/SPEN/MED30/ZFPM2/WFS1/KAT5/CITED2/CREBBP/TAF6/PHB2/USF2/ZBTB7A/SMARCB1/BHLHE40/CALR/NFE2L2/HSPB1/JMJD1C/HDAC7/GATA4/ZNHIT3/CHD4/HDAC5/YWHAH/AIP/CRTC3/TOB2/SMAD3/STAT5B/HDAC3/DDRGK1/HAND2/ANXA4/TCF7L2
Up,AZFc,AZFc_Del,Oxidative-stress response,,,0.0,,,,,
Up,iNOA_B,iNOA_B,Oxidative-stress response,,,0.0,,,,,
Up,iNOA_S,iNOA_S,Oxidative-stress response,,,0.0,,,,,
Up,KS,KS,Oxidative-stress response,response to oxidative stress,GO:0006979,67.0,67/1278,0.05242566510172144,5.63e-07,6.249491605148654,JUN/SELENOP/FOS/HSPA1A/PENK/HSPA1B/KLF4/APOE/PRDX1/KLF2/BTG1/PRDX2/PDGFRB/RHOB/CYP1B1/PRNP/PDGFRA/MMP2/SOD3/BAD/RBPMS/EEF2/APP/CYGB/RACK1/ATF4/FBLN5/HSF1/P4HB/HNRNPM/PPIA/PINK1/PCGF2/NFE2L1/ZNF580/CHCHD2/SIGMAR1/MAPK3/STAT6/NET1/DUSP1/ENDOG/PSIP1/NOL3/AKR1C3/SELENOK/HMOX1/TRAP1/HGF/MSRB2/PDK2/NFE2L2/HSPB1/GATA4/COL1A1/EGFR/FOXO3/SESN3/ERCC1/BECN1/PXN/KEAP1/SFPQ/PML/TPM1/ABL1/UBE3A
