gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
TBPL2,0,0.006807774,0,0,0.000408182,0
TBR1,0.001451777,0,0,0.00250318,0.000580824,0.006689304
TBRG1,0.171512532,0.223296794,0.274286384,0.220171607,0.295474984,0.230644803
TBRG4,0.159081904,0.175054125,0.172595731,0.185110978,0.157540501,0.301512408
TBX1,0.001989893,0,0,0.00282299,0.001315502,0.020805678
TBX15,0.001324341,0,0,0.000943271,0.000106229,0.00278885
TBX18,0.00177457,0,0.000677987,0.002974168,0.001905738,0.005918782
TBX18-AS1,0.120270385,0,0,0.114054179,0.02554007,0.065092585
TBX19,0.010179501,0.032908916,0.009363872,0.007750979,0.017298362,0.005382421
TBX2,0.003124882,0,0.006851259,0.001214136,0.003445462,0
TBX2-AS1,0.001075369,0.043047131,0.006308553,0.000805862,0.006484671,0.014943776
TBX20,0,0,0,0,0,0
TBX21,0.002321763,0,0,0.000944763,0.000101404,0
TBX22,1.994202438,1.630207736,2.085069039,1.851970328,1.720056312,1.753520325
TBX3,0.037686592,0.016158663,0.083585967,0.007322563,0.058900751,0.012485681
TBX4,0,0,0,0.001087934,0.000118761,0
TBX5,0,0,0,0,0,0
TBX5-AS1,0,0,0,0.001785545,0,0
TBX6,0,0,0.000848255,0.001460551,0.000485195,0
TBXA2R,0,0,0.000164333,0,0.000139653,0
TBXAS1,0.001916393,0,0.003645155,0.001071609,0.007322852,0.00818098
TC2N,0.051442091,0.09159935,0.059956017,0.076875796,0.101019373,0.077289488
TCAF1,0.22544042,0.347596694,0.314398188,0.254758486,0.40411543,0.240190345
TCAF1P1,0,0,0.000627716,0,0.000130411,0
TCAF2,0.004962001,0,0.005551741,0.002403016,0.010488137,0
TCAIM,0.387274368,0.381251817,0.544390074,0.323919308,0.512601385,0.249782706
TCAM1P,0.006052428,0,0,0.010639665,0.004226999,0.017599895
TCAP,0.048400061,0.041738624,0.030697196,0.082822499,0.068591281,0.053185782
TCEA1,1.214892384,1.438787018,1.819405736,0.99955541,1.180019579,0.995882693
TCEA1P1,0.001968445,0,0,0.008193392,0.000559775,0
TCEA1P2,0.0437045,0.044045749,0.046487111,0.013824866,0.020500362,0.013661287
TCEA1P3,0.002226549,0,0,0.003950774,0.001145638,0
TCEA1P4,0,0,0.008135373,0,0.003587848,0.00166064
TCEA2,0.21660809,0.100556481,0.321918723,0.218259118,0.252697705,0.487685876
TCEA3,0.09889651,0.012434054,0.100425774,0.002751015,0.100563114,0.177929066
TCEAL1,0.480130329,0.437680482,0.597022468,0.447431866,0.592123922,0.451505137
TCEAL2,2.25255685,2.531384387,3.53037945,1.968349015,2.60270708,2.732533568
TCEAL3,1.700471001,1.914307434,1.915104058,1.24094833,1.496874533,1.706926501
TCEAL4,3.39186419,3.545921719,3.87460916,2.495922876,3.233974962,3.114356201
TCEAL5,4.878901838,5.032951007,6.234309177,4.648822111,5.017765905,6.76000902
TCEAL6,1.887728981,1.391355993,2.290197431,1.717014755,1.802539519,1.91578206
TCEAL7,0.384507873,0.041767864,0.301026402,0.014271023,0.296774845,0.10834521
TCEAL8,1.912286169,1.898239825,2.384230067,2.189465646,2.434198094,2.156418619
TCEAL9,3.640866523,4.047647068,4.523560733,3.564675874,4.92712172,4.216621139
TCEANC,0.038428964,0.04635594,0.06075202,0.02805197,0.045809986,0.022907796
TCEANC2,0.141826068,0.197953887,0.19679595,0.090479297,0.167205805,0.148380763
TCERG1,0.720939236,0.888708028,0.95379619,0.601481747,0.747313624,0.640424908
