Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
MT-TR,0.611254774,0.10290872,0.148492583,0.163223193,0.187656697,0.045452283
ABCA1,1.242140204,0.770944516,0.62650269,0.685981576,0.894579421,0.654310795
ELOVL4,0.629628612,0.258932695,0.190826864,0.397438786,0.604018358,0.369369609
SPATA3-AS1,0.072826797,0.022568356,0,0,0.088371692,0.065598821
LINC01676,0.067821143,0.047724164,0,0,0.244795636,0.226464049
LINC01760,0.085531033,0.076388592,0,0,0.631509759,0.326981297
TEX51,0.080723871,0.03180813,0,0,0.181284478,0.131109278
C16orf82,0.081723226,0.045078134,0,0,0.247731956,0.256392585
BPIFA3,0.075185525,0.027169507,0,0,0.120430191,0.164177596
ACTRT2,0.073681857,0.020931629,0,0,0.095758064,0.126560241
SPANXC,0.103322645,0.047003582,0,0,0.053345219,0.019066498
SPATA4,0.218527364,0.129031318,0.027417835,0.027818752,0.58865212,0.479465013
PIWIL1,0.079208352,0.030981784,0.001476765,0.053482554,0.203539433,0.082607458
AC006012.1,0.12711783,0.047574253,0.005364402,0,0.277025193,0.313506931
TOP2A,0.141709584,0.103914482,0.008836393,0.130992705,0.184632185,0.297103464
PROCA1,0.146810611,0.033342864,0.011251277,0.005668759,0.154506188,0.147721595
MT-TS2,1.927328306,0.781887452,0.90800226,1.265256795,1.201740246,0.305330653
MS4A5,0.067413237,0.067871704,0,0,0.292886703,0.20264306
SIRPD,0.073212884,0.037170216,0,0,0.203718064,0.079053906
TEX53,0.072770702,0.020219676,0,0,0.097169647,0.06086203
AL359853.3,0.08091576,0.012020268,0,0,0.085664748,0.032089618
ABCF2,0.067474387,0,0,0.147082814,0,0
FAM205C,0.078600867,0.023538274,0.00218828,0,0.11910753,0.063775528
CLU,6.552180872,6.601473393,6.230182176,6.693759735,6.712851592,6.637237374
RUBCNL,0.229484352,0.137166455,0.059195933,0.162089057,0.263591451,0.338624252
C15orf48,0.158376205,0.274613376,0.013747936,0.067064771,0.488829604,0.278583661
LINC02189,0.060923586,0.031975057,0,0,0.136325689,0.131986941
SPZ1,0.078111969,0.011795339,0,0,0.039655725,0.045723625
PDHA2,0.07111464,0.036470704,0,0,0.220262692,0.262882482
PLCZ1,0.072010077,0.0238898,0,0.012407934,0.165713171,0.203229603
HIST1H1T,0.075248646,0.027412643,0,0.171523115,0.127797202,0.064951896
TKTL1,0.087493512,0.101169368,0.000688073,0.031196541,0.061132199,0.204202272
SPACA1,0.101505667,0.072988907,0.003015605,0,0.195388594,0.330265619
DDI1,0.104482928,0.051139823,0.005129274,0.008494205,0.242815501,0.236235896
MT-ND1,7.806244602,7.785692595,7.298585842,7.795531725,8.162757693,7.890604458
MT-TD,0.676172548,0.338013221,0.192516546,0.41062108,0.476142164,0.222340472
TSSK6,0.135351562,0.045701402,0.006451992,0,0.136085927,0.257724837
AL355357.1,0.081801687,0.021841682,0,0,0.11499382,0.066066695
FNDC11,0.091731787,0.029448874,0,0,0.142480272,0.155863185
RGPD4-AS1,0.066304459,0.026794713,0,0,0.090766196,0.126783322
VCX,0.077568529,0.0207005,0,0.07370265,0.023524872,0.032230109
AKAP14,0.073268599,0.086224582,0,0,0.209666951,0.155735699
AL596275.2,0.065613636,0.029709209,0,0,0.152262265,0.092184063
