,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
KCNS3,0.012473181,0,0.024570262,0.044981258,0.01789016
KCNT1,0.034181787,0.005147794,0.003962069,0.002746653,0.003163673
KCNT2,0,0.043971467,0.082985165,0.051021082,0.062630111
KCNV2,0.024128257,0.016275146,0,0.003507885,0.002549749
KCP,0,0.001417089,0,0,0.007759459
KCTD1,0.109049695,0.043140219,0.048877673,0.139428922,0.081099027
KCTD10,0.188949079,0.441809907,0.273108554,0.269059661,0.155820685
KCTD11,0.025256692,0.083499944,0.04570565,0.043564483,0.134862324
KCTD12,1.274657916,1.343983297,2.772530966,2.531579212,2.000981122
KCTD13,0.094433137,0.125646741,0.116455886,0.286315676,0.107457135
KCTD14,0,0,0.008441042,0.041477809,0.128245786
KCTD15,0.033175242,0.05741321,0.058096761,0.04838345,0.071791057
KCTD16,0,0.013645644,0.000456922,0.008178004,0.000915355
KCTD17,0.017180636,0.039207752,0.050402342,0.022588857,0.11212192
KCTD18,0.066785656,0.106253531,0.112266909,0.135371659,0.126625396
KCTD19,0.053545191,0.048584024,0.000511579,0.013655684,0.005528409
KCTD2,0.138664509,0.157951418,0.179961688,0.344885154,0.198449497
KCTD20,0.555454751,1.093939186,1.03469518,0.708704092,0.719229277
KCTD21,0.067693495,0.030426311,0.041484699,0.030720023,0.053719172
KCTD21-AS1,0.00752296,0.036683045,0.055187023,0.07454279,0.018531285
KCTD3,0.358559142,0.371837137,0.416974723,0.526390061,0.284143827
KCTD5,0.022582635,0.143010243,0.117754186,0.175305689,0.089080687
KCTD6,0.356269692,0.049596503,0.215635962,0.178296654,0.202082364
KCTD7,0.085269674,0.076694922,0.107389802,0.222989629,0.130800668
KCTD8,0,0.022950754,0.007503317,0.011365016,0.000485679
KCTD9,0.500173164,0.4649941,0.462104889,0.47296704,0.370957416
KDELC1,0.045390318,0.103990744,0.123419548,0.133917501,0.125205054
KDELC2,0.441278637,0.646570896,1.243400142,0.605213975,1.38042357
KDELR1,2.507329478,1.366475435,4.070360152,1.662401747,3.309342724
KDELR2,2.262710126,0.710082398,2.98084706,1.92026926,1.877262408
KDELR3,0.440411744,0.322929383,0.666333471,0.270417873,0.254090779
KDF1,0.026594289,0.001998977,0,0.003965174,0.000517972
KDM1A,0.377242276,0.696547948,0.368624569,0.352306086,0.473139509
KDM1B,0.237913095,0.314687204,0.091191786,0.175118952,0.097804316
KDM2A,0.28265845,0.343193272,0.245904866,0.340150112,0.333172442
KDM2B,0.03421749,0.035130856,0.064382172,0.080020452,0.089323394
KDM3A,0.216784722,0.372196878,0.296383607,0.411547952,0.278473979
KDM3B,0.265325745,0.310978258,0.2959879,0.305609758,0.332984159
KDM4A,0.067466915,0.096595532,0.101597809,0.139992428,0.141997744
KDM4A-AS1,0.008693601,0.015943455,0.00525981,0,0.004822719
KDM4B,0.090848495,0.20273301,0.142655639,0.115177112,0.154573722
KDM4C,0.068139653,0.104154011,0.125674365,0.100886777,0.087098965
KDM4D,0.202979853,0.112230038,0.062545261,0.076434621,0.05258317
KDM5A,0.725883186,0.807763308,0.791456492,0.614729937,0.652952408
KDM5B,1.092820265,1.079369854,0.815743717,0.73330557,0.570502488
KDM5C,0.108215295,0.234303722,0.178931916,0.171430711,0.23103664
KDM5D,0.338775615,0.297021313,0.317707428,0.242625312,0.187968013
KDM6A,0.142810259,0.129115244,0.172404464,0.197500706,0.191057192
KDM6B,0.082433484,0.130987095,0.111110932,0.126077367,0.165753305
KDM7A,0.108492132,0.181578781,0.101016421,0.147780264,0.078992954
KDM8,0.022741204,0.018162244,0.022186594,0.006168677,0.029372907
KDR,0.182819784,0,0.018041116,0.017651085,0.041334104
KDSR,0.709026865,0.862531146,0.975851567,0.837514228,1.162201639
KEAP1,0.156994688,0.124223833,0.304414228,0.178796403,0.416305811
KEL,0,0.005195993,0.028189913,0.080854431,0.001657341
