subtype,gene_id,avg_logFC,p_val,p_val_adj,OA,Ctrl,pct.1,pct.2
ECs,NDUFS7,0.88582146,7.437105528477718e-06,0.0030879981718512,1.0371310113696932,0.1513095525732835,0.2352941176470588,0.0398406374501992
ECs,NHP2,1.3043022,4.304575402644031e-12,7.227007790134748e-09,1.523898021155104,0.2195957731421748,0.4705882352941176,0.0756972111553784
ECs,NTMT1,0.26512352,0.0002257106618794,0.0458727221498681,0.3220249765432003,0.0569014699604744,0.1176470588235294,0.0119521912350597
ECs,NUDT3,0.8553901,4.781568651968432e-13,8.792393975988621e-10,0.8692372101298509,0.0138471304196666,0.2352941176470588,0.0039840637450199
ECs,NUMA1,0.87365484,3.0276676652256517e-05,0.0112416718166046,1.1306680314495836,0.2570132130032955,0.2941176470588235,0.0756972111553784
ECs,OLFML2A,0.7504454,6.171882626185689e-05,0.0210909068681557,1.0151133263395662,0.2646679270631341,0.2647058823529412,0.0637450199203187
ECs,OST4,1.2946215,2.5259406697937548e-05,0.0097539198964085,2.764993743434505,1.4703723193024043,0.7058823529411765,0.50199203187251
ECs,PCBP1,1.9126222,7.9870628016206e-31,1.0280681002819314e-26,1.9230540069396904,0.0104317553080379,0.5294117647058824,0.0039840637450199
ECs,PDIA6,0.8578142,0.0001417436519191,0.0311966135007376,2.1603224151612146,1.3025082508233208,0.7058823529411765,0.4223107569721115
ECs,PET100,0.687703,4.5964671830570775e-10,5.916419342458302e-07,0.7051661658019284,0.01746314319827,0.2058823529411764,0.0079681274900398
ECs,PINK1,0.7347908,2.267571566461708e-09,2.4322854455255243e-06,0.7909100630962611,0.056119234368936,0.2352941176470588,0.0159362549800796
ECs,PLPP1,0.84622884,7.147799263884161e-06,0.0030001333540748,1.324516869557636,0.4782880332792139,0.4117647058823529,0.1235059760956175
ECs,PNPLA6,0.60907626,7.77033451808235e-06,0.0031920368874015,0.6675601800616975,0.0584839429280258,0.1764705882352941,0.0199203187250996
ECs,POLR2E,0.7161347,0.0002335887532806,0.0469793213954825,1.3238821004581216,0.6077473892752492,0.4705882352941176,0.2111553784860557
ECs,PPIB,1.5363522,6.893425720150869e-12,1.1091234757651076e-08,1.6939967876075646,0.1576446888415322,0.3823529411764705,0.0438247011952191
ECs,PRDX2,0.98928565,4.034187422031575e-06,0.0018113970616482,1.5218266063100627,0.532540953507023,0.4705882352941176,0.1713147410358565
ECs,PRELID1,1.3429757,2.7139699532940468e-18,8.061534595880741e-15,1.3899735535490567,0.0469978223055442,0.4117647058823529,0.0199203187250996
ECs,PSMD7,0.93301743,6.997894193901255e-05,0.0237038319559207,1.262082412740538,0.329065003502335,0.3235294117647059,0.099601593625498
ECs,RAB1B,1.0505049,5.911010802881285e-14,1.3426687185485932e-10,1.107475373619118,0.0569704191206637,0.3529411764705882,0.0239043824701195
ECs,RANGRF,0.40157014,8.056523407449942e-06,0.0032747647513545,0.4427857850684199,0.0412156498686187,0.1470588235294117,0.0119521912350597
ECs,SC5D,0.6402756,0.0001421883717759,0.0311966135007376,0.7943185947146227,0.1540430056861321,0.2352941176470588,0.0557768924302788
ECs,SDR39U1,0.4301884,0.000173679899383,0.0370533111308043,0.4657840645368143,0.0355956781622693,0.1176470588235294,0.0119521912350597
ECs,SELENOP,0.95644766,1.4283173679927836e-05,0.0056280076699021,1.2838956302092757,0.3274479984770403,0.3529411764705882,0.099601593625498
ECs,SH3BP5,1.2751364,8.167637659600082e-10,1.017397832985346e-06,1.4814179551550568,0.2062816219021751,0.3529411764705882,0.047808764940239
ECs,SLC33A1,0.44167826,0.0001340999491869,0.0302822779991411,0.4978179606586821,0.0561397171198988,0.1470588235294117,0.0199203187250996
ECs,SNORD13,0.6353374,4.6853139303697037e-08,3.413649007947662e-05,0.635337427958939,0.0,0.1176470588235294,0.0
ECs,SPSB3,0.36861262,4.6853139303697037e-08,3.413649007947662e-05,0.3686126182054113,0.0,0.1176470588235294,0.0
ECs,SRSF9,1.0242524,3.496440313675965e-09,3.6490552084485786e-06,1.279861981488532,0.2556095571083124,0.4117647058823529,0.0756972111553784
ECs,STK24,0.7181932,6.2448848340795414e-06,0.0027095303321899,0.7630839530990865,0.0448907820436874,0.1764705882352941,0.0199203187250996
ECs,STUB1,0.47204402,2.049355471708985e-06,0.0010830589212843,0.4836536199919172,0.0116095982222602,0.1176470588235294,0.0039840637450199
ECs,TAP1,0.7283922,5.5815969023949495e-06,0.0024773949929423,0.9644130164319438,0.2360208190137644,0.2941176470588235,0.0597609561752988
ECs,TMA7,1.6078311,3.927586819293544e-12,6.893807501228191e-09,2.8273777003665774,1.2195465919690247,0.8529411764705882,0.4103585657370518
ECs,TSSK1B,0.63842326,0.000188475533776,0.0393404472257412,0.7760460760914986,0.1376228017748462,0.2058823529411764,0.0438247011952191
ECs,TSSK2,0.8371946,4.6853139303697037e-08,3.413649007947662e-05,0.8371946346683765,0.0,0.1176470588235294,0.0
ECs,TUBA1B,2.594743,1.8511259562574551e-37,3.5740614400440816e-33,2.6947064480650305,0.0999633658095166,0.7647058823529411,0.0278884462151394
ECs,TUBA1C,0.5976149,2.038148211433105e-11,2.8108247565889052e-08,0.6036793129018398,0.0060644075851299,0.2058823529411764,0.0039840637450199
ECs,TUBA3C,0.7377715,0.0002043272526979,0.0420422042016324,1.0671207754445076,0.329349275510525,0.2941176470588235,0.0876494023904382
ECs,UBB,2.5387378,1.6292758005739622e-20,1.0485747506527255e-16,4.027893167545106,1.48915529835473,0.9705882352941176,0.4223107569721115
ECs,XAF1,1.2009901,1.5912597918410232e-08,1.61701307531424e-05,1.524606950513725,0.3236168938450199,0.4117647058823529,0.0876494023904382
ECs,ZFPL1,0.32402396,4.6853139303697037e-08,3.413649007947662e-05,0.3240239629193203,0.0,0.1176470588235294,0.0
ECs,ZMAT5,0.28046542,0.0002046855985991,0.0420422042016324,0.3285981398689114,0.0481327264460892,0.1176470588235294,0.0119521912350597
ECs,ZNF786,0.51183254,0.0001379313366495,0.030610451521386,0.572456014500845,0.0606234838173275,0.1470588235294117,0.0199203187250996
LCs,AAMDC,1.4244015,2.7592999946601707e-16,3.437108686896855e-13,2.0698692576383984,0.6454676980638394,0.7051282051282052,0.2634146341463415
LCs,ABI1,0.5559999,0.0002254649309505,0.0192611940144537,1.0080437751437172,0.4520438820486058,0.358974358974359,0.1609756097560975
LCs,ABO,0.49865434,2.3487747738190373e-07,5.5642906681608665e-05,0.7440074650890548,0.2453531384769791,0.358974358974359,0.0975609756097561
LCs,ABRACL,0.42728096,4.116525766838293e-05,0.0048463305636116,0.564852851985401,0.1375718976268284,0.2179487179487179,0.0536585365853658
