ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0034329,cell junction assembly,420/18723,4.17774302346462e-07,0.0001189695964771,9.78293930774e-05,ACTG1/MAP1B/CLDN1/LRRN3/ITGA6/MEF2C/SLK/PAK2/RAC1/CDC42/FLRT3/CD9/SETD5/MACF1/S100A10/VPS35/MAP4K4/PKN2/LSR/RHOC/DST/IQGAP1,22,22/281,6.379058277358017
BP,GO:0071375,cellular response to peptide hormone stimulus,290/18723,4.29647063285305e-07,0.0001189695964771,9.78293930774e-05,MAP1B/PIK3C2A/DENND4C/APPL2/NUCKS1/SYAP1/RAB31/EDN1/STAT3/ZNF106/VAMP2/PIK3R1/PARP1/AP3S1/PRKDC/USO1/OSBPL8/GSTP1,18,18/281,6.366888152341994
BP,GO:0032869,cellular response to insulin stimulus,203/18723,4.50009063752432e-07,0.0001189695964771,9.78293930774e-05,PIK3C2A/DENND4C/APPL2/NUCKS1/SYAP1/RAB31/ZNF106/VAMP2/PIK3R1/PARP1/AP3S1/PRKDC/USO1/OSBPL8/GSTP1,15,15/281,6.346778738895712
BP,GO:0042060,wound healing,422/18723,4.52724748757871e-07,0.0001189695964771,9.78293930774e-05,TIMP1/VTN/ACTG1/MYLK/CLDN1/TNFRSF12A/HSPB1/CLIC1/IL6ST/MYH9/EDN1/DDR1/HPS5/CD151/MYL9/SYT11/CD9/LMAN1/MACF1/RHOC/DST/BLOC1S6,22,22/281,6.344165763611245
BP,GO:0032231,regulation of actin filament bundle assembly,105/18723,5.11681043045471e-07,0.0001254983038242,0.0001031979872079,ACTG1/RDX/PAK2/RAC1/CDC42/S100A10/MTSS1/PFN1/RHOC/PIK3R1/CGNL1,11,11/281,6.29100067263752
BP,GO:0043254,regulation of protein-containing complex assembly,428/18723,5.7433338615376e-07,0.0001320607829787,0.0001085943520924,MAP1B/CRYAB/RDX/WASL/SLF2/SOX9/HSP90AA1/ARPC2/RAC1/ARHGAP18/CDC42/RIOK3/SPTAN1/TMSB4X/SPTBN1/ABCA1/CDKN1B/PFN1/RHOC/PARP1/CKAP5/SVIL,22,22/281,6.240835937330336
BP,GO:0034109,homotypic cell-cell adhesion,90/18723,9.8232893734735e-07,0.0002125875388529,0.0001748119731229,ACTG1/HSPB1/LGALS1/CLIC1/RDX/IL6ST/MYH9/JAK1/MYL9/CD9,10,10/281,6.007743062361485
BP,GO:0010639,negative regulation of organelle organization,348/18723,1.4250604511e-06,0.0002912665222197,0.0002395101600433,MAP1B/RAD21/RDX/MAP4/LMNA/PAK2/TAOK1/ATRX/SPTAN1/TMSB4X/SPTBN1/PFN1/PIK3R1/PARP1/MNAT1/TSPO/SCFD1/SVIL/CGNL1,19,19/281,5.846166712481922
BP,GO:1901653,cellular response to peptide,359/18723,2.2554344203e-06,0.0004243173181219,0.0003489186055371,MAP1B/PIK3C2A/DENND4C/APPL2/NUCKS1/SYAP1/RAB31/EDN1/STAT3/ZNF106/VAMP2/PIK3R1/PARP1/AP3S1/PRKDC/USO1/OSBPL8/VIM/GSTP1,19,19/281,5.646769796061678
BP,GO:2000736,regulation of stem cell differentiation,58/18723,2.3316319051e-06,0.0004243173181219,0.0003489186055371,OCIAD1/SOX9/PTN/STAT3/DHX36/ZFP36L2/PRKDC/N4BP2L2,8,8/281,5.632340010603376
BP,GO:0032868,response to insulin,264/18723,2.5922938282e-06,0.0004243173181219,0.0003489186055371,PIK3C2A/DENND4C/APPL2/NUCKS1/SYAP1/RAB31/ZNF106/VAMP2/PIK3R1/PARP1/AP3S1/PRKDC/FABP3/USO1/OSBPL8/GSTP1,16,16/281,5.586315774123343
BP,GO:0110020,regulation of actomyosin structure organization,100/18723,2.6056485959e-06,0.0004243173181219,0.0003489186055371,ACTG1/PAK2/EDN1/RAC1/CDC42/S100A10/PFN1/RHOC/PIK3R1/CGNL1,10,10/281,5.584084154683279
BP,GO:0031589,cell-substrate adhesion,363/18723,2.6527040817e-06,0.0004243173181219,0.0003489186055371,VTN/ACTG1/LGALS1/ITGA6/SLK/PTN/ARPC2/DDR1/RAC1/CDC42/NEDD9/MACF1/S100A10/MAP4K4/ACTN4/RRAS/NTN4/PIK3R1/IQGAP1,19,19/281,5.576311194364712
