gene,ctrl,disease,log2fc
MTDH,0.4732481066230717,0.5955045732409221,0.33151522762235963
MTDHP1,0.0,0.0,0.0
MTDHP2,0.0,0.0002424488720456,7.927475006060595
MTDHP3,0.002319995304371,0.0032109839006244,0.4687210577215749
MTDHP4,0.0,0.0004705421919053,8.881243053632135
MTDHP5,0.0,0.0003540909417569,8.472044747967791
MTERF1,0.2880067775830146,0.2637731563140667,-0.12680455062933105
MTERF2,0.0856670823100844,0.140913427617688,0.7179896314380786
MTERF3,0.4204481910053771,0.4348209056751375,0.048493153831280784
MTERF4,0.4665871939435354,0.7090680487624528,0.6037763198250341
MTF1,0.3808508265789265,0.3402774165075398,-0.1625141693233698
MTF2,1.750391680338893,1.8074858781908192,0.04630656338228875
MTFMT,0.2634105538031091,0.1490696165732392,-0.8213227118345376
MTFP1,0.0056387832963381,0.0027990214717162,-1.0102018390224508
MTFR1,0.7477253792668386,0.8198786735522896,0.1329017625278412
MTFR1L,0.7545138144333994,0.6689279469287212,-0.17369625030964178
MTFR2,1.0315649443387374,0.8830329208089305,-0.22429528688426276
MTG1,0.1190982423761767,0.1093472298898824,-0.12323436936299394
MTG2,0.1069394208262169,0.1648206136568907,0.6240981816910313
MTHFD1,0.0263601220083862,0.0124724926477016,-1.079546292665072
MTHFD1L,0.0094904362107831,0.0253123637929937,1.415200921814532
MTHFD2,0.788097031193608,0.6009952901873563,-0.39101901155584223
MTHFD2L,0.118323437755428,0.124322018141403,0.07134536621799943
MTHFD2P1,0.0,0.0,0.0
MTHFD2P6,0.0,0.0001087551261257,6.778144512345575
MTHFR,0.0573266272035889,0.0646827711657333,0.17417322568114496
MTHFS,0.0345822194250386,0.0340260265893504,-0.0233910901186194
MTHFSD,0.1608409957759243,0.2094781695985261,0.3811626481321791
MTIF2,0.4393397472231648,0.4876538681650365,0.15052014872450725
MTIF3,1.98841221112125,2.0807593909360937,0.06549324794760311
MTM1,0.0499572893802422,0.0551309288833786,0.14216399889835896
MTMR1,0.0149377758799791,0.0189167669920093,0.34067987146119294
MTMR10,0.1513336528722795,0.1614757475331746,0.09358405723605893
MTMR11,0.0311313772806511,0.0081788178190027,-1.9282751288609503
MTMR12,1.0342695369221206,1.134516055035146,0.13346469237189063
MTMR14,0.1186110445494644,0.1453212320218072,0.2930049126865719
MTMR2,0.7914548246151178,0.811026456108402,0.035241927449680355
MTMR3,0.0650569546571158,0.2452014427837477,1.914175980052314
MTMR4,0.0758399367491054,0.0642301763771885,-0.2397030645210229
MTMR6,1.7080052609233674,1.5725571922028974,-0.11919985862281489
MTMR7,0.0269510486860932,0.0155336620892355,-0.7949040794295782
MTMR8,0.0,0.0002052769646095,7.688438911148551
MTMR9,0.5031569658529103,0.5397765460138428,0.10135356041039367
MTMR9LP,0.0012427217620006,0.002034171531488,0.7104866246273247
MTND1P11,0.0,0.0018447307383736,10.849976387620393
MTND1P23,0.0220180364762973,0.0463567881754215,1.074060394194522
MTND1P4,0.0,0.0,0.0
MTND1P7,0.0,0.0,0.0
MTND1P8,0.0024015332199804,0.0009435719884957,-1.3468237215984868
MTND1P9,0.0,0.0,0.0
MTND2P28,0.2670747013031488,0.1892026361147935,-0.4973089100891457
MTND2P38,0.0,0.0,0.0
MTND2P4,0.0,0.0005230336197809,9.033515561719264
MTND2P40,0.0,0.0,0.0
MTND2P5,0.0,0.0,0.0
MTND2P6,0.0005573298112143,0.0,-9.124973778568613
MTND3P10,0.0183881100084485,0.1795058023779388,3.2871149523949414
MTND3P19,0.0,0.001778783678424,10.797486185949143
MTND4LP30,0.0,0.0013936063660005,10.445642256926748
MTND4P12,0.510900673792858,0.1705002861328757,-1.5832630403455041
MTND4P13,0.0,0.0,0.0
MTND4P14,0.0009216874627737,0.0017102994581468,0.891178278331955
MTND4P15,0.001506978449776,0.0022274854669199,0.5634477409554103
MTND4P2,0.0,0.0,0.0
MTND4P24,0.0943282633738809,0.0766571507160885,-0.29926620629263917
MTND4P26,0.0,0.0015070088565396,10.55842918624495
MTND4P29,0.0009373041139557,0.0,-9.873911780519014
MTND4P31,0.0,0.0,0.0
MTND4P35,0.0113762856915687,0.0016654137812621,-2.7713378304543075
MTND4P4,0.0,0.0,0.0
MTND4P5,0.0,0.0,0.0
MTND5P1,0.0381291677589752,0.0270075675456422,-0.49751575280773974
MTND5P10,0.0212050896283091,0.0,-14.372190994102299
MTND5P11,0.0102629534753288,0.0076721266643158,-0.41970006054412123
MTND5P14,0.0027033697696215,0.005382754243316,0.9933201301474701
MTND5P18,0.0,0.0,0.0
MTND5P28,0.0,0.0,0.0
MTND5P3,0.0014048036917189,0.0,-10.457179433299544
MTND5P31,0.0,0.0,0.0
MTND5P32,0.0214109606275114,0.0091280972496866,-1.2298727965388276
MTND5P33,0.0068033931378694,0.0065384480004712,-0.05729763616314079
MTND5P6,0.0,0.0,0.0
MTND5P7,0.0,0.0,0.0
MTND5P8,0.0,0.0020114889111953,10.974765118668163
MTND6P20,0.0,0.0,0.0
MTND6P21,0.0,0.0,0.0
MTND6P24,0.0,0.0,0.0
MTND6P3,0.0163839578209363,0.002363767393168,-2.792601771918722
MTND6P4,0.0159705502952808,0.0,-13.963216735802721
MTND6P5,0.0014509509600045,0.0058255687227442,2.0046538008957353
MTNR1A,0.0033684199898146,0.0047910975653625,0.5081570131578389
MTNR1B,0.0,0.0033358046328662,11.704251505061217
MTO1,0.6279175324531068,0.602462069689853,-0.05970458432932979
MTOR,0.5804917926760107,0.5071767352020895,-0.19478674146385647
MTOR-AS1,0.0,0.0023032082313327,11.17005538370638
MTPAP,0.252975783263983,0.272707652725445,0.10835548715448808
MTPN,0.8008279403087541,0.7174475770543478,-0.1586186804527725
MTR,0.3229531746545513,0.3185888313494417,-0.01962924917891271
MTREX,1.044985253973003,0.9733741596776242,-0.10241610190170569
MTRF1,0.4866383717022019,0.4392089438826114,-0.14794232878169097
MTRF1L,0.5716482568541861,0.5440252619136465,-0.0714539366349716
MTRNR2L1,0.0260675771512227,0.1197783217711451,2.199995122041206
MTRNR2L10,0.0087303553710116,0.0002855466037358,-4.929363919165774
MTRNR2L11,0.005038890816651,0.0009444942097797,-2.414251951531135
MTRNR2L12,0.0045398032187324,0.0157912065044707,1.798193337946856
MTRNR2L3,0.0787260054875537,0.0345505700051944,-1.1881073365576615
MTRNR2L4,0.0026806349902753,0.0025125435676405,-0.0933901830131496
MTRNR2L6,0.0090245911391849,0.0022092185286933,-2.0298324069083593
MTRNR2L8,0.0200329248181185,0.0043909275399416,-2.189518927802217
MTRR,0.3399364455313218,0.3369180366590892,-0.01286734335204698
MTSS1,0.0551067485293556,0.0256949783396795,-1.1007126040732458
MTSS1L,0.0,0.0102406907859372,13.322166286989551
MTTP,0.3882087656043901,0.4133573116135278,0.09055648591473596
MTURN,0.0228872024480952,0.0284246263844791,0.31258797697217533
MTUS1,0.0729854108409072,0.0771954106401206,0.08090589166079687
MTUS2,0.0093221449340919,0.0077474399734415,-0.26691081907740816
MTUS2-AS1,0.0,0.0,0.0
MTX1,0.0216919893012303,0.0388798427496606,0.8418306194004754
MTX1P1,0.0015127801174794,0.0,-10.563939948070336
MTX2,2.812937153674415,2.539835424223855,-0.14734224878857677
MTX3,0.2141509250950956,0.2369622028213764,0.1460283992649802
MUC1,0.2392595705399333,0.168287521843531,-0.5076458837502708
MUC12,0.0233997645174873,0.0555665520412563,1.247687021249264
MUC13,0.0033971895685534,0.0,-11.73055062040477
MUC15,0.0039009938902003,0.0082647294803261,1.0829306292018681
MUC16,0.0098894963065712,0.004963123510917,-0.9945039062602862
MUC17,0.0,0.0,0.0
MUC19,0.020333292659263,0.0167376136705964,-0.2807347610408407
MUC2,0.0020625883840866,0.0007344875944741,-1.4883823179640046
MUC20,0.009170627486851,0.0067719350870243,-0.4373965910838536
MUC20-OT1,0.3800829243654722,0.3669036331587397,-0.05091288515035755
MUC21,0.0,0.0,0.0
MUC22,0.0,0.0,0.0
MUC3A,0.0,0.0028409543441559,11.472667662610498
MUC4,0.0073191121766203,0.0158679120809429,1.1162655629751148
MUC5AC,0.0,0.000166834096264,7.390892025421404
MUC5B,0.0,0.0003653816179648,8.517203312379113
MUC6,0.0,0.0015180124327571,10.568917962667724
MUC7,0.0,0.0,0.0
MUCL1,0.0,0.0023400271807782,11.192925969793887
MUL1,0.1066741286897429,0.1424770988087851,0.41751631976292325
MUM1,0.9336599878878054,1.1749600975781236,0.3316422827551654
MUM1L1,0.0217570580716821,0.0210403113191028,-0.04832518249468033
MUS81,0.6983512114903102,0.5888450785186236,-0.2460642682539998
MUSK,0.0019115232478482,0.0033462343886969,0.8074922939612368
MUT,0.2119382694968804,0.237059987887312,0.16160733973158728
MUTYH,0.0343775521080346,0.0573124825078231,0.7373657752606683
MVB12A,0.221638909288839,0.1950243453390427,-0.18455605403741926
MVB12B,0.0477237109073733,0.0811913773304822,0.766607829184679
MVD,0.2611750676681578,0.3645595296899798,0.4811356672983072
MVK,0.2589998909049433,0.3274398633838762,0.33827731547566015
MVP,0.008055574479634,0.0203772723328186,1.3387932807008895
MX1,0.0044351865711113,0.0081686601767671,0.880956027936087
MX2,0.0755392973850037,0.1065676867793473,0.49646522287358225
MXD1,0.343425528868358,0.4997597736208368,0.5412361799385232
MXD3,0.0050092952653924,0.0093402704219963,0.8987231447802513
MXD4,0.0259531068999825,0.0241729122178447,-0.10251187187484458
MXI1,0.0661499462439077,0.079514576467098,0.26547570711639784
MXRA5,0.0,0.0,0.0
MXRA7,0.0305162657563346,0.0373932557182219,0.29319096158184277
MXRA8,0.0062489460608816,0.0076157539723747,0.28533255729427004
MYADM,0.8544865809758795,0.9234188233982328,0.11192717950281776
MYADML,0.835740566897103,0.5937736820704187,-0.4931413126781624
MYADML2,0.0,0.0001648440667884,7.373683589189973
MYB,0.0061283624285744,0.001901368060553,-1.6879406151795595
MYB-AS1,0.0,0.0001666117509503,7.388979487042517
MYBBP1A,0.0953277782833852,0.1607975850125423,0.7542709989017544
MYBL1,1.1189747557619625,1.0426649740207543,-0.10190172502742366
MYBL2,0.0230127208850762,0.037282859896715,0.696056966994249
MYBPC1,0.0130073632493952,0.0210953868419411,0.697556481752891
MYBPC2,0.0066695625571079,0.0016537021570159,-2.0112368769304134
MYBPC3,0.0041485708829482,0.0010118877291328,-2.034487880351214
MYBPHL,0.0,0.0013824543087009,10.434059281555992
MYC,0.0,0.0076021316027138,12.892378047579353
MYCBP,0.1517346003454137,0.1838275720657075,0.2768014072033898
MYCBP2,0.94890088729424,0.9010300072772912,-0.07468217147763895
MYCBP2-AS1,0.0022583856027717,0.0029619070003451,0.3910828314197299
MYCBPAP,1.2166183278928353,1.1810501516981302,-0.04280637929649884
MYCL,0.0053176887462346,0.0007782323212707,-2.7709451874187834
MYCLP1,0.0,0.0001613620412742,7.343070573119895
MYCN,0.006557143255742,0.0403411905519075,2.6209301020363576
MYCNOS,0.0210773978984089,0.1003213298345856,2.250805636434791
