ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:1902105,regulation of leukocyte differentiation,279/18723,0.0011723328858784,0.0391503776825424,0.0329941331562938,FOS/JUN/ZFP36L2/INHBA/ZFP36L1/MAFB/ID2,7,7/108
BP,GO:0006986,response to unfolded protein,137/18723,0.0011889859419434,0.0391503776825424,0.0329941331562938,HSPA1A/HSPA1B/DNAJB1/PPP1R15A/CREBRF,5,5/108
BP,GO:0048708,astrocyte differentiation,81/18723,0.0012384980440624,0.0401981079444263,0.0338771119120235,LAMC3/HES1/ID2/LDLR,4,4/108
BP,GO:0001892,embryonic placenta development,82/18723,0.0012962905541399,0.0414812977324776,0.0349585250997854,JUNB/NR2F2/ZFP36L1/HES1,4,4/108
BP,GO:0007623,circadian rhythm,210/18723,0.001372831463578,0.041652858292137,0.0351031084291129,EGR1/JUN/ID2/NR1D2/BHLHE41/FBXL3,6,6/108
BP,GO:1903311,regulation of mRNA metabolic process,288/18723,0.0014070457020937,0.041652858292137,0.0351031084291129,ZFP36/RBM3/ZFP36L2/ZFP36L1/HNRNPM/SF3B4/RBM8A,7,7/108
BP,GO:0006457,protein folding,212/18723,0.0014407871996525,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/LTBP4/HSPB6/PPIB/DNAJB1,6,6/108
BP,GO:0044403,biological process involved in symbiotic interaction,290/18723,0.0014638731133896,0.041652858292137,0.0351031084291129,JUN/HSPA1A/HSPA1B/GAPDH/PPIB/GSN/LDLR,7,7/108
BP,GO:0051084,'de novo' posttranslational protein folding,39/18723,0.0014666499398639,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/DNAJB1,3,3/108
BP,GO:0090224,regulation of spindle organization,39/18723,0.0014666499398639,0.041652858292137,0.0351031084291129,HSPA1A/HSPA1B/CHMP5,3,3/108
BP,GO:0051346,negative regulation of hydrolase activity,379/18723,0.0015873889322105,0.0442437680783425,0.0372866077346669,GAPDH/BST2/ARL6IP1/KLF4/RGS2/BOD1/TIMP2/PPP1R15A,8,8/108
BP,GO:0043484,regulation of RNA splicing,148/18723,0.0016734906901866,0.0442437680783425,0.0372866077346669,HSPA1A/RBM3/SRSF5/SF3B4/RBM8A,5,5/108
BP,GO:0051384,response to glucocorticoid,148/18723,0.0016734906901866,0.0442437680783425,0.0372866077346669,FOS/ZFP36/ZFP36L2/ZFP36L1/FOSB,5,5/108
BP,GO:0031647,regulation of protein stability,298/18723,0.0017093552546575,0.0442437680783425,0.0372866077346669,HSPA1A/HSPA1B/GAPDH/PPIB/GSN/PFN2/FBXL3,7,7/108
BP,GO:0048511,rhythmic process,298/18723,0.0017093552546575,0.0442437680783425,0.0372866077346669,EGR1/JUN/INHBA/ID2/NR1D2/BHLHE41/FBXL3,7,7/108
BP,GO:0042692,muscle cell differentiation,384/18723,0.0017234394354365,0.0442437680783425,0.0372866077346669,MYH11/SPAG9/HES1/RGS2/ID2/SGCB/CAPN2/BHLHE41,8,8/108
BP,GO:0044706,multi-multicellular organism process,220/18723,0.0017386219907072,0.0442437680783425,0.0372866077346669,FOS/JUNB/NR2F2/RGS2/FOSB/CAPN2,6,6/108
BP,GO:0045786,negative regulation of cell cycle,385/18723,0.0017517264413916,0.0442437680783425,0.0372866077346669,ZFP36L2/INHBA/NR2F2/KLF4/ZFP36L1/NUPR1/TIMP2/KANK2,8,8/108
BP,GO:0045687,positive regulation of glial cell differentiation,42/18723,0.0018193953518512,0.0451496841805897,0.0380500720554543,HES1/ID2/DICER1,3,3/108
BP,GO:0045638,negative regulation of myeloid cell differentiation,90/18723,0.0018282442537914,0.0451496841805897,0.0380500720554543,ZFP36/INHBA/ZFP36L1/MAFB,4,4/108
BP,GO:0016049,cell growth,482/18723,0.0018963692312896,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/INHBA/BST2/LTBP4/SPAG9/RGS2/SMARCA2/RBBP7,9,9/108
BP,GO:0055006,cardiac cell development,91/18723,0.0019039122324719,0.0451548618432282,0.0380544355507932,TGFBR3/MYH11/RGS2/SGCB,4,4/108
BP,GO:0010001,glial cell differentiation,225/18723,0.0019471777068088,0.0451548618432282,0.0380544355507932,MXRA8/LAMC3/HES1/ID2/LDLR/DICER1,6,6/108
BP,GO:0006458,'de novo' protein folding,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/DNAJB1,3,3/108
BP,GO:0014014,negative regulation of gliogenesis,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HES1/LDLR/DICER1,3,3/108
BP,GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,43/18723,0.0019477009069702,0.0451548618432282,0.0380544355507932,HSPA1A/HSPA1B/INHBA,3,3/108
BP,GO:0007519,skeletal muscle tissue development,155/18723,0.0020490444980189,0.0468236454218501,0.0394608094062015,FOS/EGR1/NR2F2/NUPR1/NR1D2,5,5/108
BP,GO:0051591,response to cAMP,93/18723,0.0020617076944623,0.0468236454218501,0.0394608094062015,FOS/JUN/ZFP36L1/FOSB,4,4/108
BP,GO:0060711,labyrinthine layer development,44/18723,0.0020815088853903,0.0468236454218501,0.0394608094062015,JUNB/ZFP36L1/HES1,3,3/108
BP,GO:0035051,cardiocyte differentiation,156/18723,0.002107328382782,0.0469397067223607,0.0395586205188909,TGFBR3/MYH11/HES1/RGS2/SGCB,5,5/108
BP,GO:0071364,cellular response to epidermal growth factor stimulus,45/18723,0.0022209006816419,0.0489891878513638,0.0412858287164709,ZFP36/ZFP36L2/ZFP36L1,3,3/108
MF,GO:0042826,histone deacetylase binding,127/18368,0.0001098474919782,0.0352610449250309,0.0320292160820907,HSPA1A/HSPA1B/KLF4/HES1/BHLHE41/RBBP4,6,6/109
MF,GO:0031625,ubiquitin protein ligase binding,297/18368,0.0003935715269336,0.0454872172330361,0.0413181150141039,JUN/HSPA1A/UBC/SQSTM1/HSPA1B/TUBA1B/CKB/LRPPRC,8,8/109
MF,GO:0035925,mRNA 3'-UTR AU-rich region binding,25/18368,0.000425114179748,0.0454872172330361,0.0413181150141039,ZFP36/ZFP36L2/ZFP36L1,3,3/109
MF,GO:0044389,ubiquitin-like protein ligase binding,316/18368,0.0005926438347119,0.0475596677356357,0.0432006163724253,JUN/HSPA1A/UBC/SQSTM1/HSPA1B/TUBA1B/CKB/LRPPRC,8,8/109
