id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,LCs_a|LCs_a,LCs_a|LCs_b,LCs_a|LCs_c,LCs_a|STs,LCs_b|LCs_a,LCs_b|LCs_b,LCs_b|LCs_c,LCs_b|STs,LCs_c|LCs_a,LCs_c|LCs_b,LCs_c|LCs_c,LCs_c|STs,STs|LCs_a,STs|LCs_b,STs|LCs_c,STs|STs
CPI-SC0CBE0F4A0,WNT6_FZD7_LRP5,simple:Q9Y6F9,complex:FZD7_LRP5,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0AB470FD0,WNT10A_FZD7_LRP6,simple:Q9GZT5,complex:FZD7_LRP6,ENSG00000135925,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0D837BE1B,WNT11_FZD7_LRP6,simple:O96014,complex:FZD7_LRP6,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0C646FE07,WNT3_FZD3_LRP6,simple:P56703,complex:FZD3_LRP6,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0B739B6BE,WNT5A_FZD3_LRP6,simple:P41221,complex:FZD3_LRP6,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC018C0B727,WNT5B_FZD3_LRP6,simple:Q9H1J7,complex:FZD3_LRP6,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0D8C38952,WNT6_FZD3_LRP6,simple:Q9Y6F9,complex:FZD3_LRP6,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC010561E8D,WNT11_FZD4_LRP6,simple:O96014,complex:FZD4_LRP6,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0594F894D,WNT2_FZD4_LRP6,simple:P09544,complex:FZD4_LRP6,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC092B44A03,WNT3_FZD4_LRP6,simple:P56703,complex:FZD4_LRP6,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0671450D5,WNT2B_FZD3_LRP5,simple:Q93097,complex:FZD3_LRP5,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC066A4E191,WNT3_FZD3_LRP5,simple:P56703,complex:FZD3_LRP5,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC081B09E04,WNT5A_FZD3_LRP5,simple:P41221,complex:FZD3_LRP5,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC02753B9BD,WNT5B_FZD3_LRP5,simple:Q9H1J7,complex:FZD3_LRP5,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC01D3E6936,WNT6_FZD3_LRP5,simple:Q9Y6F9,complex:FZD3_LRP5,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC06CA35957,WNT11_FZD3_LRP6,simple:O96014,complex:FZD3_LRP6,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC03F9E6AC5,WNT2_FZD3_LRP6,simple:P09544,complex:FZD3_LRP6,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC08DE61392,WNT2_FZD2_LRP6,simple:P09544,complex:FZD2_LRP6,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC058678C1B,WNT2B_FZD2_LRP6,simple:Q93097,complex:FZD2_LRP6,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0EBBD9B59,WNT3_FZD2_LRP6,simple:P56703,complex:FZD2_LRP6,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC07D1540F8,WNT5A_FZD2_LRP6,simple:P41221,complex:FZD2_LRP6,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
