names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference	mean
SLC35B3	-0.9808381795883179	-0.41387778520584106	0.32667253539345253	1.0	0.08612303290414879	0.15384615384615385	0.37451697931886496
SRPRA	-0.9810846447944641	-0.2573361098766327	0.3265509886120317	1.0	0.34992846924177395	0.46153846153846156	1.3273640179278394
TPD52L2	-0.9813314080238342	-0.2766532003879547	0.32642932816757	1.0	0.1452074391988555	0.23076923076923078	0.5524598167073308
TLR3	-0.9814022183418274	-0.4610248804092407	0.3263944280139729	1.0	0.08612303290414879	0.15384615384615385	0.38952567825614054
ZADH2	-0.9827160835266113	-0.2684032917022705	0.3257472007481248	1.0	0.13819742489270387	0.23076923076923078	0.568147897089114
NOL10	-0.9830032587051392	-0.2988285422325134	0.3256058339788148	1.0	0.08183118741058655	0.15384615384615385	0.34615636402662464
AP5S1	-0.9836631417274475	0.03193453699350357	0.32528115712164396	1.0	0.028898426323319026	0.07692307692307693	0.12723115421168898
AKAP7	-0.9836633801460266	-0.32588496804237366	0.32528105401472396	1.0	0.03118741058655222	0.07692307692307693	0.13417705531890867
APOL2	-0.9838381409645081	-0.20882770419120789	0.3251950936451945	1.0	0.030758226037195996	0.07692307692307693	0.1272923066514397
EXTL2	-0.984247624874115	-0.3615000545978546	0.3249937815697528	1.0	0.1503576537911302	0.23076923076923078	0.6069075661220316
CASD1	-0.9844492077827454	-0.3570481836795807	0.32489468946750255	1.0	0.0844062947067239	0.15384615384615385	0.36016183486440273
RBM12	-0.9849103093147278	-0.17682786285877228	0.3246681245363937	1.0	0.13590844062947066	0.23076923076923078	0.5311287249601877
FMOD	-0.985369086265564	-0.23915494978427887	0.3244428134805023	1.0	0.13361945636623748	0.23076923076923078	0.5266284057551205
SRSF1	-0.9859206080436707	-0.1581580936908722	0.3241720842341722	1.0	0.19370529327610872	0.3076923076923077	0.7144506650018003
FAM86DP	-0.986126184463501	-0.10822772234678268	0.3240711819987868	1.0	0.0296137339055794	0.07692307692307693	0.14045523839436888
TEX9	-0.9862082004547119	-0.12503060698509216	0.3240309429391367	1.0	0.029899856938483547	0.07692307692307693	0.14441824226197592
HARS	-0.9865027070045471	-0.14473417401313782	0.3238864810998061	1.0	0.07825464949928469	0.15384615384615385	0.3159807856526312
LINC01140	-0.9869713187217712	-0.199519544839859	0.3236566879033199	1.0	0.03061516452074392	0.07692307692307693	0.13660046337233087
C12orf73	-0.9875057935714722	-0.24062903225421906	0.32339475267747664	1.0	0.030758226037195996	0.07692307692307693	0.14666584390675974
NLRX1	-0.9888654351234436	0.052564844489097595	0.3227289747338773	1.0	0.028755364806866954	0.07692307692307693	0.14786146358740612
ATP13A3	-0.9899534583091736	-0.2964749038219452	0.32219686241380585	1.0	0.031044349070100143	0.07692307692307693	0.13257251757604188
LDLRAP1	-0.9901877045631409	-0.20958180725574493	0.32208236923756595	1.0	0.03061516452074392	0.07692307692307693	0.12653819751181714
BLOC1S6	-0.991122841835022	-0.3833220601081848	0.32162560713891597	1.0	0.25779685264663804	0.38461538461538464	0.9747201725184751
MIB1	-0.9913308620452881	-0.36879852414131165	0.32152404718336913	1.0	0.14935622317596567	0.23076923076923078	0.591636571699127
GOLGB1	-0.9915171265602112	-0.3724939823150635	0.3214331299722609	1.0	0.7745350500715308	0.8461538461538461	2.951683036808708
ZNF76	-0.9917852878570557	-0.13571783900260925	0.3213022811973031	1.0	0.029899856938483547	0.07692307692307693	0.13373100935851692
SERP2	-0.9921602606773376	-0.36458635330200195	0.32111934853020274	1.0	0.030901287553648068	0.07692307692307693	0.1489932857555127
LYRM9	-0.9922052621841431	-0.4342212378978729	0.3210974117271459	1.0	0.08283261802575108	0.15384615384615385	0.3469368687336159
RAB33B	-0.9926723837852478	-0.2049035131931305	0.3208696228150807	1.0	0.07968526466380543	0.15384615384615385	0.33162590803928843
EGFLAM	-0.9931531548500061	-0.34146562218666077	0.3206353201021611	1.0	0.2888412017167382	0.38461538461538464	1.1844324197704619
MAN1A2	-0.9951670169830322	-0.18515625596046448	0.31965503967096054	1.0	0.2718168812589413	0.38461538461538464	1.0605840280919971
AAR2	-0.9952091574668884	-0.2739064693450928	0.31963455649599626	1.0	0.08254649499284693	0.15384615384615385	0.33801969278221233
CBWD1	-0.9955102801322937	-0.37799185514450073	0.3194881563012598	1.0	0.14964234620886982	0.23076923076923078	0.6089214227919716
ESS2	-0.9959467649459839	-0.14099545776844025	0.3192760061778037	1.0	0.029756795422031475	0.07692307692307693	0.1284533923776913
PIGT	-0.9967666864395142	-0.2920670509338379	0.31887778580710935	1.0	0.21244635193133046	0.3076923076923077	0.8084330914451904
CUL4B	-0.9974156618118286	-0.2726201117038727	0.3185627899990099	1.0	0.21087267525035766	0.3076923076923077	0.8016878796779917
ZNF680	-0.9974320530891418	-0.6501146554946899	0.3185548318539182	1.0	0.1497854077253219	0.23076923076923078	0.606443164433215
AFF3	-0.9979989528656006	-0.289438933134079	0.31827986551863796	1.0	0.03061516452074392	0.07692307692307693	0.1396084820493445
TMEM150A	-0.9980038404464722	-0.31570354104042053	0.3182775009105001	1.0	0.08397711015736767	0.15384615384615385	0.3253134428643892
CHID1	-0.9986736178398132	-0.7064286470413208	0.3179528345207472	1.0	0.2044349070100143	0.3076923076923077	0.7798780688784269
ANGPT1	-0.9987301826477051	-0.11234880238771439	0.3179254037240422	1.0	0.029470672389127324	0.07692307692307693	0.13633415700777865
