ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
CC,GO:0030055,cell-substrate junction,425/19550,1.8492174366648102e-9,2.90327137556375e-7,2.30989967527254e-7,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433
CC,GO:0005788,endoplasmic reticulum lumen,313/19550,1.46690081469772e-7,0.0000172727570930656,0.0000137425444745365,C3/FSTL1/COL6A3/FBN1/STS/ACE2/COL1A2/ADAM17/PDIA4/TIMP1/COL4A1/P4HA1/ERLEC1/CHRDL1/MYDGF/CLU/COL5A1/IGFBP3/FN1/COL3A1/MIA3/EDEM3/CSF1/VCAN,24,24/433
CC,GO:0031252,cell leading edge,422/19550,9.18566942785185e-7,0.0000865290060103644,0.0000688441750803212,CD44/THY1/TUBG1/S100A6/AIF1L/DBNL/LIMA1/ANXA2/FERMT1/MYO1C/ACTR3/ADAM17/DYNLT1/PSD3/ABI2/CORO1C/ABLIM1/TWF1/APPL1/ARF1/CAPZB/ACTR2/PARVA/S100A11/CAPG/ARPIN/DLC1,27,27/433
CC,GO:0030120,vesicle coat,54/19550,0.00000259569794817705,0.0001947513884389,0.000154948026113,COPG1/AP1S2/COPB1/SEC24D/SEC13/SEC31A/CLTC/SEC23A/COPA,9,9/433
CC,GO:0030662,coated vesicle membrane,181/19550,0.00000289439430801052,0.0001947513884389,0.000154948026113,HLA-G/COPG1/KDELR3/DBNL/AP1S2/HIP1/COPB1/SEC24D/LMAN1/SEC13/DAB2/SEC31A/CLTC/SEC23A/IGF2R/COPA,16,16/433
CC,GO:0005581,collagen trimer,87/19550,0.00000342136229377764,0.0002014327050461,0.0001602638127085,CTHRC1/COL6A3/DCN/COLEC12/COL1A2/LUM/COL4A1/LOX/COL5A1/COL3A1/EMILIN2,11,11/433
CC,GO:0030117,membrane coat,89/19550,0.00000428811179120723,0.0002019700653658,0.0001606913471231,COPG1/AP1S2/COPB1/SEC24D/AP3S1/SEC13/SEC31A/CLTC/SEC23A/IGF2R/COPA,11,11/433
CC,GO:0048475,coated membrane,89/19550,0.00000428811179120723,0.0002019700653658,0.0001606913471231,COPG1/AP1S2/COPB1/SEC24D/AP3S1/SEC13/SEC31A/CLTC/SEC23A/IGF2R/COPA,11,11/433
CC,GO:0005798,Golgi-associated vesicle,96/19550,0.00000901397042701069,0.0003859618246474,0.0003070788011498,COPG1/KDELR3/AP1S2/CHIC2/COPB1/ARF1/RAB8B/CLTC/GJA1/IGF2R/COPA,11,11/433
CC,GO:0001726,ruffle,178/19550,0.0000105420112270688,0.0004137739406624,0.0003292066663891,S100A6/AIF1L/DBNL/LIMA1/ANXA2/FERMT1/MYO1C/ADAM17/PSD3/CORO1C/TWF1/APPL1/S100A11/CAPG/DLC1,15,15/433
CC,GO:0042470,melanosome,109/19550,0.0000303244441115824,0.0010202009411825,0.0008116918874979,CD63/CTNS/ANXA2/RAB2A/YWHAE/PDIA4/SERPINF1/ATP1B3/CLTC/SDCBP/CAPG,11,11/433
CC,GO:0048770,pigment granule,109/19550,0.0000303244441115824,0.0010202009411825,0.0008116918874979,CD63/CTNS/ANXA2/RAB2A/YWHAE/PDIA4/SERPINF1/ATP1B3/CLTC/SDCBP/CAPG,11,11/433
CC,GO:0034774,secretory granule lumen,322/19550,0.0000364774597757497,0.0011453922369585,0.000911296538959,C3/DBNL/PSMD12/ANXA2/DYNLT1/PGM2/MAGED2/TIMP1/PTGES2/CLU/FN1/CTSH/ACTR2/ILF2/GNS/SDCBP/ACTR10/S100A11/PYGL/PSMB7,20,20/433
CC,GO:0060205,cytoplasmic vesicle lumen,325/19550,0.0000415582698476373,0.0011589541164827,0.0009220866364238,C3/DBNL/PSMD12/ANXA2/DYNLT1/PGM2/MAGED2/TIMP1/PTGES2/CLU/FN1/CTSH/ACTR2/ILF2/GNS/SDCBP/ACTR10/S100A11/PYGL/PSMB7,20,20/433
CC,GO:0030135,coated vesicle,299/19550,0.0000418306156692303,0.0011589541164827,0.0009220866364238,HLA-G/COPG1/KDELR3/DBNL/AP1S2/GPR107/HIP1/COPB1/SEC24D/LMAN1/ARF1/SEC13/RAB8B/DAB2/SEC31A/CLTC/SEC23A/IGF2R/COPA,19,19/433
CC,GO:0031983,vesicle lumen,327/19550,0.0000452873354118065,0.0011850186099422,0.0009428240588656,C3/DBNL/PSMD12/ANXA2/DYNLT1/PGM2/MAGED2/TIMP1/PTGES2/CLU/FN1/CTSH/ACTR2/ILF2/GNS/SDCBP/ACTR10/S100A11/PYGL/PSMB7,20,20/433
CC,GO:0098644,complex of collagen trimers,21/19550,0.0000790520223897212,0.0019596580287136,0.0015591423806504,COL1A2/LUM/COL4A1/COL5A1/COL3A1,5,5/433
CC,GO:1904813,ficolin-1-rich granule lumen,124/19550,0.000099386138554094,0.0021841088365029,0.0017377198475696,DBNL/PSMD12/DYNLT1/PGM2/CTSH/ACTR2/ILF2/GNS/ACTR10/PYGL/PSMB7,11,11/433
CC,GO:0005583,fibrillar collagen trimer,12/19550,0.0001020178225118,0.0021841088365029,0.0017377198475696,COL1A2/LUM/COL5A1/COL3A1,4,4/433
CC,GO:0098643,banded collagen fibril,12/19550,0.0001020178225118,0.0021841088365029,0.0017377198475696,COL1A2/LUM/COL5A1/COL3A1,4,4/433
CC,GO:0005775,vacuolar lumen,174/19550,0.0001392933772111,0.0028524861159322,0.0022694939261858,C3/DCN/ANXA2/LUM/PTGES2/EPDR1/ACTR2/PRELP/GNS/SDCBP/BGN/ACTR10/VCAN,13,13/433
CC,GO:0030660,Golgi-associated vesicle membrane,54/19550,0.0001796316000089,0.0035252701501763,0.0028047741054034,COPG1/KDELR3/AP1S2/COPB1/CLTC/GJA1/COPA,7,7/433
CC,GO:0030127,COPII vesicle coat,15/19550,0.0002668536836447,0.0050275233998665,0.0039999962685272,SEC24D/SEC13/SEC31A/SEC23A,4,4/433
CC,GO:0030137,COPI-coated vesicle,28/19550,0.0003360393247475,0.0060874816136964,0.0048433198222727,COPG1/KDELR3/COPB1/ARF1/COPA,5,5/433
CC,GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,30/19550,0.0004698457122174,0.008196197424238,0.0065210554990026,NOLC1/POP5/RPP40/POP4/NOP58,5,5/433
CC,GO:0030663,COPI-coated vesicle membrane,18/19550,0.0005675221826414,0.0095465338580036,0.0075954096624188,COPG1/KDELR3/COPB1/COPA,4,4/433
CC,GO:0005839,proteasome core complex,20/19550,0.0008676232477972,0.0139674276843161,0.0111127595387563,PSMA7/PSMA3/PSMA4/PSMB7,4,4/433
CC,GO:0101002,ficolin-1-rich granule,185/19550,0.0008896450754341,0.0139674276843161,0.0111127595387563,DBNL/PSMD12/DYNLT1/COPB1/PGM2/CTSH/ACTR2/ILF2/GNS/ACTR10/PYGL/PSMB7,12,12/433
CC,GO:0030133,transport vesicle,412/19550,0.000935497927925,0.0141890203578097,0.0112890630179467,HLA-G/COPG1/KDELR3/AP1S2/COPB1/SEC24D/LMAN1/NRSN2/PAM/AP3S1/SEC13/RAB8B/VDAC2/SEC31A/CLTC/SEC23A/IGF2R/BGN/COPA/RAB10,20,20/433
CC,GO:0045335,phagocytic vesicle,137/19550,0.0009640098756898,0.0141890203578097,0.0112890630179467,HLA-G/CYBA/MYO1C/CDC42EP2/APPL1/RAB8B/ATP6V0E1/STX8/RAB10/PLA2G5,10,10/433
CC,GO:0000172,ribonuclease MRP complex,10/19550,0.0011530471985123,0.0159730950146858,0.0127085078226129,POP5/RPP40/POP4,3,3/433
CC,GO:0030681,multimeric ribonuclease P complex,10/19550,0.0011530471985123,0.0159730950146858,0.0127085078226129,POP5/RPP40/POP4,3,3/433
CC,GO:0005604,basement membrane,96/19550,0.0013152697326053,0.0176997726873465,0.0140822864603762,FBN1/ANXA2/SERPINF1/TIMP1/COL4A1/COL5A1/FN1/LAMA2,8,8/433
CC,GO:0032587,ruffle membrane,99/19550,0.0016035830572256,0.0204131789176558,0.0162411257004927,AIF1L/FERMT1/MYO1C/ADAM17/PSD3/CORO1C/TWF1/DLC1,8,8/433
CC,GO:1905368,peptidase complex,99/19550,0.0016035830572256,0.0204131789176558,0.0162411257004927,PSMD12/TADA2A/PSMA7/TADA3/PSMA3/SPCS3/PSMA4/PSMB7,8,8/433
CC,GO:0030027,lamellipodium,202/19550,0.0018862381498204,0.0233794254885634,0.0186011296768992,CD44/DBNL/ACTR3/DYNLT1/ABI2/CORO1C/ABLIM1/CAPZB/ACTR2/PARVA/CAPG/ARPIN,12,12/433
CC,GO:0001527,microfibril,12/19550,0.0020453032944538,0.0247009705560964,0.0196525768643878,MFAP5/FBN2/FBN1,3,3/433
CC,GO:0012507,ER to Golgi transport vesicle membrane,62/19550,0.0024607194857539,0.0289749719447521,0.0230530562349575,HLA-G/SEC24D/LMAN1/SEC13/SEC31A/SEC23A,6,6/433
CC,GO:0030126,COPI vesicle coat,13/19550,0.002615458358399,0.0300458752879495,0.0239050879483965,COPG1/COPB1/COPA,3,3/433
CC,GO:0031514,motile cilium,214/19550,0.0030356095539791,0.0340421928553377,0.0270846366219695,CABS1/DNAH5/AKAP4/ROPN1B/SLC25A31/TPPP2/ROPN1L/TCP11/ANXA1/ATP1B3/CAPZB/TTLL3,12,12/433
CC,GO:0030677,ribonuclease P complex,14/19550,0.0032744475327321,0.0358666229748097,0.0285361890245441,POP5/RPP40/POP4,3,3/433
CC,GO:0045121,membrane raft,335/19550,0.0034406055762439,0.0360116716980195,0.02865159263492,THY1/MYOF/S100A10/ANXA2/ACE2/MYO1C/RFTN1/ADAM17/CORO1C/IRS1/ATP1B3/IL6ST/GJA1/SDCBP/DLC1/CFLAR,16,16/433
CC,GO:0098857,membrane microdomain,335/19550,0.0034406055762439,0.0360116716980195,0.02865159263492,THY1/MYOF/S100A10/ANXA2/ACE2/MYO1C/RFTN1/ADAM17/CORO1C/IRS1/ATP1B3/IL6ST/GJA1/SDCBP/DLC1/CFLAR,16,16/433
CC,GO:0035578,azurophil granule lumen,91/19550,0.0040833699657388,0.0418101576926743,0.0332649818719232,C3/ANXA2/PTGES2/ACTR2/GNS/SDCBP/ACTR10,7,7/433
CC,GO:0005684,U2-type spliceosomal complex,92/19550,0.0043375710895103,0.0434679996416892,0.0345839934572385,SNRPA1/SNW1/DHX16/CASC3/PRPF38A/LUC7L3/BUD13,7,7/433
MF,GO:0005201,extracellular matrix structural constituent,172/18368,2.16478269226827e-12,1.4395804903584e-9,1.36723117406417e-9,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/EFEMP1/COL1A2/LUM/SRPX2/SRPX/COL4A1/FBLN2/COL5A1/FBLN5/FN1/COL3A1/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,24,24/430
MF,GO:0097493,structural molecule activity conferring elasticity,11/18368,0.00000282549256326982,0.0009394762772872,0.0008922608094536,FBN2/FBN1/FBLN2/FBLN5/EMILIN2,5,5/430
MF,GO:0048407,platelet-derived growth factor binding,11/18368,0.0000857802073141705,0.0190146126213078,0.0180589910135096,COL1A2/COL4A1/COL5A1/COL3A1,4,4/430
MF,GO:0030021,extracellular matrix structural constituent conferring compression resistance,22/18368,0.0001301596385134,0.0216390399028551,0.0205515218705391,DCN/LUM/PRELP/BGN/VCAN,5,5/430
MF,GO:0045296,cadherin binding,332/18368,0.0003314365817363,0.0440810653709311,0.041865673482483,PKP2/COBLL1/DBNL/LIMA1/ANXA1/ANXA2/YWHAE/LYPLA2/MAPRE1/GIGYF2/CHMP2B/TWF1/PFN1/CAPZB/ABCF3/PARVA/S100A11/CAPG/RAB10,19,19/430
MF,GO:0019838,growth factor binding,141/18368,0.0004907352835144,0.0487272812131997,0.0462783834236958,OSMR/COL1A2/SRPX2/COL4A1/COL5A1/IGFBP3/COL3A1/IL6ST/IGF2R/SDCBP/DUSP1,11,11/430
MF,GO:0003785,actin monomer binding,29/18368,0.0005129187496126,0.0487272812131997,0.0462783834236958,COBLL1/LIMA1/TWF1/MYL4/PFN1,5,5/430
