group_raw,group,regulation,Description,ID,ONTOLOGY,Count,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,minus_log10_p_adjust,geneID
KS,KS,down,Wnt signaling pathway,GO:0016055,BP,69,69/1278,444/18723,9.7624171174902e-11,9.20270520275409e-08,7.24987923830456e-08,7.036084489835637,EGR1/IGFBP6/MDK/KLF4/NDRG2/CPE/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PTEN/PFDN5/DDIT3/HIC1/TGFB1I1/DIXDC1/SNAI2/GPRC5B/MYOC/FZD3/RBMS3/MDFI/YAP1/ZNF703/PKD1/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/CUL3/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/AMOTL1/PYGO1/ZRANB1/TCF7L2
KS,KS,down,canonical Wnt signaling pathway,GO:0060070,BP,51,51/1278,303/18723,1.76731853677913e-09,8.32996137001894e-07,6.56233277735617e-07,6.079357012618003,EGR1/IGFBP6/MDK/KLF4/PLPP3/APOE/RSPO3/IGFBP4/ADGRA2/ILK/FGF10/SFRP4/EMD/PTEN/PFDN5/DDIT3/DIXDC1/SNAI2/GPRC5B/FZD3/RBMS3/YAP1/ZNF703/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/TMEM9/DKK3/PYGO1/TCF7L2
KS,KS,down,regulation of Wnt signaling pathway,GO:0030111,BP,53,53/1278,328/18723,3.74087801047964e-09,1.11360031722489e-06,8.77292887443784e-07,5.953270654018535,EGR1/IGFBP6/MDK/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PFDN5/DDIT3/HIC1/DIXDC1/SNAI2/GPRC5B/RBMS3/MDFI/YAP1/ZNF703/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/ZBED3/LZTS2/TBL1XR1/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/GSK3A/WWTR1/RNF220/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/ZRANB1/TCF7L2
KS,KS,down,extracellular matrix organization,GO:0030198,BP,50,50/1278,301/18723,4.02253940938931e-09,1.1375741449753e-06,8.9617943789184e-07,5.944020287238571,MFAP4/DPT/LTBP3/LAMB2/LRP1/ADAMTS1/RAMP2/CST3/COL18A1/CYP1B1/PDGFRA/MMP2/FOXC1/ENG/QSOX1/APP/EMILIN1/CRTAP/FBLN5/SMOC1/GAS6/EFEMP2/VWA1/SERPINH1/DDR2/NID2/ANXA2/COL16A1/PHLDB1/COL15A1/CRISPLD2/COL5A1/FLRT2/COL27A1/HSD17B12/MYH11/AEBP1/KAZALD1/FBLN1/CCDC80/TNFRSF1A/COL1A1/ADAM15/OLFML2B/CREB3L1/SMAD3/FKBP10/ABL1/FSCN1/PHLDB2
KS,KS,down,extracellular structure organization,GO:0043062,BP,50,50/1278,302/18723,4.5088555915712e-09,1.19478882360723e-06,9.41253087606902e-07,5.922708848562394,MFAP4/DPT/LTBP3/LAMB2/LRP1/ADAMTS1/RAMP2/CST3/COL18A1/CYP1B1/PDGFRA/MMP2/FOXC1/ENG/QSOX1/APP/EMILIN1/CRTAP/FBLN5/SMOC1/GAS6/EFEMP2/VWA1/SERPINH1/DDR2/NID2/ANXA2/COL16A1/PHLDB1/COL15A1/CRISPLD2/COL5A1/FLRT2/COL27A1/HSD17B12/MYH11/AEBP1/KAZALD1/FBLN1/CCDC80/TNFRSF1A/COL1A1/ADAM15/OLFML2B/CREB3L1/SMAD3/FKBP10/ABL1/FSCN1/PHLDB2
KS,KS,down,steroid biosynthetic process,GO:0006694,BP,29,29/864,173/18723,1.52e-09,1.48e-06,1.3e-06,5.8297382846050425,ERLIN1/SOD1/HSD17B3/HSD17B11/ASAH1/FDXR/FDFT1/AKR1B1/ACAA2/DKKL1/OSBPL3/CYP51A1/HSD3B2/SCARB1/IDI1/EBP/HMGCR/SC5D/SQLE/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/HSD17B6/MSMO1/CYP11A1/DHCR24/CYP17A1
KS,KS,down,cholesterol metabolic process,GO:0008203,BP,25,25/864,137/18723,3.39e-09,2.09e-06,1.83e-06,5.679853713888946,ERLIN1/SOD1/FDXR/FDFT1/ACAA2/SOAT1/CYP51A1/ABCA5/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/MSMO1/CYP11A1/DHCR24
KS,KS,down,sterol biosynthetic process,GO:0016126,BP,16,16/864,64/18723,2.24e-08,1.11e-05,9.7e-06,4.954677021213342,ERLIN1/SOD1/FDFT1/ACAA2/CYP51A1/IDI1/EBP/HMGCR/SC5D/SQLE/DHCR7/CYB5R3/HMGCS1/TM7SF2/MSMO1/DHCR24
KS,KS,down,sterol metabolic process,GO:0016125,BP,25,25/864,152/18723,3e-08,1.14e-05,1e-05,4.943095148663527,ERLIN1/SOD1/FDXR/FDFT1/ACAA2/SOAT1/CYP51A1/ABCA5/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/MSMO1/CYP11A1/DHCR24
KS,KS,down,steroid metabolic process,GO:0008202,BP,36,36/864,319/18723,7.14e-07,0.00015292,0.00013425,3.8155357106530094,ERLIN1/APOC1/SOD1/HSD17B3/HSD17B11/ASAH1/FDXR/FDFT1/AKR1B1/ACAA2/DKKL1/OSBPL3/SOAT1/CYP51A1/ABCA5/ACAT1/HSD3B2/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/HSD17B6/MSMO1/CYP11A1/DHCR24/CYP17A1
