ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
CC,GO:0001650,fibrillar center,17/1429,140/19550,0.0267647122939483,0.100834497479526,0.0737094279821096,BTBD10/RAE1/SMARCA5/BOLL/CHCHD1/EXOSC8/SPECC1/USO1/MBD6/POLR2F/PSPC1/DDX46/TOP1/DSN1/LEO1/FOXL2NB/FBLL1,17,1.572437420684145
CC,GO:0070971,endoplasmic reticulum exit site,6/1429,33/19550,0.0304074897648233,0.113896262240494,0.0832575016377882,HLA-A/CTAGE1/YIPF5/SEC31A/PDCD6IP/MIA3,6,1.51701943076949
CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,7/1429,42/19550,0.0311311984338156,0.114102147513027,0.0834080025680024,CKS2/PCNA/CDK1/CCNB2/BCCIP/CKS1B/CCNE2,7,1.5068041602948448
CC,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,16/1429,132/19550,0.0314312917799712,0.114102147513027,0.0834080025680024,HSPA5/LRPAP1/MGAT4D/RER1/LMAN2/GOLGB1/CD59/TMED10/IST1/MYDGF/TRIP11/SPPL3/FTCD/STK17B/RAB37/TRAPPC12,16,1.5026377697496882
CC,GO:0031414,N-terminal protein acetyltransferase complex,3/1429,10/19550,0.0316950409758409,0.114102147513027,0.0834080025680024,NAA20/NAA16/NAA11,3,1.4990086824289957
CC,GO:0032280,symmetric synapse,3/1429,10/19550,0.0316950409758409,0.114102147513027,0.0834080025680024,PENK/ARFGEF2/SLC4A8,3,1.4990086824289957
CC,GO:0032593,insulin-responsive compartment,3/1429,10/19550,0.0316950409758409,0.114102147513027,0.0834080025680024,RAB10/RAB13/RAB4A,3,1.4990086824289957
CC,GO:0033180,"proton-transporting V-type ATPase, V1 domain",3/1429,10/19550,0.0316950409758409,0.114102147513027,0.0834080025680024,ATP6V1G1/ATP6V1B2/ATP6V1F,3,1.4990086824289957
CC,GO:0097550,transcription preinitiation complex,3/1429,10/19550,0.0316950409758409,0.114102147513027,0.0834080025680024,TBP/GTF2A1/ERCC3,3,1.4990086824289957
CC,GO:0019005,SCF ubiquitin ligase complex,9/1429,61/19550,0.0322707650050749,0.115532904548555,0.0844538775939733,CKS2/CACYBP/FBXL5/TMEM183A/FBXO25/RBX1/CKS1B/SKP1/FBXO32,9,1.4911907391655204
CC,GO:0035578,azurophil granule lumen,12/1429,91/19550,0.0329457203932585,0.117301246235338,0.0857465250258317,GDI2/PRDX6/DYNC1H1/CCT8/TOLLIP/IST1/MAPK1/GCA/CCT2/FUCA1/DSN1/ACTR10,12,1.4822009917013164
CC,GO:1990204,oxidoreductase complex,14/1429,112/19550,0.0337270359854052,0.11942688152209,0.0873003519898322,NDUFA6/NDUFB5/PDHA2/UQCR10/NDUFAB1/NDUFB9/NDUFA5/NDUFA12/NDUFA8/NDUFV3/NDUFC2/UQCRC2/NDUFC1/NDUFV2,14,1.4720218239974192
CC,GO:0032993,protein-DNA complex,22/1429,199/19550,0.0341423084000229,0.120240303495733,0.087894958695711,TBP/XRCC5/RPA2/PCNA/NPM1/GTF2A1/MPHOSPH8/POLD3/NFYB/ORC3/SLF1/TERF2IP/NFYC/PARP1/LEF1/MCM4/KAT6B/POLR2H/XRCC6/HP1BP3/TOP1/ERCC3,22,1.4667071190882954
CC,GO:0016605,PML body,13/1429,103/19550,0.0371607990559397,0.130163231287832,0.0951485608829182,SUMO2/PARK7/RPA2/SMC5/TOPBP1/SUMO1/CBX5/UBE2I/EIF3E/ATR/ARNTL/SMC6/UBN1,13,1.4299149560924342
CC,GO:0005963,magnesium-dependent protein serine/threonine phosphatase complex,5/1429,26/19550,0.0375840337160181,0.13093792391387,0.0957148566621853,NKD1/PPP2R5C/PPP4R2/PPP4R3B/PTPA,5,1.4249966109678625
CC,GO:0005666,RNA polymerase III complex,4/1429,18/19550,0.0380838821380892,0.131267849071712,0.0959560300231811,POLR2E/POLR1D/POLR2F/POLR2H,4,1.4192587875665765
CC,GO:0036020,endolysosome membrane,4/1429,18/19550,0.0380838821380892,0.131267849071712,0.0959560300231811,CLTA/AP2B1/SLC15A4/CLTC,4,1.4192587875665765
CC,GO:0030118,clathrin coat,7/1429,44/19550,0.0390086591051826,0.133743974074912,0.0977660629202571,CLTA/AP2B1/SYNRG/EPS15/CLTC/EPN2/AP1M1,7,1.4088389779945074
CC,GO:0030133,transport vesicle,40/1429,412/19550,0.0404404818113511,0.137923327440818,0.100821145790072,DNM1L/PENK/RAB11A/APH1B/VDAC2/KDELR2/CALM1/HLA-A/CD59/TMED10/RAB8B/COPS4/ERG28/MTMR2/CLTA/SYNRG/SNAP91/SEC13/PSEN1/TGOLN2/USO1/TRIP11/SYPL1/RAB10/MFF/PTPRN2/RAB13/GALNT15/CLTC/RAB6A/SEC31A/SYNGR1/YIPF1/ARCN1/TMEM30A/RAB14/RAB4A/SCAMP2/SLC4A8/BORCS5,40,1.3931836788286973
CC,GO:0005797,Golgi medial cisterna,3/1429,11/19550,0.0412623696819108,0.138647414720322,0.10135044935696,HLA-A/TMEM59/YIPF1,3,1.3844458342827506
CC,GO:0030120,vesicle coat,8/1429,54/19550,0.0412946775324414,0.138647414720322,0.10135044935696,CLTA/AP2B1/SYNRG/SEC13/CLTC/SEC31A/EPN2/ARCN1,8,1.384105920916241
CC,GO:0030660,Golgi-associated vesicle membrane,8/1429,54/19550,0.0412946775324414,0.138647414720322,0.10135044935696,KDELR2/CLTA/SYNRG/SPPL3/CLTC/ARCN1/SPPL2B/ZDHHC13,8,1.384105920916241
CC,GO:0030125,clathrin vesicle coat,5/1429,27/19550,0.0434463246160508,0.145119682222685,0.10608163905167,CLTA/AP2B1/SYNRG/CLTC/EPN2,5,1.362046957224109
CC,GO:0051233,spindle midzone,6/1429,36/19550,0.0444700686119162,0.147777458771906,0.108024458166598,ARL8B/CDCA8/AURKA/RACGAP1/KIF20B/KIF18A,6,1.351932200486896
CC,GO:0043596,nuclear replication fork,5/1429,28/19550,0.0498261871215719,0.163067521488781,0.119201404597062,RPA2/PCNA/SMARCA5/POLD3/ETAA1,5,1.3025423453278
CC,GO:0044665,MLL1/2 complex,5/1429,28/19550,0.0498261871215719,0.163067521488781,0.119201404597062,INO80C/HCFC2/WDR5/CHD8/MGA,5,1.3025423453278
CC,GO:0071339,MLL1 complex,5/1429,28/19550,0.0498261871215719,0.163067521488781,0.119201404597062,INO80C/HCFC2/WDR5/CHD8/MGA,5,1.3025423453278
CC,GO:0005774,vacuolar membrane,42/1429,444/19550,0.0515804657080098,0.163894804762106,0.119806143831949,TEX264/ATP6V1G1/SNX14/ATRAID/CD164/SH3GLB1/ABCA5/ATP6V1B2/HSP90AB1/ARL8B/RPN2/ATP6V1F/MTMR2/CLTA/AP2B1/HSPA8/SEC13/PSEN1/LAMTOR4/NDUFC2/SLC15A4/CTNS/VAPA/GNAI3/FLOT1/SPAG9/KIF5B/RB1CC1/ATP6V1D/TMEM59/CLTC/SYNGR1/FNIP1/TMEM30A/SPPL2B/RAB14/SCARB1/AP1M1/PRCP/SEH1L/RAB37/BORCS5,42,1.2875147410366665
CC,GO:0032592,integral component of mitochondrial membrane,11/1429,87/19550,0.0518483626354404,0.163894804762106,0.119806143831949,MTX2/MPC1/SMDT1/COA3/TMEM70/MFF/SYNJ2BP/TOMM20/COX11/MICU1/MPC2,11,1.2852649540217325
CC,GO:0000176,nuclear exosome (RNase complex),3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,EXOSC3/EXOSC8/EXOSC9,3,1.2831425982452134
CC,GO:0000782,telomere cap complex,3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,XRCC5/TERF2IP/XRCC6,3,1.2831425982452134
CC,GO:0000783,nuclear telomere cap complex,3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,XRCC5/TERF2IP/XRCC6,3,1.2831425982452134
CC,GO:0000812,Swr1 complex,3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,BRD8/ANP32E/ING3,3,1.2831425982452134
CC,GO:0016281,eukaryotic translation initiation factor 4F complex,3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,EIF4A2/EIF4G3/EIF4G2,3,1.2831425982452134
CC,GO:0140445,"chromosome, telomeric repeat region",3/1429,12/19550,0.0521023607731387,0.163894804762106,0.119806143831949,XRCC5/TERF2IP/XRCC6,3,1.2831425982452134
CC,GO:0098573,intrinsic component of mitochondrial membrane,11/1429,88/19550,0.0555194179627501,0.173799917100783,0.127046723026888,MTX2/MPC1/SMDT1/COA3/TMEM70/MFF/SYNJ2BP/TOMM20/COX11/MICU1/MPC2,11,1.255555095451092
CC,GO:0030117,membrane coat,11/1429,89/19550,0.059359357176765,0.184042408854276,0.134533924601079,CLTA/AP2B1/SYNRG/SEC13/EPS15/AP4S1/CLTC/SEC31A/EPN2/ARCN1/AP1M1,11,1.2265108108303675
CC,GO:0048475,coated membrane,11/1429,89/19550,0.059359357176765,0.184042408854276,0.134533924601079,CLTA/AP2B1/SYNRG/SEC13/EPS15/AP4S1/CLTC/SEC31A/EPN2/ARCN1/AP1M1,11,1.2265108108303675
CC,GO:0032040,small-subunit processome,6/1429,39/19550,0.0620161999886954,0.189828311277953,0.1387633854371,XRCC5/SNU13/UTP6/UTP11/DCAF13/FBLL1,6,1.2074948484582717
CC,GO:0097546,ciliary base,6/1429,39/19550,0.0620161999886954,0.189828311277953,0.1387633854371,MOK/IFT88/CEP126/CFAP36/PRKACA/PRKAR1A,6,1.2074948484582717
CC,GO:0005802,trans-Golgi network,26/1429,259/19550,0.0621043240600711,0.189828311277953,0.1387633854371,NMNAT2/RAB11A/RAB32/ARF1/GOLGA4/GOLGA1/CLTA/TGOLN2/RAB10/AP4S1/GCC2/RAB13/ARFGEF2/YIPF5/DPY30/C17orf75/CLTC/RAB6A/COG6/GPR108/YIPF1/PIFO/SCAMP3/RAB14/AP1M1/SCAMP2,26,1.2068781606921615
CC,GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,5/1429,30/19550,0.0641468229597375,0.191595830127295,0.140055431379602,POP4/RPP30/SNU13/SNRNP40/FBLL1,5,1.1928248483338324
CC,GO:0000177,cytoplasmic exosome (RNase complex),3/1429,13/19550,0.0641609492864553,0.191595830127295,0.140055431379602,EXOSC3/EXOSC8/EXOSC9,3,1.192729219118852
CC,GO:0000800,lateral element,3/1429,13/19550,0.0641609492864553,0.191595830127295,0.140055431379602,SMC3/SYCP2/SYCP3,3,1.192729219118852
CC,GO:0001741,XY body,3/1429,13/19550,0.0641609492864553,0.191595830127295,0.140055431379602,ESCO2/PLK4/MAEL,3,1.192729219118852
