subtype,gene_id,avg_logFC,p_val,p_val_adj,Ctrl,OA,pct.1,pct.2
Round_Spermatids,MAL2-AS1,-0.31588542,0.0018374480715133,0.0105692139186621,0.088529564,0.23063879,0.0824742268041237,0.2130421019309908
Round_Spermatids,MAPK10,-0.4116512,0.0035755194675353,0.018945945323157,0.51310015,0.7287555,0.4639175257731959,0.5522317188983855
Round_Spermatids,MAPK13,-0.28765428,0.0052464917496935,0.0267534580655835,0.30541128,0.47183087,0.2886597938144329,0.4229186451408673
Round_Spermatids,MAPKAPK5,-0.28111002,0.0017174496794064,0.009960319616801,0.03225431,0.14886975,0.0309278350515463,0.1438746438746438
Round_Spermatids,MARCH11,-0.6791548,1.1497773491250533e-07,1.3307159951189432e-06,0.27391705,0.63876396,0.2886597938144329,0.5254827477049699
Round_Spermatids,MARCH7,-0.55034965,6.543493071291258e-07,6.969099757381227e-06,0.7776052,1.1347518,0.6494845360824743,0.7719214941437164
Round_Spermatids,MAST4,-0.46767905,0.0018523492419139,0.0106401923341225,0.26608464,0.4796561,0.2886597938144329,0.4007597340930674
Round_Spermatids,MBD3L1,-0.78972846,1.7931424526234375e-08,2.340498973022431e-07,0.48177922,0.9521809,0.4123711340206185,0.6397594175371953
Round_Spermatids,MBD5,-0.6949904,1.1432202725424881e-07,1.3235368054647203e-06,0.4981667,0.93478715,0.4020618556701031,0.6433998100664767
Round_Spermatids,MCHR2-AS1,-0.32783327,0.0006665609296168,0.0042814514144098,1.6319275,1.9431767,0.865979381443299,0.931465653687876
Round_Spermatids,MCOLN2,-0.36459345,0.0001110192455544,0.0008357294515835,0.054528553,0.2244999,0.0515463917525773,0.2133586578031022
Round_Spermatids,MDGA2,-0.3606579,0.00287006791699,0.0155292732581906,0.10173892,0.2530635,0.1134020618556701,0.2359924026590693
Round_Spermatids,MDH1B,-0.6046092,1.388623405138175e-09,2.0050563443136498e-08,0.5398,1.0094578,0.4329896907216495,0.7307692307692307
Round_Spermatids,MEA1,-1.2779744,9.68754609810811e-31,5.831715552102664e-29,0.76010805,1.6733068,0.6391752577319587,0.9221272554605888
Round_Spermatids,MED26,-0.4017665,5.369206429959141e-05,0.0004250678610147,0.02245287,0.19247308,0.0309278350515463,0.1897752453308009
Round_Spermatids,MEGF11,-0.7270017,9.01430754036516e-06,8.027200066257044e-05,0.17500785,0.49218336,0.1958762886597938,0.3844571066793289
Round_Spermatids,MEIG1,-0.4577631,0.0004330660518941,0.0028786109918134,0.50762826,0.7719767,0.4432989690721649,0.5997150997150997
Round_Spermatids,METTL21A,-0.26490062,0.0061863190143031,0.0304895403706914,0.060059898,0.17268962,0.0721649484536082,0.1750553972776195
Round_Spermatids,METTL23,-0.329931,0.0086007775487641,0.0409114222045361,0.6550965,0.8505097,0.5567010309278351,0.6391263057929725
Round_Spermatids,METTL3,-1.3069149,2.1734904041799604e-21,8.342052544092347e-20,0.05799015,0.73875123,0.0721649484536082,0.5797720797720798
Round_Spermatids,METTL6,-0.3948791,0.0009580166627757,0.0058768521339914,0.26898605,0.47317156,0.2783505154639175,0.4146881924659702
Round_Spermatids,MFF,-0.33187053,4.953925984317719e-06,4.714679609769585e-05,1.9227538,2.2268002,0.9278350515463918,0.9851218740107628
Round_Spermatids,MGMT,-0.3631309,0.0074285340740461,0.0359529892918263,0.3311533,0.5059946,0.3711340206185567,0.446343779677113
