ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
BP,GO:0006757,ATP generation from ADP,10/799,82/18723,0.0025182318471862,0.315282627267716,0.315282627267716,TPI1/PGK2/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,10,2.598904288001653
BP,GO:0010970,transport along microtubule,15/799,155/18723,0.0026386505305201,0.321182406242756,0.321182406242756,IFT20/SUN1/RAB27B/APP/MAP1S/MAPT/KIFAP3/IFT172/SOD1/RAB1A/IFT57/PRKCZ/KIF5C/RAB21/UBB,15,2.5786181250193767
BP,GO:0002183,cytoplasmic translational initiation,6/799,34/18723,0.0028638911712339,0.339177597631004,0.339177597631004,EIF4B/EIF4G1/EIF3A/EIF3G/METTL3/EIF4H,6,2.5430434893776583
BP,GO:0017014,protein nitrosylation,4/799,16/18723,0.0039715007723586,0.429429987634607,0.429429987634607,S100A8/TXN/ACE/GAPDH,4,2.4010453486550545
BP,GO:0018119,peptidyl-cysteine S-nitrosylation,4/799,16/18723,0.0039715007723586,0.429429987634607,0.429429987634607,S100A8/TXN/ACE/GAPDH,4,2.4010453486550545
BP,GO:0044458,motile cilium assembly,7/799,48/18723,0.0040175729626583,0.429429987634607,0.429429987634607,ZMYND10/CFAP65/DNAAF3/IFT57/SPATA6/CFAP97D1/AKAP4,7,2.3960362273232616
BP,GO:0034250,positive regulation of cellular amide metabolic process,15/799,162/18723,0.0040179437455542,0.429429987634607,0.429429987634607,LARP6/TRMT10C/PRR16/EIF4A3/CPEB3/EIF4G1/MAPK3/JMJD4/PKM/ZCCHC13/HABP4/LRRTM3/METTL3/PINK1/SAMD4A,15,2.3959961480174408
BP,GO:0009135,purine nucleoside diphosphate metabolic process,11/799,103/18723,0.0044755687309875,0.456091678585751,0.456091678585751,TPI1/PGK2/AK5/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,11,2.3491517690552444
BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,11/799,103/18723,0.0044755687309875,0.456091678585751,0.456091678585751,TPI1/PGK2/AK5/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,11,2.3491517690552444
BP,GO:0016239,positive regulation of macroautophagy,8/799,63/18723,0.0051607510967662,0.513963893318858,0.513963893318858,VDAC1/SCOC/MAPK3/EPM2A/SESN3/OPTN/TSC1/PINK1,8,2.28728708646535
BP,GO:0006090,pyruvate metabolic process,11/799,106/18723,0.005562870118778,0.529844441422498,0.529844441422498,TPI1/PGK2/APP/VDAC1/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,11,2.254701079796095
BP,GO:0009185,ribonucleoside diphosphate metabolic process,11/799,106/18723,0.005562870118778,0.529844441422498,0.529844441422498,TPI1/PGK2/AK5/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,11,2.254701079796095
BP,GO:0006749,glutathione metabolic process,8/799,64/18723,0.0056829504214644,0.529844441422498,0.529844441422498,CLIC5/SLC1A2/GSTT4/SOD1/GGTLC1/GPX1/GLRX2/GSTK1,8,2.2454261327601883
BP,GO:0010811,positive regulation of cell-substrate adhesion,12/799,123/18723,0.0063490724305723,0.579617403974332,0.579617403974332,RSU1/CDH13/AGR2/ILK/CDK6/CCDC80/S100A10/NDNF/PRKCE/PRKCZ/TSC1/UTRN,12,2.197289718441722
BP,GO:0009132,nucleoside diphosphate metabolic process,12/799,124/18723,0.0067648468914846,0.604970593438484,0.604970593438484,TPI1/PGK2/AK5/APP/ZBTB20/NME7/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,12,2.1697420283251674
BP,GO:1990090,cellular response to nerve growth factor stimulus,7/799,53/18723,0.0070028331765063,0.60799907972803,0.60799907972803,MAGI2/APP/EIF4A3/MAPT/ELAVL4/CDC5L/EHD1,7,2.154726219416071
BP,GO:0016241,regulation of macroautophagy,13/799,141/18723,0.0073730434069337,0.60799907972803,0.60799907972803,ATP6V1C1/SNX5/MAPK8/VDAC1/SCOC/MAPK3/EPM2A/SESN3/OPTN/ATP6V1A/TSC1/PINK1/GAPDH,13,2.1323532092901347
BP,GO:0015911,long-chain fatty acid import across plasma membrane,3/799,10/18723,0.0074174965181765,0.60799907972803,0.60799907972803,ACSL5/SLC27A5/ACSL1,3,2.129742648871867
BP,GO:0031848,protection from non-homologous end joining at telomere,3/799,10/18723,0.0074174965181765,0.60799907972803,0.60799907972803,TFIP11/XRCC1/ERCC4,3,2.129742648871867
BP,GO:0061077,chaperone-mediated protein folding,8/799,67/18723,0.0074924578515092,0.60799907972803,0.60799907972803,UNC45A/DNAJB13/PPIB/BAG1/HSPA1L/DNAJB7/DNAJC18/DNAJB8,8,2.125375691479877
BP,GO:0035303,regulation of dephosphorylation,12/799,128/18723,0.008646852120243,0.688918290743728,0.688918290743728,MAGI2/PPP1R2C/PPP1R17/GNAI2/MEF2C/TMEM225/TSC1/PPP2R5A/LPIN1/PPP1R11/ARPP19/PINK1,12,2.0631419683299894
BP,GO:0001578,microtubule bundle formation,11/799,113/18723,0.0089107678684952,0.697267585709752,0.697267585709752,CLIP1/ZMYND10/DNAJB13/MAP1S/CFAP100/DNAH5/CFAP65/DNAAF3/TEKT2/CFAP97D1/CCSER2,11,2.0500848698484977
BP,GO:0098927,vesicle-mediated transport between endosomal compartments,6/799,43/18723,0.0093902976266259,0.704378466986871,0.70437846698687,MYO1D/MAP2K2/MAPK3/AKTIP/HOOK1/RAB21,6,2.027320642499293
BP,GO:1990089,response to nerve growth factor,7/799,56/18723,0.0094427764686602,0.704378466986871,0.70437846698687,MAGI2/APP/EIF4A3/MAPT/ELAVL4/CDC5L/EHD1,7,2.024900290900139
BP,GO:0010921,regulation of phosphatase activity,9/799,84/18723,0.0094838725587004,0.704378466986871,0.70437846698687,MAGI2/PPP1R2C/PPP1R17/GNAI2/MEF2C/TMEM225/TSC1/LPIN1/PPP1R11,9,2.0230142905674313
BP,GO:0090084,negative regulation of inclusion body assembly,3/799,11/18723,0.0098788141072203,0.721482723630658,0.721482723630658,HSF1/DNAJA4/DNAJB8,3,2.005295186748613
BP,GO:0071230,cellular response to amino acid stimulus,8/799,71/18723,0.0105401539935291,0.748736166708882,0.748736166708882,BCL11A/CAPN2/CPEB3/IPO5/HSF1/SLC38A9/SESN3/BCL2L1,8,1.977153043957307
BP,GO:0006417,regulation of translation,31/799,468/18723,0.0105937111674922,0.748736166708882,0.748736166708882,MTG2/LARP6/GIGYF2/TRMT10C/ZNF706/PRR16/APP/EIF4B/EIF4A3/CPEB3/ETF1/PNLDC1/ELAVL4/LSM14B/EIF4G1/RNF139/MAPK3/JMJD4/PKM/ZCCHC13/HABP4/C8orf88/TSC1/METTL3/PAIP2/EIF4E/EIF4H/PINK1/METAP1/SAMD4A/GAPDH,31,1.9749518720719639
BP,GO:0002689,negative regulation of leukocyte chemotaxis,4/799,21/18723,0.0110277281861998,0.761426353417366,0.761426353417366,DPP4/STAP1/GPR18/DDT,4,1.9575139470175105
BP,GO:0032271,regulation of protein polymerization,18/799,233/18723,0.0112708148631566,0.761426353417366,0.761426353417366,KANK1/CLIP1/MAPRE3/SPIRE1/MAPT/PFN3/ANKRD53/CTNNA2/FER/CAPZB/IQGAP2/PRKCE/ARHGAP28/FLII/PINK1/RANGRF/TPPP2/CAPZA3,18,1.9480446839734828
BP,GO:0001954,positive regulation of cell-matrix adhesion,7/799,58/18723,0.0113816817293092,0.761426353417366,0.761426353417366,CDH13/ILK/CDK6/S100A10/PRKCZ/TSC1/UTRN,7,1.9437935629147738
BP,GO:0010498,proteasomal protein catabolic process,32/799,490/18723,0.0115391733820798,0.761426353417366,0.761426353417366,RNF216/CUL2/SPSB3/RNF41/MAN1A1/PSME3/KLHDC2/RNF217/KAT5/RNF139/NGLY1/USP25/UBXN6/UBE2DNL/BAG5/RAD23B/PSMD7/PSMC5/GPX1/PSMC1/FEM1B/DDI1/CUL3/DNAJC18/DERL3/UBE2J1/PSMF1/PINK1/FBXO39/AMN1/UBB/SH3RF2,32,1.9378253010987923
BP,GO:0070997,neuron death,25/799,361/18723,0.0122873694943613,0.761426353417366,0.761426353417366,APP/CAPN2/MAPT/ILK/EIF4G1/MEF2C/DCC/SOD1/HSF1/NDNF/BACE1/BAG5/GPX1/PSMC1/TSC1/BCL2L1/SRPK2/GPI/GRID2/RETREG1/ENDOG/PINK1/AIMP2/UBB/GAPDH,25,1.9105410818295727
BP,GO:0000012,single strand break repair,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,XRCC1/APLF/TNP1,3,1.8941792637649135
BP,GO:0035092,sperm chromatin condensation,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,TNP2/TSSK6/TNP1,3,1.8941792637649135
BP,GO:0051340,regulation of ligase activity,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,TFIP11/XRCC1/AIMP2,3,1.8941792637649135
BP,GO:0060134,prepulse inhibition,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,CTNNA2/BACE1/GRID2,3,1.8941792637649135
BP,GO:0150065,regulation of deacetylase activity,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,MAPK8/C6orf89/PINK1,3,1.8941792637649135
BP,GO:1905214,regulation of RNA binding,3/799,12/18723,0.0127591204179561,0.761426353417366,0.761426353417366,LARP6/EIF4A3/EIF4G1,3,1.8941792637649135
BP,GO:0031281,positive regulation of cyclase activity,4/799,22/18723,0.0130321717266779,0.761426353417366,0.761426353417366,MAPK8/MAPK3/HPCA/TIMP2,4,1.8849832059051002
BP,GO:0043486,histone exchange,4/799,22/18723,0.0130321717266779,0.761426353417366,0.761426353417366,ACTR6/TNP2/OIP5/TNP1,4,1.8849832059051002
BP,GO:1903201,regulation of oxidative stress-induced cell death,8/799,74/18723,0.0133662216505565,0.770668200957089,0.770668200957089,PYCR1/SOD1/BAG5/TXN/GPX1/TSC1/ENDOG/PINK1,8,1.8739913412958624
BP,GO:0001662,behavioral fear response,5/799,34/18723,0.0139239916059966,0.782354870651233,0.782354870651233,DPP4/VDAC1/EIF4G1/MEF2C/EIF4E,5,1.8562362471997613
BP,GO:0010810,regulation of cell-substrate adhesion,17/799,221/18723,0.014062984117338,0.782354870651233,0.782354870651233,RSU1/DUSP3/KANK1/CDH13/AGR2/CDKN2A/PKHD1/ILK/CDK6/CCDC80/HOXA7/S100A10/NDNF/PRKCE/PRKCZ/TSC1/UTRN,17,1.8519225137271733
BP,GO:0006998,nuclear envelope organization,6/799,47/18723,0.0143349699813581,0.782354870651233,0.782354870651233,SUN1/SPAG4/TOR1AIP1/SUN3/SUN5/LPIN1,6,1.843603212165992
BP,GO:0016052,carbohydrate catabolic process,13/799,154/18723,0.014794118515863,0.782354870651233,0.782354870651233,TPI1/PGK2/APP/PPP1CB/TREH/ZBTB20/PKM/FUT10/HK1/GPI/GAPDH/PGAM2/GAPDHS,13,1.829910906481809
BP,GO:0022411,cellular component disassembly,29/799,443/18723,0.0151964361697879,0.782354870651233,0.782354870651233,DPP4/UBA5/DUSP3/ATG9B/MICAL2/MAP1S/VDAC1/ETF1/WDR1/C3/LCP1/TFIP11/KLK5/JMJD4/HSF1/CAPZB/FUNDC2/KIF2C/ARID2/OPTN/LPIN1/KIF2B/RETREG1/ENDOG/SPATA18/FLII/PINK1/CAPZA3/TNP1,29,1.8182582497702808
BP,GO:0007130,synaptonemal complex assembly,4/799,23/18723,0.0152544408785881,0.782354870651233,0.782354870651233,RAD21L1/TEX15/RAD21/SYCE1,4,1.8166037059366154
BP,GO:0045724,positive regulation of cilium assembly,4/799,23/18723,0.0152544408785881,0.782354870651233,0.782354870651233,ZMYND10/ARHGAP35/SAXO1/FUZ,4,1.8166037059366154
BP,GO:0002209,behavioral defense response,5/799,35/18723,0.0156890271641688,0.782354870651233,0.782354870651233,DPP4/VDAC1/EIF4G1/MEF2C/EIF4E,5,1.8044039850511764
BP,GO:0045454,cell redox homeostasis,5/799,35/18723,0.0156890271641688,0.782354870651233,0.782354870651233,PRDX4/TXNDC2/TXN/GPX1/GLRX2,5,1.8044039850511764
BP,GO:0002686,negative regulation of leukocyte migration,6/799,48/18723,0.0158088838411723,0.782354870651233,0.782354870651233,DPP4/STAP1/ADTRP/GPR18/HOXA7/DDT,6,1.8010987915941392
BP,GO:0035036,sperm-egg recognition,6/799,48/18723,0.0158088838411723,0.782354870651233,0.782354870651233,PRSS55/SPAM1/HSPA1L/PRSS37/SPACA3/SPA17,6,1.8010987915941392
BP,GO:0007183,SMAD protein complex assembly,3/799,13/18723,0.0160684478225949,0.782354870651233,0.782354870651233,PPM1A/SMAD1/LDLRAD4,3,1.7940260731208697
BP,GO:0016322,neuron remodeling,3/799,13/18723,0.0160684478225949,0.782354870651233,0.782354870651233,BCL11A/APP/C3,3,1.7940260731208697
BP,GO:0043247,telomere maintenance in response to DNA damage,3/799,13/18723,0.0160684478225949,0.782354870651233,0.782354870651233,TFIP11/XRCC1/ERCC4,3,1.7940260731208697
BP,GO:0051258,protein polymerization,21/799,297/18723,0.016686797768323,0.799792551412749,0.799792551412749,CASQ2/KANK1/CLIP1/MAPRE3/SPIRE1/MAPT/DIAPH3/PFN3/ANKRD53/CTNNA2/FER/CAPZB/IQGAP2/PRKCE/CCDC57/ARHGAP28/FLII/PINK1/RANGRF/TPPP2/CAPZA3,21,1.777626997351838
BP,GO:0051656,establishment of organelle localization,26/799,390/18723,0.0168747774066033,0.799792551412749,0.799792551412749,SAR1B/SUN1/MYO1D/MIS12/RAB27B/MAP1S/MYO19/SPIRE1/MAD1L1/MAPT/KIFAP3/SNAP23/PKHD1/IL13RA2/PPFIA2/ANKRD53/FER/RAB1A/KIF2C/PRKCZ/CUL3/CLMN/KIF5C/KIF2B/PINK1/UBB,26,1.7727619471915437
BP,GO:0043254,regulation of protein-containing complex assembly,28/799,428/18723,0.0169741458880387,0.799792551412749,0.799792551412749,SAR1B/KANK1/CLIP1/MAPRE3/PPM1A/SPIRE1/MAPT/LCP1/TFIP11/EIF4G1/PEX5/LDLRAD4/HSF1/PFN3/ANKRD53/CTNNA2/FER/CAPZB/IQGAP2/PRKCE/PRKCZ/TRABD2A/ARHGAP28/FLII/PINK1/RANGRF/TPPP2/CAPZA3,28,1.7702120695036623
BP,GO:0046580,negative regulation of Ras protein signal transduction,6/799,49/18723,0.0173843183877649,0.810405140161553,0.810405140161553,KANK1/RASA2/ARHGAP35/ARHGAP24/TIMP2/CUL3,6,1.7598423326618087
BP,GO:0007009,plasma membrane organization,12/799,142/18723,0.0185857467031474,0.857292021612549,0.857292021612548,EQTN/SPAM1/LYZL4/PLSCR2/ANK2/ANO3/SOD1/C16orf92/SPATA46/LLCFC1/EPB41L3/SPACA3,12,1.7308199859515154
