gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expression,neg_log10_pvals,neg_log10_pvals_adj
KIAA0513,1.122079372406006,0.399066299200058,0.2618287113132419,1.0,0.088555078683834,0.0,0.3990662975513208,0.581982731806579,-0.0
COLGALT1,1.122079372406006,0.3659476637840271,0.2618287113648095,1.0,0.088555078683834,0.0,0.3659476502006558,0.5819827317210441,-0.0
TEX261,1.122079372406006,0.3587983548641205,0.2618287113819987,1.0,0.088555078683834,0.0,0.3587983689595844,0.5819827316925323,-0.0
BLOC1S5,1.1210901737213137,0.3476174771785736,0.2622494680242769,1.0,0.0884120171673819,0.0,0.3476174843410512,0.5812853841043011,-0.0
SLC12A2,1.1210901737213137,0.4291794896125793,0.2622494681448057,1.0,0.0884120171673819,0.0,0.4291794846278142,0.5812853839047011,-0.0
DCTPP1,1.120100498199463,0.3803597390651703,0.2626709437941393,1.0,0.0882689556509299,0.0,0.3803597507958826,0.5805879654620753,-0.0
MAGEH1,1.1199955940246582,0.3474840521812439,0.262715663069124,1.0,0.2177396280400572,0.0769230769230769,0.8129960703831809,0.5805140338690207,-0.0
BCAP31,1.1198148727416992,0.3890871703624725,0.2627926662831933,1.0,0.3977110157367668,0.2307692307692307,1.383685994310334,0.5803867587362376,-0.0
SRSF2,1.1197395324707031,0.3161239326000213,0.2628247862521551,1.0,0.3344778254649499,0.1538461538461538,1.199538436975524,0.5803336801132615,-0.0
PCMT1,1.119459629058838,0.3579328656196594,0.262944098360774,1.0,0.2952789699570815,0.1538461538461538,1.0465331531339603,0.5801365722477969,-0.0
NBEAL1,1.1191102266311646,0.3957400321960449,0.263093139476231,1.0,0.0881258941344778,0.0,0.3957400173229801,0.5798904766062875,-0.0
EFS,1.1191102266311646,0.3753215372562408,0.263093139493508,1.0,0.0881258941344778,0.0,0.3753215299333211,0.5798904765777678,-0.0
MTHFR,1.1191102266311646,0.4109011888504028,0.2630931395280619,1.0,0.0881258941344778,0.0,0.4109011806155067,0.5798904765207289,-0.0
RGS22,1.1186983585357666,0.5268227458000183,0.2632688217526479,1.0,0.5031473533619456,0.3076923076923077,1.8415125845054348,0.5796005702237247,-0.0
RNF6,1.118119239807129,0.3632710576057434,0.2635160567553412,1.0,0.0879828326180257,0.0,0.3632710515792037,0.5791929168924795,-0.0
KCNE4,1.118119239807129,0.3981843888759613,0.2635160568764858,1.0,0.0879828326180257,0.0,0.3981844029319425,0.5791929166928239,-0.0
HVCN1,1.118119239807129,0.3505651652812958,0.2635160569803243,1.0,0.0879828326180257,0.0,0.3505651665088891,0.5791929165216902,-0.0
PHTF2,1.118119239807129,0.3844663202762604,0.2635160570149367,1.0,0.0879828326180257,0.0,0.3844663342669222,0.5791929164646464,-0.0
RAF1,1.118119239807129,0.3511788547039032,0.2635160570841623,1.0,0.0879828326180257,0.0,0.3511788516630726,0.5791929163505574,-0.0
LAMTOR4,1.1178884506225586,0.7821948528289795,0.2636146454826343,1.0,0.4015736766809728,0.3076923076923077,1.5680477793326435,0.5790304655666177,-0.0
TSKU,1.117863416671753,0.6981529593467712,0.2636253381225983,1.0,0.2771101573676681,0.1538461538461538,1.176504964441519,0.5790128502313686,-0.0
EXOSC6,1.117127776145935,0.3535357117652893,0.2639396977733345,1.0,0.0878397711015736,0.0,0.3535357249376245,0.5784952849322428,-0.0
ZNF516,1.117127776145935,0.3657876253128052,0.2639396978600137,1.0,0.0878397711015736,0.0,0.3657876212409267,0.5784952847896181,-0.0
PDAP1,1.1163448095321655,0.5013653039932251,0.2642745544488758,1.0,0.2914163090128755,0.1538461538461538,1.0985998991663697,0.5779446506951481,-0.0
KAT2A,1.1161357164382937,0.3384990990161896,0.264364064004274,1.0,0.0876967095851216,0.0,0.3384990931847107,0.5777975804471505,-0.0
ENOSF1,1.1161357164382937,0.3647235929965973,0.2643640641258318,1.0,0.0876967095851216,0.0,0.3647235828453773,0.5777975802474565,-0.0
PTMA,1.1157259941101074,0.3368586599826813,0.2645394494658631,1.0,0.950214592274678,0.9230769230769232,4.03248110747928,0.5775095546011267,-0.0
RBM48,1.1151429414749146,0.3917272388935089,0.2647891571358469,1.0,0.0875536480686695,0.0,0.3917272518711321,0.5770998028142216,-0.0
DEAF1,1.1141496896743774,0.3658751845359802,0.2652149784613077,1.0,0.0874105865522174,0.0,0.3658751744665916,0.5764019520644074,-0.0
CPT1A,1.1141496896743774,0.3695577681064605,0.265214978600705,1.0,0.0874105865522174,0.0,0.3695577829820459,0.5764019518361417,-0.0
MARVELD1,1.1141496896743774,0.3792981803417206,0.265214978600705,1.0,0.0874105865522174,0.0,0.3792981951719603,0.5764019518361417,-0.0
SAMD9L,1.113155722618103,0.3929011523723602,0.265641529888449,1.0,0.0872675250357653,0.0,0.3929011613764359,0.5757040272278101,-0.0
IGLC2,1.113155722618103,0.645235538482666,0.2656415300455388,1.0,0.0872675250357653,0.0,0.645235547109858,0.5757040269709857,-0.0
ZNF280D,1.113155722618103,0.3705761134624481,0.2656415301677197,1.0,0.0872675250357653,0.0,0.3705761213189499,0.5757040267712334,-0.0
RAB4A,1.1130019426345823,0.3508804142475128,0.2657075706095038,1.0,0.2160228898426323,0.0769230769230769,0.8116166393426892,0.5755960713816223,-0.0
CHMP3,1.1122491359710691,0.3480549156665802,0.2660310644412006,1.0,0.2164520743919885,0.0769230769230769,0.8135669394200451,0.5750676478513106,-0.0
AKT1S1,1.1121612787246704,0.3558050990104675,0.2660688137000599,1.0,0.0871244635193133,0.0,0.3558050967170055,0.5750060267327217,-0.0
CEP192,1.1111661195755005,0.3810575008392334,0.2664968304028712,1.0,0.0869814020028612,0.0,0.3810574896985146,0.5743079519159412,-0.0
SEC16A,1.1111661195755005,0.3959136307239532,0.2664968305955262,1.0,0.0869814020028612,0.0,0.3959136404291528,0.5743079516019824,-0.0
VEGFB,1.1111661195755005,0.358333945274353,0.2664968306305545,1.0,0.0869814020028612,0.0,0.3583339379206958,0.5743079515448988,-0.0
TBCC,1.1101704835891724,0.3436209261417389,0.2669255829229132,1.0,0.0868383404864091,0.0,0.3436209274267683,0.573609800173516,-0.0
AP1AR,1.1101704835891724,0.3698128759860992,0.2669255829755455,1.0,0.0868383404864091,0.0,0.3698128663502767,0.573609800087882,-0.0
AKTIP,1.1101704835891724,0.3369933664798736,0.2669255830632656,1.0,0.0868383404864091,0.0,0.3369933652876774,0.5736097999451591,-0.0
EBAG9,1.1098560094833374,0.6856619119644165,0.2670610746398335,1.0,0.2756795422031473,0.1538461538461538,1.1699826963263322,0.573389407751977,-0.0
CDS2,1.109174132347107,0.3355265855789184,0.2673550721096819,1.0,0.086695278969957,0.0,0.3355265894790314,0.572911572295448,-0.0
ABHD13,1.109174132347107,0.3663104474544525,0.2673550722151265,1.0,0.086695278969957,0.0,0.3663104600976026,0.5729115721241627,-0.0
FBXW5,1.109174132347107,0.3387319445610046,0.2673550722502745,1.0,0.086695278969957,0.0,0.3387319461681773,0.5729115720670679,-0.0
CCDC85B,1.1088364124298096,0.5260882377624512,0.2675007737562872,1.0,0.1968526466380543,0.0769230769230769,0.7955370846963565,0.5726749574274261,-0.0
MANEA,1.1081771850585938,0.3701863288879394,0.2677853000807134,1.0,0.086552217453505,0.0,0.3701863411185069,0.5722132670142748,-0.0
BLCAP,1.1072947978973389,0.4725593328475952,0.2681664864749485,1.0,0.3147353361945637,0.1538461538461538,1.159462155982345,0.5715954981042356,-0.0
FN3KRP,1.1071796417236328,0.3447267115116119,0.2682162683808403,1.0,0.0864091559370529,0.0,0.344726726188145,0.5715148840021088,-0.0
KDM3A,1.1071796417236328,0.3639068901538849,0.2682162684866463,1.0,0.0864091559370529,0.0,0.3639068841592442,0.5715148838307882,-0.0
AC109326.1,1.1071796417236328,0.4491302073001861,0.2682162686806237,1.0,0.0864091559370529,0.0,0.4491302207624296,0.571514883516701,-0.0
ZFHX3,1.106181502342224,0.3695213198661804,0.268647978878149,1.0,0.0862660944206008,0.0,0.3695213064472114,0.5708164224147325,-0.0
NHP2,1.1053138971328735,0.4660981595516205,0.2690235939190564,1.0,0.2100143061516452,0.0769230769230769,0.9261601820977023,0.5702096298135367,-0.0
MT-TY,1.105182647705078,0.3490539491176605,0.2690804330589408,1.0,0.0861230329041487,0.0,0.3490539577265183,0.5701178820336944,-0.0
CMSS1,1.1051372289657593,0.7065412998199463,0.2691001120258735,1.0,0.1821173104434907,0.0769230769230769,0.8018379204503631,0.5700861214402271,-0.0
C1orf174,1.104183316230774,0.3566311299800873,0.2695136332120249,1.0,0.0859799713876967,0.0,0.356631134529344,0.5694192613529404,-0.0
