ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
CC,GO:0005775,vacuolar lumen,174/19550,0.0001392933772111,0.0028524861159322,0.0022694939261858,C3/DCN/ANXA2/LUM/PTGES2/EPDR1/ACTR2/PRELP/GNS/SDCBP/BGN/ACTR10/VCAN,13,13/433,F,LCa_ctrl_vs_disease,3.856069531882205
BP,GO:0110053,regulation of actin filament organization,278/18723,0.0001625938940643,0.0383148939850133,0.0348066088111873,DBNL/S100A10/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/ROCK2/CAPG/ARPIN/DLC1,17,17/414,F,LCa_ctrl_vs_disease,3.7888957676224684
BP,GO:0097581,lamellipodium organization,90/18723,0.0001683518215934,0.0383148939850133,0.0348066088111873,CD44/ACTR3/ABI2/CORO1C/ABLIM1/TWF1/CAPZB/ACTR2/ARPIN,9,9/414,F,LCa_ctrl_vs_disease,3.773782180115323
CC,GO:0030660,Golgi-associated vesicle membrane,54/19550,0.0001796316000089,0.0035252701501763,0.0028047741054034,COPG1/KDELR3/AP1S2/COPB1/CLTC/GJA1/COPA,7,7/433,F,LCa_ctrl_vs_disease,3.7456172617538206
BP,GO:0051653,spindle localization,56/18723,0.0002238642713738,0.0457629345020347,0.041572673015547,ASPM/ACTR3/DYNLT1/MCPH1/ACTR2/GJA1/SPDL1,7,7/414,F,LCa_ctrl_vs_disease,3.6500152140733646
BP,GO:0032271,regulation of protein polymerization,233/18723,0.0002247339766189,0.0457629345020347,0.041572673015547,TPPP2/DBNL/MYO1C/ACTR3/CDC42EP2/MAPRE1/ABI2/TWF1/ARF1/VDAC2/PFN1/CAPZB/ACTR2/CAPG/ARPIN,15,15/414,F,LCa_ctrl_vs_disease,3.648331263394816
CC,GO:0030127,COPII vesicle coat,15/19550,0.0002668536836447,0.0050275233998665,0.0039999962685272,SEC24D/SEC13/SEC31A/SEC23A,4,4/433,F,LCa_ctrl_vs_disease,3.5737267978237637
MF,GO:0045296,cadherin binding,332/18368,0.0003314365817363,0.0440810653709311,0.041865673482483,PKP2/COBLL1/DBNL/LIMA1/ANXA1/ANXA2/YWHAE/LYPLA2/MAPRE1/GIGYF2/CHMP2B/TWF1/PFN1/CAPZB/ABCF3/PARVA/S100A11/CAPG/RAB10,19,19/430,F,LCa_ctrl_vs_disease,3.4795995587729958
CC,GO:0030137,COPI-coated vesicle,28/19550,0.0003360393247475,0.0060874816136964,0.0048433198222727,COPG1/KDELR3/COPB1/ARF1/COPA,5,5/433,F,LCa_ctrl_vs_disease,3.4736098966533047
CC,GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,30/19550,0.0004698457122174,0.008196197424238,0.0065210554990026,NOLC1/POP5/RPP40/POP4/NOP58,5,5/433,F,LCa_ctrl_vs_disease,3.3280447321348423
MF,GO:0019838,growth factor binding,141/18368,0.0004907352835144,0.0487272812131997,0.0462783834236958,OSMR/COL1A2/SRPX2/COL4A1/COL5A1/IGFBP3/COL3A1/IL6ST/IGF2R/SDCBP/DUSP1,11,11/430,F,LCa_ctrl_vs_disease,3.3091527154351823
MF,GO:0003785,actin monomer binding,29/18368,0.0005129187496126,0.0487272812131997,0.0462783834236958,COBLL1/LIMA1/TWF1/MYL4/PFN1,5,5/430,F,LCa_ctrl_vs_disease,3.289951425121304
CC,GO:0030663,COPI-coated vesicle membrane,18/19550,0.0005675221826414,0.0095465338580036,0.0075954096624188,COPG1/KDELR3/COPB1/COPA,4,4/433,F,LCa_ctrl_vs_disease,3.246017158609775
CC,GO:0005839,proteasome core complex,20/19550,0.0008676232477972,0.0139674276843161,0.0111127595387563,PSMA7/PSMA3/PSMA4/PSMB7,4,4/433,F,LCa_ctrl_vs_disease,3.0616688196652513
CC,GO:0101002,ficolin-1-rich granule,185/19550,0.0008896450754341,0.0139674276843161,0.0111127595387563,DBNL/PSMD12/DYNLT1/COPB1/PGM2/CTSH/ACTR2/ILF2/GNS/ACTR10/PYGL/PSMB7,12,12/433,F,LCa_ctrl_vs_disease,3.05078322090999
CC,GO:0030133,transport vesicle,412/19550,0.000935497927925,0.0141890203578097,0.0112890630179467,HLA-G/COPG1/KDELR3/AP1S2/COPB1/SEC24D/LMAN1/NRSN2/PAM/AP3S1/SEC13/RAB8B/VDAC2/SEC31A/CLTC/SEC23A/IGF2R/BGN/COPA/RAB10,20,20/433,F,LCa_ctrl_vs_disease,3.0289571701006204
CC,GO:0045335,phagocytic vesicle,137/19550,0.0009640098756898,0.0141890203578097,0.0112890630179467,HLA-G/CYBA/MYO1C/CDC42EP2/APPL1/RAB8B/ATP6V0E1/STX8/RAB10/PLA2G5,10,10/433,F,LCa_ctrl_vs_disease,3.0159185169938327
CC,GO:0000172,ribonuclease MRP complex,10/19550,0.0011530471985123,0.0159730950146858,0.0127085078226129,POP5/RPP40/POP4,3,3/433,F,LCa_ctrl_vs_disease,2.9381529150523007
CC,GO:0030681,multimeric ribonuclease P complex,10/19550,0.0011530471985123,0.0159730950146858,0.0127085078226129,POP5/RPP40/POP4,3,3/433,F,LCa_ctrl_vs_disease,2.9381529150523007
CC,GO:0005604,basement membrane,96/19550,0.0013152697326053,0.0176997726873465,0.0140822864603762,FBN1/ANXA2/SERPINF1/TIMP1/COL4A1/COL5A1/FN1/LAMA2,8,8/433,F,LCa_ctrl_vs_disease,2.8809851738894348
CC,GO:0032587,ruffle membrane,99/19550,0.0016035830572256,0.0204131789176558,0.0162411257004927,AIF1L/FERMT1/MYO1C/ADAM17/PSD3/CORO1C/TWF1/DLC1,8,8/433,F,LCa_ctrl_vs_disease,2.794908540967476
CC,GO:1905368,peptidase complex,99/19550,0.0016035830572256,0.0204131789176558,0.0162411257004927,PSMD12/TADA2A/PSMA7/TADA3/PSMA3/SPCS3/PSMA4/PSMB7,8,8/433,F,LCa_ctrl_vs_disease,2.794908540967476
