ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0052548,regulation of endopeptidase activity,432/18723,0.0000580303529471478,0.0077451177733459,0.0069514254372478,GAPDH/SPINK2/PRELID1/GAS6/HSF1/CST9L/CST3/CCK/TIMP2/APH1B/PTTG1/ADRM1/APP/AKT1/SPOCK1/DHCR24/SERPINI1/PSENEN/EPHA7/SRC/HSPE1/IFI6/F2R/CYCS,24,24/426
BP,GO:0052547,regulation of peptidase activity,461/18723,0.0000602825447441293,0.0077861712630804,0.0069882719102362,GAPDH/SPINK2/PRELID1/PINK1/GAS6/HSF1/CST9L/CST3/CCK/TIMP2/APH1B/PTTG1/ADRM1/APP/AKT1/SPOCK1/DHCR24/SERPINI1/PSENEN/EPHA7/SRC/HSPE1/IFI6/F2R/CYCS,25,25/426
BP,GO:0006633,fatty acid biosynthetic process,163/18723,0.0000937721073361711,0.0117332349304384,0.0105308544225555,MIF/HSD17B12/APOA1/FADS2/PTGDS/ELOVL5/GPX4/LIPG/SCD5/SCD/MGLL/MID1IP1/PLP1,13,13/426
BP,GO:0042176,regulation of protein catabolic process,391/18723,0.0000977431134198279,0.0118594977616058,0.0106441782843793,UBB/PHB/STUB1/CTSA/PINK1/CST3/TIMP2/PSMC1/VGLL4/PKD1/AKT1/RAD23A/TMEM259/OAZ3/ZDHHC2/GJA1/RNF139/ODC1/SVIP/NDFIP1/ELOB/ATP5IF1,22,22/426
BP,GO:0072330,monocarboxylic acid biosynthetic process,214/18723,0.0001205742209455,0.0137359124568987,0.0123283046237584,LDHC/MIF/HSD17B12/APOA1/FADS2/PTGDS/ELOVL5/GPX4/LIPG/STAR/SCD5/SCD/MGLL/MID1IP1/PLP1,15,15/426
BP,GO:0042446,hormone biosynthetic process,66/18723,0.0001217605477788,0.0137359124568987,0.0123283046237584,CLCN2/HSD17B12/DKK3/STAR/AKR1B1/DHCR7/CHST9/EGR1,8,8/426
BP,GO:0016053,organic acid biosynthetic process,316/18723,0.0001234997123996,0.0137359124568987,0.0123283046237584,LDHC/MIF/HSD17B12/APOA1/FADS2/PTGDS/ELOVL5/GPX4/LIPG/STAR/SCD5/CDO1/SCD/MGLL/MID1IP1/ILVBL/PLP1/ADI1/SERINC5,19,19/426
BP,GO:0045862,positive regulation of proteolysis,372/18723,0.0001339091896937,0.0144911458252345,0.0130061443418031,STUB1/PRELID1/PINK1/HSF1/CCK/TNP1/APH1B/PSMC1/ADRM1/APP/AKT1/RAD23A/TMEM259/RNF139/PSENEN/SRC/ELOB/ATP5IF1/HSPE1/F2R/CYCS,21,21/426
BP,GO:0015807,L-amino acid transport,69/18723,0.0001670480870289,0.0176015931701032,0.0157978440198571,SLC25A29/SLC7A5/PRAF2/SLC3A2/SLC7A2/SLC1A6/SLC47A1/SERINC5,8,8/426
BP,GO:0016125,sterol metabolic process,152/18723,0.0001904571583319,0.0195536015887467,0.0175498175045957,HMGCS2/FDPS/HMGCS1/MSMO1/APOA1/APP/ERG28/STAR/DHCR24/DHCR7/SC5D/CYB5R3,12,12/426
