Gene id,Average expression (normalized),Log2FC,Pct1,Z score,P_val,Adjusted p value,Pct2
IL10RB,0.0019779748657325,0.001027415972203,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
OR52N5,0.0028834548104582,0.0011352350702509,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
CEACAM21,0.0025838592513438,0.0015271927695721,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
INMT,0.0020508054026765,0.0011405622353777,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
AL365330.1,0.0021670631100411,0.0006893778336234,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
TAL2,0.003670571789106,0.0022954805754125,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
AL139823.1,0.0021699630515809,0.0007716661202721,0.0016528925619834,0.5557578802108765,0.5783763777377341,0.6808419438335976,0.0009074410163339
AL133371.3,0.0087527406033105,0.0006316609214991,0.0049586776859504,0.5555883049964905,0.5784923469140469,0.6808419438335976,0.0036297640653357
JAG1,0.0082753552945385,0.0030038359109312,0.0049586776859504,0.5553364157676697,0.5786645692038512,0.6808419438335976,0.0036297640653357
ZFPM2,0.0079592797022615,0.0005931589403189,0.0049586776859504,0.5553364157676697,0.5786645692038512,0.6808419438335976,0.0036297640653357
RAB3D,0.0014782606525932,0.0003499205631669,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
TRAF3IP2,0.0033821794795437,0.0010387584334239,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC137936.2,0.0027341312539188,0.0003381721617188,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
MAMLD1,0.0017789683161236,0.0003027826896868,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
AC114980.1,0.0049660816540855,0.001386240357533,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
MEDAG,0.0014271393419803,0.0005636644782498,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
LINC02317,0.0025389948497622,0.0001884211233118,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
NUS1P1,0.0031773157060936,0.0008355714380741,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
SLC47A2,0.0016895774168867,0.00006943658081581816,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
P4HA2-AS1,0.002976950962417,0.000686821877025,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
SOD2-2,0.0015776929749065,0.0000352421157003846,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
PIK3R2,0.0034350994757754,0.0023274752311408,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
CD4,0.00320817204205,0.0014768298715353,0.0016528925619834,0.5553104281425476,0.5786823545451238,0.6808419438335976,0.0009074410163339
