ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:1902175,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,29/18723,0.0002509566608082,0.013578547897301,0.0118402484704622,MCL1/PINK1/NME5/P4HB/HIF1A/UBQLN1,6,6/593
BP,GO:0051384,response to glucocorticoid,148/18723,0.0002622619921917,0.01386613199692,0.0120910166101335,IGFBP2/ZFP36/STAR/FOSB/AGL/BMI1/CALM3/KLF9/FOS/FOXO1/GOT1/FOXO3/SPARC/BAD,14,14/593
BP,GO:0000302,response to reactive oxygen species,222/18723,0.0002623734547271,0.01386613199692,0.0120910166101335,PRDX1/PRDX2/KLF4/PINK1/PRDX3/PDK2/STAR/RHOB/PDGFD/FOS/MAPK1/SESN3/FOXO1/FOXO3/BECN1/BAD/ROMO1/HIF1A,18,18/593
BP,GO:0006086,acetyl-CoA biosynthetic process from pyruvate,11/18723,0.0002752375701548,0.014378790302917,0.0125380453918089,PDK2/PDK1/MPC2/DLD,4,4/593
BP,GO:0006099,tricarboxylic acid cycle,30/18723,0.000305372555091,0.0157717984419191,0.0137527233243763,ACO2/IDH3A/SDHD/SDHB/IREB2/DHTKD1,6,6/593
BP,GO:0017148,negative regulation of translation,245/18723,0.0003154682920858,0.0161101504216885,0.0140477601384187,GAPDH/PAIP2/ZFP36/HNRNPD/RIDA/CALR/KHSRP/ENC1/TSC1/CPEB2/EIF4EBP2/METTL14/IREB2/BTG2/CPEB4/CELF1/SRP9/RNF139/EIF4A3,19,19/593
BP,GO:0050804,modulation of chemical synaptic transmission,439/18723,0.0003814397907287,0.0192627094318027,0.016796734644372,BACE1/SQSTM1/PAIP2/PRKAR2B/PINK1/SYT4/RASGRF2/ADNP/STAR/KCNMB4/GRIK1/GRID2/ATP2A2/SNCA/AKAP7/NCDN/AKAP9/PTN/CALM3/NSG1/RAB8A/EIF4EBP2/MAPK1/KIF5B/EIF4A3/NPTN/CALB2/GSK3B,28,28/593
BP,GO:0007623,circadian rhythm,210/18723,0.0003923326407923,0.0195393240350386,0.0170379375813608,CDK4/EGR1/STAR/HNRNPD/KLF10/ARNTL/JUND/KLF9/PPP1CA/GNA11/FBXL3/GNAQ/PPP1CC/BHLHE40/SIAH2/NRIP1/GSK3B,17,17/593
BP,GO:0099177,regulation of trans-synaptic signaling,440/18723,0.0003955154700161,0.0195393240350386,0.0170379375813608,BACE1/SQSTM1/PAIP2/PRKAR2B/PINK1/SYT4/RASGRF2/ADNP/STAR/KCNMB4/GRIK1/GRID2/ATP2A2/SNCA/AKAP7/NCDN/AKAP9/PTN/CALM3/NSG1/RAB8A/EIF4EBP2/MAPK1/KIF5B/EIF4A3/NPTN/CALB2/GSK3B,28,28/593
BP,GO:0042762,regulation of sulfur metabolic process,12/18723,0.0004025402186278,0.0195548331947427,0.0170514612884503,PDK2/SNCA/PDK1/COMT,4,4/593
BP,GO:0006611,protein export from nucleus,57/18723,0.0004063374325159,0.0195548331947427,0.0170514612884503,CAMK1/STRADB/CHP1/IFI27/UHMK1/CALR/EMD/GSK3B,8,8/593
BP,GO:0006694,steroid biosynthetic process,173/18723,0.0004127939042271,0.0195548331947427,0.0170514612884503,FDPS/DHCR24/HSD17B6/HMGCS1/HSD17B12/EGR1/STAR/LSS/CYP19A1/ACAA2/FDXR/IDI1/HMGCR/STARD4/ASAH1,15,15/593
BP,GO:0042180,cellular ketone metabolic process,211/18723,0.0004144896287128,0.0195548331947427,0.0170514612884503,FABP3/APOC1/HSD17B6/EGR1/PDK2/STAR/SNCA/KDSR/PDK1/COMT/IRS2/FDXR/HMGCR/ELOVL5/STARD4/LPGAT1/AKR1A1,17,17/593
BP,GO:0008203,cholesterol metabolic process,137/18723,0.0004175865650171,0.0195548331947427,0.0170514612884503,FDPS/DHCR24/SULT2A1/HMGCS1/STAR/LDLR/LSS/TSKU/ACAA2/NFE2L1/FDXR/IDI1/HMGCR,13,13/593
BP,GO:0034614,cellular response to reactive oxygen species,155/18723,0.0004216443681154,0.0195548331947427,0.0170514612884503,PRDX1/PRDX2/KLF4/PINK1/PRDX3/PDK2/RHOB/PDGFD/FOS/MAPK1/FOXO1/FOXO3/BECN1/ROMO1,14,14/593
