rank_in_group,panel_stage,group,Description,pathway_readable,NES,pvalue,p.adjust,neglog10_fdr,setSize,enrichmentScore,rank,pathway_label
6,ST1,AZFc_Del,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,4.079563029,0.000137306,0.000475364,3.32297371,135,0.339440815,6124,Wnt signaling
6,ST1,iNOA_S,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,3.626389346,0.000146007,0.000917659,3.03731867,135,0.289095336,7013,Wnt signaling
6,ST1,KS,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,2.871295333,0.000114025,0.000626992,3.202738,135,0.270504898,7618,Wnt signaling
8,ST1,AZFc_Del,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,4.624753979,0.000139043,0.000475364,3.32297371,124,0.399014903,7543,Insulin signaling
10,ST1,iNOA_B,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,2.397459014,0.000296165,0.002248447,2.64811735,124,0.197121808,5666,Insulin signaling
8,ST1,iNOA_S,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,3.693321281,0.000147645,0.000917659,3.03731867,124,0.307262343,5787,Insulin signaling
8,ST1,KS,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,2.496982899,0.000115741,0.000626992,3.202738,124,0.242508499,5804,Insulin signaling
10,ST1,AZFc_Del,KEGG_TIGHT_JUNCTION,Tight Junction,3.038199503,0.000139276,0.000475364,3.32297371,120,0.265261706,7744,Tight junction
9,ST1,iNOA_S,KEGG_TIGHT_JUNCTION,Tight Junction,3.054147414,0.000148082,0.000917659,3.03731867,120,0.256976305,5767,Tight junction
9,ST1,AZFc_Del,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.752912602,0.000139179,0.000475364,3.32297371,123,0.411047688,4889,Oxidative phosphorylation
9,ST1,KS,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.461609823,0.000115768,0.000626992,3.202738,123,0.43429034,5897,Oxidative phosphorylation
7,ST1,AZFc_Del,KEGG_SPLICEOSOME,Spliceosome,5.378754136,0.000138083,0.000475364,3.32297371,126,0.460155899,6070,Spliceosome
3,ST1,iNOA_B,KEGG_SPLICEOSOME,Spliceosome,3.682834024,0.000147536,0.002248447,2.64811735,126,0.300868787,4957,Spliceosome
7,ST1,iNOA_S,KEGG_SPLICEOSOME,Spliceosome,6.216750421,0.000146714,0.000917659,3.03731867,126,0.512260011,5126,Spliceosome
7,ST1,KS,KEGG_SPLICEOSOME,Spliceosome,6.218123905,0.000115473,0.000626992,3.202738,126,0.60051489,3694,Spliceosome
