cell_type,avg_expr,pct_expr,gene
Lym,0.15551752052499573,0.11210762331838565,DMC1
Myeloid,0.01673413729175553,0.01359933729117769,DMC1
SPCs,0.5741044674137591,0.3798294286888615,DMC1
SPGs,0.26401838131790906,0.20869161050429932,DMC1
SSCs,0.04675226040888738,0.041801908134159536,DMC1
STs,0.006785410899197046,0.008991088478676003,DMC1
Spermatids,0.035026813783583785,0.03306851361444965,DMC1
ECs,0.1570888089678145,0.12148521989906272,MLH3
LCs,0.2532189774133529,0.18017048003589053,MLH3
Lym,0.08125407405765601,0.07174887892376682,MLH3
Myeloid,0.20469479730251694,0.15076625707579733,MLH3
SPCs,0.37046687418738117,0.33785450061652283,MLH3
SPGs,0.10175586803663672,0.09807111317685335,MLH3
SSCs,0.09028207240958733,0.07976787646306678,MLH3
STs,0.21476295331456266,0.24578294080203691,MLH3
Spermatids,0.059352558018914016,0.0644734161743736,MLH3
ECs,0.021210724908238103,0.016943042537851477,PSMC3IP
LCs,0.019947142417038325,0.01570210856886496,PSMC3IP
Lym,0.05463027780366051,0.05605381165919283,PSMC3IP
Myeloid,0.02227292307894911,0.018500621289520916,PSMC3IP
SPCs,0.3896035991832645,0.36513563501849566,PSMC3IP
SPGs,0.26440999161191464,0.23007204276086451,PSMC3IP
SSCs,0.12544188887141758,0.1108488246287007,PSMC3IP
STs,0.013743936306518935,0.01893698281349459,PSMC3IP
Spermatids,0.04647482029975792,0.053439261220886804,PSMC3IP
ECs,0.3896594351478507,0.2779379956741168,WT1
LCs,0.04527714042558751,0.03562135486765366,WT1
Lym,0.008752607978512888,0.008968609865470852,WT1
Myeloid,0.030239559515609145,0.023056744442910396,WT1
SPCs,0.01341961312578188,0.01577270859021784,WT1
SPGs,0.013632027251815176,0.014408552172902626,WT1
SSCs,0.017046187706515184,0.01622897609914429,WT1
STs,0.8333814522994885,0.7120464672183323,WT1
Spermatids,0.011605523894467291,0.013410742174237794,WT1
ECs,0.08309584336050484,0.05407354001441961,SOX9
LCs,0.1267948385149227,0.08281740690892778,SOX9
Lym,0.050107232658317805,0.04035874439461883,SOX9
Myeloid,0.09255687732377567,0.06288830595057297,SOX9
SPCs,0.0648098705092233,0.0805076037813399,SOX9
SPGs,0.03566051325270555,0.03555658842667906,SOX9
SSCs,0.06687159891840021,0.05862102881872726,SOX9
STs,1.8124737848310164,0.9528962444302992,SOX9
Spermatids,0.028486052763399737,0.030997487607795207,SOX9
ECs,0.3086977795077986,0.21521268925739004,CLDN11
LCs,0.30259728626105326,0.2034993270524899,CLDN11
Lym,0.06468158365632387,0.05829596412556054,CLDN11
Myeloid,0.17150846573425296,0.11459340052464448,CLDN11
SPCs,0.07895936608847355,0.08775174681463214,CLDN11
SPGs,0.07952312534697079,0.07715547292586568,CLDN11
SSCs,0.06746058289873644,0.06058817743680535,CLDN11
STs,2.296206822930666,0.9528962444302992,CLDN11
Spermatids,0.06420483346212709,0.0692265906158756,CLDN11
ECs,0.011623998640592612,0.010454217736121124,AMH
LCs,0.01287503682107014,0.010946612830865858,AMH
Lym,0.010715391470177825,0.008968609865470852,AMH
Myeloid,0.011416550276688609,0.010216761010630954,AMH
SPCs,0.0058715963928335935,0.0073468968351829015,AMH
SPGs,0.00819448563295161,0.009528236114338834,AMH
SSCs,0.003994242434095021,0.0040326546670600965,AMH
STs,0.2717658297617029,0.2864417568427753,AMH
Spermatids,0.005274627933703267,0.006247029265974062,AMH
ECs,0.811012272696832,0.4953136265320836,S100A13
LCs,0.8161694726477615,0.46594885598923286,S100A13
Lym,0.06177690919204678,0.05829596412556054,S100A13
Myeloid,0.2535773895317788,0.17817202816512495,S100A13
SPCs,0.04180379030154999,0.04711261816687218,S100A13
SPGs,0.1013689740380658,0.09621194515454334,S100A13
SSCs,0.08938351474915608,0.08262024195928003,S100A13
STs,0.32834063477714603,0.343968809675366,S100A13
Spermatids,0.018843446240823687,0.021457187478780473,S100A13
ECs,0.7792895259020048,0.5028839221341024,ENO1
LCs,0.7124086673482216,0.45589950650515926,ENO1
Lym,0.6618775325104794,0.45739910313901344,ENO1
Myeloid,0.8087892069163843,0.5131161121082425,ENO1
SPCs,0.7687327475154958,0.6005959720509659,ENO1
SPGs,1.0992985205707952,0.7092726005112712,ENO1
SSCs,0.905596170794639,0.5992918264974919,ENO1
STs,1.2569595672531655,0.8559834500318269,ENO1
Spermatids,0.5139496066478084,0.45236640184694776,ENO1
ECs,0.2475309135377536,0.16077865897620763,BEX1
LCs,0.1597462278222118,0.091161956034096,BEX1
Lym,0.09347281374471604,0.08520179372197309,BEX1
Myeloid,0.15315194721546485,0.1007179345575038,BEX1
SPCs,0.12329580148232605,0.11904027949034114,BEX1
SPGs,0.10336709391674606,0.09528236114338834,BEX1
SSCs,0.1355105159591524,0.11468476443395298,BEX1
STs,2.09628391313532,0.9762889879057924,BEX1
Spermatids,0.037229719462175834,0.038500712976166224,BEX1
ECs,0.044072572692487426,0.03028118240807498,CST9L
LCs,0.04654271694885449,0.032929564827276804,CST9L
Lym,0.028708932779295027,0.026905829596412557,CST9L
Myeloid,0.0417276624753201,0.030167057848957613,CST9L
SPCs,0.031037640642639645,0.037864775996711876,CST9L
SPGs,0.030255019408504603,0.031141064373692774,CST9L
SSCs,0.022693211058312443,0.02134356250614734,CST9L
STs,1.039169752568405,0.7020210057288352,CST9L
Spermatids,0.024120082174549036,0.02658382562640049,CST9L
ECs,0.04043598435469987,0.02883922134102379,HOPX
LCs,0.05952836829431927,0.0420816509645581,HOPX
Lym,0.32209746372539366,0.17937219730941703,HOPX
Myeloid,0.0763648132004495,0.055985089051497995,HOPX
SPCs,0.028814347538189098,0.033446362515413074,HOPX
SPGs,0.03910538636610283,0.04183128050197537,HOPX
SSCs,0.14266900862284532,0.1252090095406708,HOPX
STs,0.8990027799438816,0.6809357097390197,HOPX
Spermatids,0.05434947971912527,0.05910911930467848,HOPX
ECs,0.010018389841250232,0.009012256669069935,SPAG6
LCs,0.007117274327361567,0.006370569762225213,SPAG6
Lym,0.05597027628411092,0.0515695067264574,SPAG6
Myeloid,0.021624204015659395,0.01781029959961342,SPAG6
SPCs,1.2073572231858565,0.6515618577887382,SPAG6
SPGs,0.07592014439599669,0.0799442249593307,SPAG6
SSCs,0.10759047291688514,0.09894757548932821,SPAG6
STs,0.06919428983609589,0.08640992998090388,SPAG6
Spermatids,0.5735270552427728,0.42204793915936717,SPAG6
ECs,0.0208913478261718,0.01658255227108868,ACTL7B
LCs,0.0035796958536992644,0.0036787797218483624,ACTL7B
Lym,0.015241616576776376,0.02242152466367713,ACTL7B
Myeloid,0.03172450176584577,0.023954162639790142,ACTL7B
SPCs,0.15924024525715938,0.14411220715166462,ACTL7B
SPGs,0.0478646993055306,0.05414826864977922,ACTL7B
SSCs,0.034447428363373445,0.03432674338546277,ACTL7B
STs,0.021755006534232978,0.02856460852959898,ACTL7B
Spermatids,1.028642174891342,0.6358389352889251,ACTL7B
ECs,0.01303700522587466,0.011896178803172314,ATG4D
LCs,0.013979011094853609,0.011574697173620458,ATG4D
Lym,0.02651407887048251,0.02914798206278027,ATG4D
Myeloid,0.017072492309586376,0.015118045008974183,ATG4D
SPCs,0.27389212931857354,0.2637690094533498,ATG4D
SPGs,0.08690954190394282,0.09574715314896584,ATG4D
SSCs,0.055132074967309576,0.05439165928985935,ATG4D
STs,0.03697921730753421,0.05052514322087842,ATG4D
Spermatids,0.15447172022601643,0.16354315203367964,ATG4D
ECs,0.037500878160775096,0.03028118240807498,ZPBP
LCs,0.01425049879883586,0.011664423508299685,ZPBP
Lym,0.15127365992742803,0.09865470852017937,ZPBP
Myeloid,0.04741960150027298,0.03520640618528234,ZPBP
SPCs,1.8241795394286373,0.810881627620222,ZPBP
SPGs,0.22905428500860314,0.20706483848477805,ZPBP
SSCs,0.1149998032274037,0.10189829841644536,ZPBP
STs,0.08590583323739957,0.10144812221514958,ZPBP
Spermatids,1.4333149642248038,0.6712161336321043,ZPBP
ECs,0.021895682158535473,0.01910598413842826,DNAH6
LCs,0.014217738152726877,0.011036339165545087,DNAH6
Lym,0.016815886770128668,0.017937219730941704,DNAH6
Myeloid,0.012279655296269593,0.009802567996686455,DNAH6
SPCs,0.2943656804262857,0.27224619810933004,DNAH6
SPGs,0.08373653163556412,0.07831745293980943,DNAH6
SSCs,0.1412689683388571,0.11753712993016623,DNAH6
STs,0.008729445854146188,0.011935073201782304,DNAH6
Spermatids,0.3695277557978038,0.322740544577986,DNAH6
ECs,0.041281140916366414,0.02883922134102379,SPATA18
LCs,0.013790969048556109,0.010587707492148945,SPATA18
Lym,0.017024257658842967,0.020179372197309416,SPATA18
Myeloid,0.049713303340282886,0.03486124534032859,SPATA18
SPCs,0.0851154145721516,0.1017776407727086,SPATA18
SPGs,0.03791774425317098,0.04113409249360911,SPATA18
SSCs,0.0492655416939408,0.04494934592308449,SPATA18
STs,0.07142412797906533,0.08680776575429662,SPATA18
Spermatids,0.95162466712766,0.6459224553541115,SPATA18
ECs,0.025205601911881714,0.020187454938716654,PRM3
LCs,0.0017248313594901974,0.0017048003589053386,PRM3
Lym,0.009601181865807606,0.013452914798206279,PRM3
Myeloid,0.029170870647219092,0.021330940218141654,PRM3
SPCs,0.039131963630909296,0.048140156185778875,PRM3
SPGs,0.026751953995064363,0.027655124331861493,PRM3
SSCs,0.02198466286905937,0.021441919937051246,PRM3
STs,0.015431312582130116,0.021164863144493954,PRM3
Spermatids,0.8831002736472869,0.6154002851904665,PRM3
ECs,0.03534510538315034,0.02595529920692141,HOOK1
LCs,0.013026486752331657,0.010767160161507403,HOOK1
