cell_type,avg_expr,pct_expr,gene
SSCs,0.018223730555393943,0.015343759221009147,PTPRC
STs,0.06754453322078907,0.08696690006365372,PTPRC
Spermatids,0.016861348601573272,0.0179262578936647,PTPRC
ECs,0.03643258110430057,0.03172314347512617,NOTCH3
LCs,0.05773093141799232,0.042709735307312695,NOTCH3
Lym,0.027410357054573536,0.020179372197309416,NOTCH3
Myeloid,0.36337382502850785,0.2282893828524092,NOTCH3
SPCs,0.005471651370002074,0.006935881627620222,NOTCH3
SPGs,0.020941794077906254,0.022310016267720195,NOTCH3
SSCs,0.010245050366935305,0.00944231336677486,NOTCH3
STs,0.007654087759084872,0.00787714831317632,NOTCH3
Spermatids,0.0031768667679288897,0.0039043932912337883,NOTCH3
ECs,0.04581903906373902,0.03568853640951694,DDX4
LCs,0.023786198646298114,0.017227456258411843,DDX4
Lym,0.30486034772321247,0.19282511210762332,DDX4
Myeloid,0.04085511944331172,0.03106447604583736,DDX4
SPCs,1.4845357837084263,0.8539354706124127,DDX4
SPGs,0.7846503695193873,0.5668138508017662,DDX4
SSCs,1.1350376657490135,0.7050260647191895,DDX4
STs,0.03822404390911173,0.047183322724379376,DDX4
Spermatids,1.0415075186306375,0.7003123514632987,DDX4
ECs,0.0038271083750996385,0.002883922134102379,FGFR3
LCs,0.005423292532369341,0.004217137729923733,FGFR3
Lym,0.04079415579013226,0.033632286995515695,FGFR3
Myeloid,0.003253121322465012,0.002692254590639238,FGFR3
SPCs,0.007566287917606732,0.009299219071105631,FGFR3
SPGs,0.09622703939710915,0.1027190332326284,FGFR3
SSCs,0.3055177627293846,0.24136913543818236,FGFR3
STs,0.003994014363126494,0.005330999363462763,FGFR3
Spermatids,0.018496426083554784,0.021355333740748286,FGFR3
ECs,0.05253526876749714,0.04037490987743331,KIT
LCs,0.013886018754549227,0.010497981157469718,KIT
Lym,0.1216586260250331,0.07623318385650224,KIT
Myeloid,0.013149609126538413,0.009319342813751208,KIT
SPCs,0.016107075620692208,0.015721331689272502,KIT
SPGs,0.5809204691846566,0.4364396932372763,KIT
SSCs,0.2874220334710866,0.22740238024982787,KIT
STs,0.008679289377889081,0.009468491406747295,KIT
Spermatids,0.019239257742611156,0.019454063964147485,KIT
ECs,0.06092816754563214,0.0410958904109589,SYCP3
LCs,0.04076662588782672,0.02296994167788246,SYCP3
Lym,0.48879188900571235,0.21300448430493274,SYCP3
Myeloid,0.034795561562861,0.024299323484743892,SYCP3
SPCs,2.1508691498096395,0.8926736539251953,SYCP3
SPGs,1.6374595662396703,0.8187311178247734,SYCP3
SSCs,0.5059169335645292,0.3865447034523458,SYCP3
STs,0.049539992525310446,0.058004455760662,SYCP3
Spermatids,0.2338226549051651,0.19749439804440824,SYCP3
ECs,0.01634402060646244,0.012617159336697908,TEX29
LCs,0.00152607933455596,0.0014356213548676537,TEX29
Lym,0.0032800945198589375,0.004484304932735426,TEX29
Myeloid,0.02002403254454988,0.014496755488057435,TEX29
SPCs,0.03167786696168605,0.0376078914919852,TEX29
SPGs,0.022667958511742164,0.023471996281663954,TEX29
SSCs,0.026921580806762945,0.0245893577259762,TEX29
STs,0.014587305832409995,0.017982176957352006,TEX29
Spermatids,0.7964210987653639,0.4802743260677667,TEX29
ECs,0.025205601911881714,0.020187454938716654,PRM3
LCs,0.0017248313594901974,0.0017048003589053386,PRM3
Lym,0.009601181865807606,0.013452914798206279,PRM3
Myeloid,0.029170870647219092,0.021330940218141654,PRM3
SPCs,0.039131963630909296,0.048140156185778875,PRM3
SPGs,0.026751953995064363,0.027655124331861493,PRM3
SSCs,0.02198466286905937,0.021441919937051246,PRM3
STs,0.015431312582130116,0.021164863144493954,PRM3
Spermatids,0.8831002736472869,0.6154002851904665,PRM3
