Sample ID,Gene name,Scaled Normalised expression value,Percentage
AZFc_Del_4,DDX4,0.333,0.314
AZFc_Del_4,FGFR3,0.32,0.021
AZFc_Del_4,KIT,0.283,0.049
AZFc_Del_4,SYCP3,0.324,0.237
AZFc_Del_4,TEX29,0.333,0.104
AZFc_Del_4,PRM3,0.17,0.097
AZFc_Del_1,VIM,0.296,0.827
AZFc_Del_1,SOX9,0.874,0.491
AZFc_Del_1,VWF,0.474,0.104
AZFc_Del_1,DLK1,0.267,0.13
AZFc_Del_1,PTPRC,0.596,0.127
AZFc_Del_1,NOTCH3,0.049,0.015
AZFc_Del_1,DDX4,0.109,0.086
AZFc_Del_1,FGFR3,0.48,0.023
AZFc_Del_1,KIT,0.188,0.032
AZFc_Del_1,SYCP3,0.155,0.088
AZFc_Del_1,TEX29,0.019,0.006
AZFc_Del_1,PRM3,0.013,0.007
AZFc_Del_2,VIM,0.0,0.057
AZFc_Del_2,SOX9,0.009,0.035
AZFc_Del_2,VWF,0.0,0.009
AZFc_Del_2,DLK1,0.0,0.022
AZFc_Del_2,PTPRC,0.0,0.009
AZFc_Del_2,NOTCH3,0.0,0.002
AZFc_Del_2,DDX4,0.789,0.683
AZFc_Del_2,FGFR3,0.276,0.016
AZFc_Del_2,KIT,0.168,0.03
AZFc_Del_2,SYCP3,0.519,0.434
AZFc_Del_2,TEX29,0.687,0.222
AZFc_Del_2,PRM3,0.529,0.292
KS_1,VIM,1.0,0.987
KS_1,SOX9,0.0,0.018
KS_1,VWF,1.0,0.151
KS_1,DLK1,1.0,0.33
KS_1,PTPRC,0.21,0.052
KS_1,NOTCH3,1.0,0.315
KS_1,DDX4,0.0,0.0
KS_1,FGFR3,0.0,0.0
KS_1,KIT,0.002,0.007
KS_1,SYCP3,0.0,0.001
KS_1,TEX29,0.001,0.001
KS_1,PRM3,0.0,0.0
KS_2,VIM,0.059,0.331
KS_2,SOX9,0.046,0.084
KS_2,VWF,0.125,0.07
KS_2,DLK1,0.089,0.176
KS_2,PTPRC,0.012,0.02
KS_2,NOTCH3,0.034,0.023
KS_2,DDX4,0.651,0.758
KS_2,FGFR3,1.0,0.108
KS_2,KIT,0.277,0.084
KS_2,SYCP3,0.456,0.494
KS_2,TEX29,0.822,0.34
KS_2,PRM3,0.529,0.4
AZFc_Del_3,VIM,0.101,0.496
AZFc_Del_3,SOX9,0.17,0.229
AZFc_Del_3,VWF,0.098,0.062
AZFc_Del_3,DLK1,0.155,0.228
AZFc_Del_3,PTPRC,0.166,0.075
AZFc_Del_3,NOTCH3,0.018,0.017
AZFc_Del_3,DDX4,0.602,0.662
AZFc_Del_3,FGFR3,0.96,0.102
AZFc_Del_3,KIT,0.3,0.09
AZFc_Del_3,SYCP3,0.77,0.59
AZFc_Del_3,TEX29,0.288,0.131
AZFc_Del_3,PRM3,0.225,0.193
