pathway,gene,ctrl,disease,log2fc
Oxidative phosphorylation,NDUFB9,2.4910695583787477,2.6280697840668714,0.07723824771424621
Oxidative phosphorylation,NDUFC1,2.892866699175112,3.452601528429024,0.25518391201575363
Oxidative phosphorylation,NDUFC2,1.861724108965893,2.048740656908478,0.1380980052239175
Oxidative phosphorylation,NDUFS1,0.4259957964083943,0.4826259656685928,0.18006594396253772
Oxidative phosphorylation,NDUFS2,0.9256212814986148,0.9205271175445262,-0.007961803903375511
Oxidative phosphorylation,NDUFS3,0.8912859722855527,0.8507600627603041,-0.06713601233429667
Oxidative phosphorylation,NDUFS4,0.9818684285423096,1.218585518892373,0.31160559595174986
Oxidative phosphorylation,NDUFS5,0.9890385182322052,1.2364188369898526,0.32206863412342196
Oxidative phosphorylation,NDUFS6,1.2441004705290504,1.7988164675689429,0.5319446402541238
Oxidative phosphorylation,NDUFS8,0.958649033016314,1.1199906074808852,0.2244117787652876
Oxidative phosphorylation,NDUFV1,0.6136643675737596,0.6091909447504869,-0.010555301336943592
Oxidative phosphorylation,NDUFV2,0.3848030516913816,0.27824720511074813,-0.46775160842187713
Oxidative phosphorylation,NDUFV3,1.8680220619784296,2.1451372082940563,0.19955833538896156
Oxidative phosphorylation,SDHA,0.7517231548097228,0.7148105183568034,-0.07264048012215157
Oxidative phosphorylation,SDHAF1,0.03337771333533931,0.08323845442406518,1.3183391657143548
Oxidative phosphorylation,SDHAF2,0.19061691451285465,0.24381371290424284,0.3551014755320532
Oxidative phosphorylation,SDHC,0.914542757549189,0.7889397225238074,-0.2131352926075522
Oxidative phosphorylation,SDHD,0.986556382890878,0.991857559332704,0.007731437160290002
Oxidative phosphorylation,UQCRB,1.9399594087395748,2.4510398293410445,0.33736730697715134
Oxidative phosphorylation,UQCRC1,1.1193537730361356,1.1895992995857767,0.087809553167676
Oxidative phosphorylation,UQCRC2,0.6655301379515942,0.6714858652518034,0.012853013275382325
Oxidative phosphorylation,UQCRFS1,1.802566671545538,1.819757902134254,0.013693900217680185
Oxidative phosphorylation,UQCRQ,1.94508874457924,2.3310198747536193,0.2611252028288996
