Gene,CTRL,Disease
SLC3A1,0.0020202588787842585,0.015405805605609096
SLC3A2,0.13785038393104349,0.136081655404168
SLC40A1,0.11399170257837742,0.08744475193761378
SLC41A1,0.2142787737604106,0.21491278471723094
SLC41A2,0.03169436867654011,0.0347832316783793
SLC41A3,0.060081636265797954,0.11496874843003657
SLC43A1,0.0018362536204581655,0.003955975815654634
SLC43A2,0.02765558173963214,0.03845684995523858
SLC43A3,0.0065730098500964675,0.0034546765385457933
SLC44A1,0.01728787933462104,0.017871255553835584
SLC44A2,0.0348646940006762,0.05371920570708619
SLC44A3,0.0038799072208224685,0.004199774972109986
SLC44A3-AS1,0.0016025562957083614,0.0003765718077285294
SLC44A4,0.003728056894289003,0.0011430639728199888
SLC44A5,0.018196306733615202,0.017771644450008003
SLC45A1,0.013160575351245948,0.002212641719664843
SLC45A2,0.0008781490195143458,0.0029346038346752265
SLC45A3,0.0,0.0015467654149643648
SLC45A4,0.046680720502435886,0.09030119030667154
SLC46A1,0.0007952362744055148,0.005472998944828136
SLC46A2,0.0,0.0011283028170595937
SLC46A3,0.1275897853311101,0.05807872304518627
SLC47A1,0.01666502370289918,0.02459806116197075
SLC47A1P1,0.0012427217620006232,0.0
SLC47A2,0.001410367319900311,0.0014431543226953274
SLC48A1,0.03568883641544231,0.03668342127886383
SLC49A3,0.0,0.03636828612072944
SLC4A1,0.0,0.0
SLC4A10,0.04615811254468602,0.02705289170002321
SLC4A11,0.008545701629174956,0.031845307428796335
SLC4A1AP,1.2648565570859187,1.1340472047881627
SLC4A1APP1,0.005091290831368826,0.002217748307589499
SLC4A2,0.02106424304997122,0.07658493984073568
SLC4A3,0.004615498905637416,0.006014325582595503
SLC4A4,0.0034512036903351275,0.0033971341709970577
SLC4A5,0.015522052680464212,0.03479754123563071
SLC4A7,0.8204912855887476,0.6744911428357425
SLC4A8,1.4902342200287073,1.4446175909390973
SLC4A9,0.006102054328581694,0.013883132028591778
SLC50A1,0.21409212367308827,0.17732086218230886
SLC51A,0.012332966111697563,0.011664485360444838
SLC51B,0.06881896586953838,0.07504951968285706
SLC52A1,0.009459981994975717,0.018792786403725746
SLC52A2,0.15140612829121275,0.25230140667683165
SLC52A3,0.016251092188655725,0.03416361345952164
SLC5A1,0.028700358042587262,0.057849763800023345
SLC5A10,0.0005779937625973854,0.0025734295559870723
SLC5A11,0.0012472102205932458,0.0013522307894622521
SLC5A12,0.0,0.00047795369579498975
SLC5A2,0.04244223647173274,0.220349989369799
SLC5A3,0.12330320837424957,0.10721868123182492
SLC5A4,0.0,0.005655240297094335
SLC5A4-AS1,0.0,0.0
SLC5A4P1,0.0,0.000204909889896643
SLC5A5,0.0,0.0014584967466239498
SLC5A6,0.4096264500831843,0.4222557910625629
SLC5A7,0.0,0.0
SLC5A8,0.0027010749247652873,0.004416572038830068
SLC5A9,0.0,0.0014657449356878824
SLC6A1,0.10143214330502383,0.11408080898275243
SLC6A10P,0.06335534244224587,0.11744565535877576
SLC6A11,0.024265459935883287,0.01798099823638766
SLC6A12,0.005013311945498637,0.01269555998460105
SLC6A13,0.002970738578805695,0.009450531442784507
SLC6A14,0.0014301918204325198,0.0
SLC6A15,0.061610349884803246,0.024262103220198488
SLC6A16,1.3835941742900242,1.4887718594141408
SLC6A17,0.0,0.004010530889656825
SLC6A18,0.0,0.0
SLC6A19,0.0,0.0
SLC6A2,0.5618474370028983,0.3827197589796459
SLC6A20,0.016356415550835286,0.010646628027988252
SLC6A21P,0.0,0.0
SLC6A3,0.0021420686582437104,0.0
SLC6A4,0.0,0.00639849321558904
SLC6A5,0.0,0.0028180786232257023
SLC6A6,0.006012178183548555,0.003067745119543307
SLC6A6P1,0.010127545988859224,0.009085866469060669
SLC6A7,0.0,0.0003195933715072415
SLC6A8,0.01958013436316665,0.017620683528804183
SLC6A9,0.0010533088805584785,0.0020291163872788783
SLC7A1,0.31251180527060496,0.2471025873836718
SLC7A10,0.000751301077525939,0.0023042628001266907
SLC7A11,0.022043868069021453,0.008322456925763635
SLC7A11-AS1,0.2903559203737832,0.2337024568744606
SLC7A13,0.0,0.0
SLC7A14,0.0019142078997267603,0.0007358314787729568
SLC7A2,0.01862742192842492,0.026548588843696996
SLC7A3,0.0,0.0039016452143495113
SLC7A4,0.0017828704232833042,0.012456853574846582
SLC7A5,0.020087557899075376,0.03284395840805703
SLC7A5P1,0.0030369128716084826,0.0019919823919515097
SLC7A6,0.20133712783786742,0.23069499059754392
SLC7A6OS,0.06304384105979782,0.2075070584196188
SLC7A7,0.23739089127046312,0.22897793918848436
SLC7A8,0.0055951564577916444,0.009634085604470858
SLC7A9,0.010803326595091695,0.005798853707337065
SLC8A1,0.003538606808939443,0.003784495585383595
SLC8A1-AS1,0.006285295681838047,0.016669184881323535
SLC8A2,0.02273731677587492,0.028141312932260375
SLC8A3,0.0,0.0001680883651078486
SLC8B1,0.007982279882796069,0.015057494860702592
SLC9A1,0.0116720800036487,0.00931997651216546
SLC9A2,0.0069520901148070035,0.05614697710045694
SLC9A3,0.0,0.0
SLC9A3-AS1,0.09988460585787162,0.131751400606213
SLC9A3P2,0.0,0.0
SLC9A3R1,0.09927955006625389,0.1335896620970832
SLC9A3R2,0.013068944239383415,0.03783976317736296
SLC9A4,0.0012921829388039766,0.003907080852183632
SLC9A5,0.03063548679062917,0.01502636823323138
SLC9A6,0.04164536942551395,0.05755877768463143
SLC9A7,0.0,0.0010592145096372462
SLC9A7P1,0.0013723577237589686,0.011482221281570691
SLC9A8,0.2705799863913554,0.2766562033698762
SLC9A9,0.0020665333093023317,0.004420065176000961
SLC9A9-AS1,0.0,0.0001527574855072445
SLC9B1,2.053914806877223,2.011971364746362
SLC9B1P2,0.005661057713672832,0.007984760866819025
SLC9B1P3,0.008385708422803253,0.009236366311336041
SLC9B1P4,0.01025928576360079,0.006220531098568048
SLC9B2,0.0385223754135657,0.06076575786595732
SLC9C1,0.880003394770526,0.835909745948128
SLC9C2,0.23445441816801452,0.27269764155606785
SLCO1A2,0.0,0.0032402875676265665
SLCO1B1,0.0,0.0019276051110720422
SLCO1B3,0.0,0.0005425033490033741
SLCO1B7,0.0,0.0002447576918378927
SLCO1C1,0.002617925980546217,0.00659764275673516
SLCO2A1,0.0022050717368643485,0.0017026478688397994
SLCO2B1,0.007390744706597852,0.010414464342878457
SLCO3A1,0.4544992224161605,0.46733740823501013
SLCO4A1,0.0018914178093396925,0.005056417425151116
SLCO4A1-AS1,0.0,0.0003471892747847794
SLCO4C1,0.01463033653772624,0.024865553623957006
SLCO5A1,0.02727336456062448,0.01920880624232132
SLCO6A1,1.424622867058257,1.373782670982422
SLF1,1.5765175025940377,1.4252576956766838
SLF2,1.1145953360296974,0.7943479081181869
SLFN11,0.00361273315514624,0.007930299875999485
SLFN12,0.007286200921459912,0.0034220539169785005
SLFN12L,0.0,0.006093634683828013
SLFN13,0.004023978270893883,0.0018143379322619348
SLFN14,0.012552828523801376,0.00605807302442082
SLFN5,0.01343202038071162,0.006638332110043098
SLFNL1,0.004956526471995117,0.021305365189365107
SLFNL1-AS1,0.051856745852389294,0.028557963235159658
SLIRP,1.8092708851015529,2.566290270070433
SLIT1,0.09117190928282456,0.03227299977408498
SLIT1-AS1,0.1277555855418413,0.07284502666060685
SLIT2,0.0,0.001304582215978166
SLIT2-IT1,0.171237766939436,0.2641283838646039
SLIT3,0.016091094782499614,0.015271209094614564
SLITRK1,0.0,0.0007465040975808406
SLITRK3,0.002168564501031505,0.0028178881460437536
SLITRK4,0.0009128277722282007,0.0008701902594265877
SLITRK5,0.11355727566859929,0.03156682634207047
SLITRK6,0.0,0.0
SLK,2.0491559228870613,1.7974047974575833
SLMAP,1.0245844942960176,1.034734585425296
SLN,0.0050423131256543486,0.0006678753724080088
SLPI,0.06312378385098937,0.06908134363794237
SLTM,2.047513082753785,1.8477683002776193
SLU7,1.1213536080780313,0.9893976315057121
SLX4,0.4323320674953821,0.44354608127848805
SLX4IP,0.10979360963543686,0.08752888788770924
SMAD1,0.35060761536957974,0.1831102103673784
SMAD1-AS1,0.0,0.0026480564023872496
SMAD1-AS2,0.05525461580277428,0.14027033649682008
SMAD2,0.4539886070963439,0.4534240054226075
SMAD3,0.0024843739782680276,0.004183592400315088
SMAD4,0.11828196380759143,0.18004739864866284
SMAD5,0.3229178068515218,0.3906637348793274
SMAD5-AS1,0.0022219189832962884,0.010267485179391687
SMAD6,0.0,0.0012860269205075801
SMAD7,0.0,0.0020915551903270386
SMAD9,0.016648480445782616,0.005958127469180889
SMAD9-IT1,0.0,0.0
SMAGP,0.09261754350106391,0.0499065925219981
SMAP1,0.5230527111923726,0.6382102879884268
SMAP2,0.3112304893070545,0.32621938895002783
SMARCA1,0.12743755052210037,0.1379588066602962
SMARCA2,0.6463119323254544,0.5763612396334237
SMARCA4,0.8368002507568548,0.7510628265666084
SMARCA5,2.3252200395940545,1.9012828987843766
SMARCA5-AS1,0.0,0.004452764764858367
SMARCAD1,0.5552695692574297,0.6096908153787161
SMARCAL1,0.4387432905269683,0.2593985833440431
SMARCB1,0.6707708641797832,0.8392998680505104
SMARCC1,0.7051035820201971,0.7051672784761926
SMARCC2,0.3950832521024602,0.42293891250299026
SMARCD1,0.6486801274201766,0.7114899569599538
SMARCD2,0.19625968210368527,0.46990090640251914
SMARCD3,0.010172804768180697,0.022264533991541484
SMARCE1,0.10033090096843286,0.0886649969664777
SMARCE1P1,0.0022531856947362455,0.0
SMARCE1P5,0.00625960188250271,0.008187715736472577
SMARCE1P6,0.0,0.00018890608242799593
SMC1A,0.06784807137950827,0.0698015119963728
SMC1B,2.4642587813255306,2.3838936132669892
SMC2,1.2200534425481602,1.0610151532190675
SMC2-AS1,0.15663211134831714,0.0549769769100715
SMC3,1.8468274811329435,2.080474952573406
SMC4,2.408714589991901,2.2747318518369433
SMC4P1,0.0,0.0
SMC5,0.9011692905763248,0.9082292893047568
SMC5-AS1,0.1347131885515882,0.11264002347295071
SMC6,1.8176888480295061,1.5627660005582265
SMCHD1,1.0507873757310195,1.0390762550615185
SMCO1,0.0017179159958086816,0.010063709365612525
SMCO2,0.009096151662934138,0.006993927863170528
SMCO3,0.012918950009904725,0.0014034330892003287
SMCO4,0.05092226206076721,0.07180279137444506
SMCP,1.1695882252694285,0.8236567504074024
SMCR2,0.0,0.004318936726866226
SMCR5,0.0,0.0
SMCR8,0.33733937281595633,0.4371540925426956
SMDT1,1.8259989693200938,2.2098703592883866
SMG1,1.0333788950897729,0.8207886761896251
SMG1P1,0.011892580863914204,0.027588895596245694
SMG1P2,0.03159410869712019,0.0704127797565517
SMG1P3,0.056424778679174316,0.07928106834142498
SMG1P4,0.02170479454616791,0.04066767637241493
SMG1P5,0.013264435087900471,0.020342571405159795
SMG1P6,0.011908670138469512,0.010534041355746931
SMG1P7,0.02546649016159875,0.02270487814990975
SMG5,0.25427609682240987,0.32090318660091977
SMG6,0.6472913761227442,0.6792468997022112
SMG7,0.9549247275535676,0.866227122699708
SMG7-AS1,0.338958266586407,0.44462757365675154
SMG8,0.1711401049288775,0.08887607846278872
SMG9,0.17036516335550983,0.2840223729230292
SMILR,0.0,0.0
SMIM1,0.03870890583619173,0.09249054659736658
SMIM10,0.025830763031424123,0.07728870230783906
SMIM10L1,0.12631184670321186,0.1580030886926664
SMIM10L2A,0.0,0.006451466008225112
SMIM10L2B,0.015350751518640246,0.009191119771167613
SMIM10L2B-AS1,0.0,0.03754574186638175
SMIM12,0.5063133690220956,0.601765124323201
SMIM13,0.11130887365259721,0.16311049530865843
SMIM14,1.1453772050087025,1.0468910339017314
SMIM15,0.18625718869352173,0.21351037634291226
SMIM15-AS1,0.06109597666691705,0.05573010100252817
SMIM17,0.0,0.0004151729257253562
SMIM18,0.002417441717724917,0.0
SMIM19,0.7072414512078,1.006058656697623
SMIM2,0.015736642677044867,0.012943461200663291
SMIM2-AS1,0.33633937026365995,0.5734030750157884
SMIM2-IT1,0.005680910288179749,0.009760801710028811
SMIM20,0.6148190994023756,0.5249317655436023
